type,value,time
T,3500.0000,0.0003
E,0.0000,0.0031
T,3500.0000,0.0050
E,0.0000,0.0063
E,0.0000,0.0094
T,3501.0000,0.0100
E,-0.0040,0.0125
T,3507.0000,0.0150
E,-0.0050,0.0156
E,-0.0050,0.0187
T,3518.0000,0.0200
E,-0.0050,0.0219
E,-0.0120,0.0250
T,3534.0000,0.0250
E,-0.0370,0.0281
T,3553.0000,0.0300
E,-0.0910,0.0313
E,-0.1370,0.0344
T,3576.0000,0.0350
E,-0.1870,0.0375
T,3593.0000,0.0400
E,-0.2090,0.0406
E,-0.2100,0.0438
T,3594.0000,0.0450
E,-0.2090,0.0469
E,-0.2090,0.0500
T,3593.0000,0.0500
E,-0.2090,0.0531
T,3593.0000,0.0550
E,-0.2090,0.0563
E,-0.2110,0.0594
T,3595.0000,0.0600
E,-0.2150,0.0625
T,3598.0000,0.0650
E,-0.2240,0.0656
E,-0.2330,0.0688
T,3604.0000,0.0707
E,-0.2470,0.0719
E,-0.2620,0.0750
T,3610.0000,0.0750
E,-0.2750,0.0781
T,3618.0000,0.0800
E,-0.2920,0.0813
E,-0.3070,0.0844
T,3626.0000,0.0850
E,-0.3240,0.0875
T,3634.0000,0.0900
E,-0.3410,0.0906
E,-0.3590,0.0938
T,3643.0000,0.0950
E,-0.3760,0.0969
E,-0.3930,0.1000
T,3652.0000,0.1000
E,-0.4110,0.1031
T,3660.0000,0.1050
E,-0.4270,0.1063
E,-0.4430,0.1094
T,3668.0000,0.1100
E,-0.4610,0.1125
T,3677.0000,0.1150
E,-0.4790,0.1156
E,-0.4960,0.1188
T,3686.0000,0.1200
E,-0.5150,0.1219
E,-0.5330,0.1250
T,3695.0000,0.1250
E,-0.5510,0.1281
T,3704.0000,0.1300
E,-0.5700,0.1313
E,-0.5890,0.1344
T,3714.0000,0.1350
E,-0.6060,0.1375
T,3722.0000,0.1400
E,-0.6240,0.1406
E,-0.6420,0.1438
T,3731.0000,0.1450
E,-0.6580,0.1469
T,3740.0000,0.1500
E,-0.6740,0.1500
E,-0.6880,0.1531
T,3748.0000,0.1550
E,-0.7050,0.1562
E,-0.7200,0.1594
T,3756.0000,0.1600
E,-0.7360,0.1625
T,3765.0000,0.1650
E,-0.7530,0.1656
E,-0.7710,0.1688
T,3774.0000,0.1700
E,-0.7880,0.1719
T,3782.0000,0.1750
E,-0.8030,0.1750
E,-0.8190,0.1781
T,3791.0000,0.1800
E,-0.8350,0.1813
E,-0.8520,0.1844
T,3799.0000,0.1850
E,-0.8660,0.1875
T,3807.0000,0.1900
E,-0.8810,0.1906
E,-0.8950,0.1937
T,3814.0000,0.1950
E,-0.9080,0.1969
T,3821.0000,0.2000
E,-0.9210,0.2000
E,-0.9350,0.2031
T,3829.0000,0.2050
E,-0.9480,0.2062
E,-0.9610,0.2094
T,3836.0000,0.2100
E,-0.9750,0.2125
T,3842.0000,0.2150
E,-0.9840,0.2156
E,-0.9960,0.2187
T,3849.0000,0.2200
E,-1.0100,0.2219
E,-1.0210,0.2250
T,3855.0000,0.2250
E,-1.0330,0.2281
T,3860.0000,0.2300
E,-1.0450,0.2313
E,-1.0560,0.2344
T,3867.0000,0.2350
E,-1.0670,0.2375
T,3873.0000,0.2400
E,-1.0780,0.2406
E,-1.0870,0.2438
T,3878.0000,0.2450
E,-1.0970,0.2469
T,3883.0000,0.2499
E,-1.1070,0.2500
E,-1.1160,0.2531
T,3888.0000,0.2550
E,-1.1250,0.2562
E,-1.1330,0.2594
T,3892.0000,0.2600
E,-1.1420,0.2625
T,3896.0000,0.2650
E,-1.1480,0.2656
E,-1.1550,0.2688
T,3900.0000,0.2699
E,-1.1620,0.2719
T,3903.0000,0.2749
E,-1.1690,0.2750
E,-1.1750,0.2781
T,3906.0000,0.2799
E,-1.1800,0.2812
E,-1.1850,0.2844
T,3909.0000,0.2849
E,-1.1910,0.2875
T,3912.0000,0.2899
E,-1.1960,0.2906
E,-1.2000,0.2938
T,3914.0000,0.2949
E,-1.2050,0.2969
T,3916.0000,0.2999
E,-1.2080,0.3000
E,-1.2110,0.3031
T,3918.0000,0.3049
E,-1.2140,0.3063
E,-1.2160,0.3094
T,3919.0000,0.3099
E,-1.2180,0.3125
T,3920.0000,0.3149
E,-1.2200,0.3156
E,-1.2220,0.3187
T,3921.0000,0.3199
E,-1.2230,0.3219
T,3921.0000,0.3249
E,-1.2230,0.3250
E,-1.2240,0.3281
T,3921.0000,0.3299
E,-1.2250,0.3313
E,-1.2250,0.3344
T,3921.0000,0.3349
E,-1.2250,0.3375
T,3921.0000,0.3399
E,-1.2250,0.3406
E,-1.2250,0.3438
T,3921.0000,0.3449
E,-1.2250,0.3469
T,3921.0000,0.3499
E,-1.2250,0.3500
E,-1.2250,0.3531
T,3920.0000,0.3549
E,-1.2240,0.3562
E,-1.2240,0.3594
T,3918.0000,0.3599
E,-1.2220,0.3625
T,3915.0000,0.3649
E,-1.2220,0.3656
E,-1.2220,0.3688
T,3913.0000,0.3699
E,-1.2200,0.3719
T,3910.0000,0.3749
E,-1.2170,0.3750
E,-1.2140,0.3781
T,3907.0000,0.3799
E,-1.2100,0.3812
E,-1.2050,0.3844
T,3903.0000,0.3849
E,-1.2000,0.3875
E,-1.1930,0.3906
T,3898.0000,0.3907
E,-1.1850,0.3938
T,3895.0000,0.3949
E,-1.1760,0.3969
T,3890.0000,0.3999
E,-1.1670,0.4000
E,-1.1580,0.4031
T,3885.0000,0.4049
E,-1.1490,0.4063
E,-1.1400,0.4094
T,3880.0000,0.4099
E,-1.1300,0.4125
T,3874.0000,0.4149
E,-1.1190,0.4156
E,-1.1090,0.4188
T,3869.0000,0.4199
E,-1.0980,0.4219
T,3863.0000,0.4249
E,-1.0870,0.4250
E,-1.0750,0.4281
T,3856.0000,0.4299
E,-1.0610,0.4313
E,-1.0510,0.4344
T,3850.0000,0.4349
E,-1.0380,0.4375
T,3844.0000,0.4399
E,-1.0260,0.4406
E,-1.0150,0.4438
T,3837.0000,0.4449
E,-1.0020,0.4469
T,3830.0000,0.4499
E,-0.9880,0.4500
E,-0.9750,0.4531
T,3822.0000,0.4549
E,-0.9600,0.4563
E,-0.9460,0.4594
T,3815.0000,0.4599
E,-0.9340,0.4625
T,3808.0000,0.4649
E,-0.9200,0.4656
E,-0.9060,0.4688
T,3800.0000,0.4698
E,-0.8900,0.4719
T,3791.0000,0.4749
E,-0.8740,0.4750
E,-0.8590,0.4781
T,3783.0000,0.4798
E,-0.8430,0.4813
E,-0.8250,0.4844
T,3774.0000,0.4848
E,-0.8090,0.4875
T,3765.0000,0.4898
E,-0.7910,0.4906
E,-0.7740,0.4938
T,3756.0000,0.4948
E,-0.7580,0.4969
T,3747.0000,0.4998
E,-0.7410,0.5000
E,-0.7240,0.5031
T,3738.0000,0.5048
E,-0.7090,0.5063
E,-0.6920,0.5094
T,3729.0000,0.5098
E,-0.6740,0.5125
T,3720.0000,0.5148
E,-0.6560,0.5156
E,-0.6390,0.5188
T,3711.0000,0.5198
E,-0.6220,0.5219
T,3701.0000,0.5248
E,-0.6030,0.5250
E,-0.5840,0.5281
T,3691.0000,0.5298
E,-0.5650,0.5312
E,-0.5460,0.5344
T,3680.0000,0.5348
E,-0.5270,0.5375
T,3670.0000,0.5398
E,-0.5080,0.5406
E,-0.4890,0.5438
T,3660.0000,0.5448
E,-0.4710,0.5469
T,3650.0000,0.5498
E,-0.4530,0.5500
E,-0.4340,0.5531
T,3640.0000,0.5548
E,-0.4150,0.5562
E,-0.3960,0.5594
T,3630.0000,0.5598
E,-0.3780,0.5625
T,3621.0000,0.5648
E,-0.3600,0.5656
E,-0.3400,0.5688
T,3610.0000,0.5698
E,-0.3210,0.5719
T,3600.0000,0.5748
E,-0.3020,0.5750
E,-0.2810,0.5781
T,3589.0000,0.5798
E,-0.2620,0.5813
E,-0.2420,0.5844
T,3579.0000,0.5848
E,-0.2220,0.5875
T,3568.0000,0.5898
E,-0.2030,0.5906
E,-0.1840,0.5938
T,3558.0000,0.5948
E,-0.1670,0.5969
T,3549.0000,0.5998
E,-0.1490,0.6000
E,-0.1290,0.6031
T,3538.0000,0.6048
E,-0.1100,0.6062
E,-0.0920,0.6094
T,3528.0000,0.6098
E,-0.0730,0.6125
T,3518.0000,0.6148
E,-0.0530,0.6156
E,-0.0350,0.6188
T,3507.0000,0.6198
E,-0.0160,0.6219
T,3496.0000,0.6248
E,0.0030,0.6250
E,0.0210,0.6281
T,3487.0000,0.6298
E,0.0390,0.6313
E,0.0560,0.6344
T,3478.0000,0.6348
E,0.0740,0.6375
T,3468.0000,0.6398
E,0.0930,0.6406
E,0.1110,0.6438
T,3458.0000,0.6448
E,0.1300,0.6469
T,3449.0000,0.6498
E,0.1480,0.6500
E,0.1670,0.6531
T,3440.0000,0.6548
E,0.1830,0.6562
E,0.2010,0.6594
T,3431.0000,0.6598
E,0.2190,0.6625
T,3422.0000,0.6648
E,0.2350,0.6656
E,0.2520,0.6687
T,3413.0000,0.6698
E,0.2680,0.6719
T,3404.0000,0.6748
E,0.2840,0.6750
E,0.2990,0.6781
T,3396.0000,0.6798
E,0.3140,0.6812
E,0.3300,0.6844
T,3388.0000,0.6848
E,0.3450,0.6875
T,3380.0000,0.6898
E,0.3600,0.6906
E,0.3740,0.6938
T,3373.0000,0.6948
E,0.3890,0.6969
T,3365.0000,0.6998
E,0.4040,0.7000
E,0.4200,0.7031
T,3358.0000,0.7048
E,0.4340,0.7063
E,0.4470,0.7094
T,3350.0000,0.7105
E,0.4620,0.7125
T,3343.0000,0.7148
E,0.4770,0.7156
E,0.4890,0.7188
T,3337.0000,0.7198
E,0.5020,0.7219
T,3330.0000,0.7248
E,0.5160,0.7250
E,0.5280,0.7281
T,3324.0000,0.7298
E,0.5400,0.7312
E,0.5500,0.7344
T,3319.0000,0.7348
E,0.5600,0.7375
T,3313.0000,0.7398
E,0.5720,0.7406
E,0.5810,0.7438
T,3308.0000,0.7448
E,0.5920,0.7469
T,3303.0000,0.7498
E,0.6010,0.7500
E,0.6100,0.7531
T,3298.0000,0.7548
E,0.6190,0.7563
E,0.6290,0.7594
T,3294.0000,0.7598
E,0.6370,0.7625
T,3289.0000,0.7648
E,0.6450,0.7656
E,0.6520,0.7688
T,3285.0000,0.7698
E,0.6590,0.7719
T,3282.0000,0.7747
E,0.6670,0.7750
E,0.6730,0.7781
T,3279.0000,0.7797
E,0.6800,0.7813
E,0.6860,0.7844
T,3276.0000,0.7847
E,0.6920,0.7875
T,3273.0000,0.7897
E,0.6980,0.7906
E,0.7030,0.7938
T,3270.0000,0.7947
E,0.7070,0.7969
T,3268.0000,0.7997
E,0.7110,0.8000
E,0.7150,0.8031
T,3266.0000,0.8047
E,0.7180,0.8062
E,0.7210,0.8094
T,3265.0000,0.8098
E,0.7230,0.8125
T,3264.0000,0.8147
E,0.7240,0.8156
E,0.7260,0.8188
T,3263.0000,0.8197
E,0.7260,0.8219
T,3263.0000,0.8247
E,0.7270,0.8250
E,0.7270,0.8281
T,3262.0000,0.8298
E,0.7290,0.8313
E,0.7290,0.8344
T,3262.0000,0.8347
E,0.7290,0.8375
T,3262.0000,0.8397
E,0.7290,0.8406
E,0.7280,0.8438
T,3263.0000,0.8447
E,0.7270,0.8469
T,3263.0000,0.8498
E,0.7260,0.8500
E,0.7230,0.8531
T,3265.0000,0.8547
E,0.7210,0.8562
E,0.7200,0.8594
T,3267.0000,0.8597
E,0.7180,0.8625
T,3270.0000,0.8647
E,0.7170,0.8656
E,0.7150,0.8688
T,3272.0000,0.8698
E,0.7140,0.8719
T,3276.0000,0.8747
E,0.7130,0.8750
E,0.7120,0.8781
T,3279.0000,0.8797
E,0.7110,0.8813
E,0.7110,0.8844
T,3283.0000,0.8847
E,0.7100,0.8875
T,3287.0000,0.8898
E,0.7100,0.8906
E,0.7090,0.8938
T,3291.0000,0.8947
E,0.7090,0.8969
T,3296.0000,0.8997
E,0.7090,0.9000
E,0.7090,0.9031
T,3300.0000,0.9047
E,0.7090,0.9063
E,0.7090,0.9094
T,3305.0000,0.9098
E,0.7090,0.9125
T,3310.0000,0.9147
E,0.7010,0.9156
E,0.6920,0.9188
T,3315.0000,0.9197
E,0.6820,0.9219
T,3321.0000,0.9247
E,0.6690,0.9250
E,0.6580,0.9281
T,3327.0000,0.9297
E,0.6470,0.9313
E,0.6350,0.9344
T,3333.0000,0.9347
E,0.6220,0.9375
T,3339.0000,0.9397
E,0.6100,0.9406
E,0.5940,0.9438
T,3347.0000,0.9447
E,0.5800,0.9469
T,3354.0000,0.9497
E,0.5670,0.9500
E,0.5510,0.9531
T,3361.0000,0.9547
E,0.5360,0.9563
E,0.5200,0.9594
T,3370.0000,0.9597
E,0.5040,0.9625
T,3377.0000,0.9647
E,0.4880,0.9656
E,0.4710,0.9688
T,3386.0000,0.9697
E,0.4550,0.9719
T,3394.0000,0.9747
E,0.4400,0.9750
E,0.4230,0.9781
T,3402.0000,0.9797
E,0.4080,0.9812
E,0.3910,0.9844
T,3410.0000,0.9847
E,0.3750,0.9875
T,3418.0000,0.9897
E,0.3570,0.9906
E,0.3390,0.9937
T,3427.0000,0.9946
E,0.3210,0.9969
T,3437.0000,0.9997
E,0.3010,1.0000
E,0.2830,1.0031
T,3446.0000,1.0047
E,0.2630,1.0063
E,0.2440,1.0094
T,3456.0000,1.0096
E,0.2240,1.0125
T,3465.0000,1.0146
E,0.2050,1.0156
E,0.1850,1.0188
T,3475.0000,1.0196
E,0.1670,1.0219
T,3484.0000,1.0246
E,0.1450,1.0250
E,0.1260,1.0281
T,3495.0000,1.0304
E,0.1070,1.0313
E,0.0890,1.0344
T,3503.0000,1.0346
E,0.0680,1.0375
T,3513.0000,1.0397
E,0.0460,1.0406
E,0.0250,1.0437
T,3524.0000,1.0446
E,0.0040,1.0469
T,3534.0000,1.0496
E,-0.0170,1.0500
E,-0.0390,1.0531
