type,value,time
E,-1.1090,131402136.0000
T,3839.0000,0.4329
E,-1.0970,131405256.0000
E,-1.0840,131408384.0000
T,3833.0000,0.4379
E,-1.0700,131411520.0000
T,3826.0000,0.4429
E,-1.0570,131414640.0000
E,-1.0440,131417768.0000
T,3818.0000,0.4479
E,-1.0300,131420888.0000
T,3811.0000,0.4529
E,-1.0160,131424008.0000
E,-1.0000,131427136.0000
T,3803.0000,0.4579
E,-0.9850,131430272.0000
E,-0.9700,131433384.0000
T,3795.0000,0.4629
E,-0.9550,131436520.0000
T,3787.0000,0.4679
E,-0.9390,131439640.0000
E,-0.9220,131442768.0000
T,3778.0000,0.4729
E,-0.9050,131445888.0000
T,3768.0000,0.4779
E,-0.8880,131449016.0000
E,-0.8710,131452144.0000
T,3760.0000,0.4829
E,-0.8530,131455256.0000
E,-0.8360,131458384.0000
T,3751.0000,0.4879
E,-0.8190,131461520.0000
T,3741.0000,0.4929
E,-0.8020,131464640.0000
E,-0.7860,131467768.0000
T,3733.0000,0.4979
E,-0.7690,131470888.0000
T,3724.0000,0.5029
E,-0.7530,131474016.0000
E,-0.7350,131477152.0000
T,3715.0000,0.5079
E,-0.7180,131480256.0000
E,-0.7010,131483392.0000
T,3705.0000,0.5129
E,-0.6820,131486512.0000
T,3695.0000,0.5179
E,-0.6640,131489632.0000
E,-0.6450,131492752.0000
T,3685.0000,0.5229
E,-0.6260,131495888.0000
T,3674.0000,0.5279
E,-0.6080,131499016.0000
E,-0.5890,131502136.0000
T,3664.0000,0.5329
E,-0.5710,131505272.0000
E,-0.5530,131508384.0000
T,3655.0000,0.5379
E,-0.5350,131511512.0000
T,3645.0000,0.5429
E,-0.5160,131514640.0000
E,-0.4980,131517760.0000
T,3635.0000,0.5479
E,-0.4800,131520888.0000
T,3625.0000,0.5529
E,-0.4610,131524016.0000
E,-0.4420,131527136.0000
T,3614.0000,0.5579
E,-0.4220,131530272.0000
E,-0.4030,131533384.0000
T,3604.0000,0.5629
E,-0.3840,131536512.0000
T,3594.0000,0.5679
E,-0.3640,131539632.0000
E,-0.3460,131542760.0000
T,3583.0000,0.5729
E,-0.3270,131545888.0000
T,3572.0000,0.5779
E,-0.3070,131549016.0000
E,-0.2890,131552136.0000
T,3562.0000,0.5829
E,-0.2710,131555272.0000
E,-0.2520,131558384.0000
T,3553.0000,0.5879
E,-0.2320,131561520.0000
T,3542.0000,0.5929
E,-0.2130,131564640.0000
E,-0.1960,131567768.0000
T,3532.0000,0.5978
E,-0.1770,131570896.0000
T,3522.0000,0.6029
E,-0.1570,131574016.0000
E,-0.1370,131577136.0000
T,3511.0000,0.6079
E,-0.1180,131580272.0000
E,-0.0980,131583384.0000
T,3501.0000,0.6129
E,-0.0800,131586512.0000
T,3491.0000,0.6178
E,-0.0620,131589648.0000
E,-0.0440,131592752.0000
T,3481.0000,0.6229
E,-0.0260,131595888.0000
T,3472.0000,0.6279
E,-0.0050,131599016.0000
E,0.0120,131602136.0000
T,3463.0000,0.6328
E,0.0310,131605256.0000
E,0.0490,131608384.0000
T,3453.0000,0.6378
E,0.0660,131611512.0000
T,3443.0000,0.6428
E,0.0840,131614640.0000
E,0.1010,131617768.0000
T,3434.0000,0.6478
E,0.1180,131620888.0000
T,3425.0000,0.6528
E,0.1360,131624000.0000
E,0.1540,131627136.0000
T,3416.0000,0.6578
E,0.1700,131630264.0000
E,0.1870,131633384.0000
T,3407.0000,0.6628
E,0.2030,131636520.0000
T,3399.0000,0.6678
E,0.2180,131639632.0000
E,0.2330,131642768.0000
T,3391.0000,0.6728
E,0.2480,131645888.0000
T,3384.0000,0.6778
E,0.2630,131649016.0000
E,0.2780,131652136.0000
T,3376.0000,0.6828
E,0.2920,131655256.0000
E,0.3060,131658384.0000
T,3368.0000,0.6878
E,0.3220,131661520.0000
T,3361.0000,0.6928
E,0.3370,131664632.0000
E,0.3490,131667768.0000
T,3354.0000,0.6978
E,0.3640,131670888.0000
T,3346.0000,0.7028
E,0.3790,131674016.0000
E,0.3930,131677136.0000
T,3339.0000,0.7078
E,0.4050,131680256.0000
E,0.4180,131683392.0000
T,3333.0000,0.7128
E,0.4330,131686512.0000
T,3326.0000,0.7178
E,0.4450,131689648.0000
E,0.4550,131692752.0000
T,3320.0000,0.7228
E,0.4650,131695888.0000
T,3316.0000,0.7278
E,0.4760,131699016.0000
E,0.4870,131702136.0000
T,3310.0000,0.7328
E,0.4970,131705256.0000
E,0.5050,131708384.0000
T,3305.0000,0.7378
E,0.5150,131711504.0000
T,3300.0000,0.7428
E,0.5240,131714640.0000
E,0.5330,131717752.0000
T,3295.0000,0.7482
E,0.5420,131720888.0000
T,3291.0000,0.7528
E,0.5510,131724000.0000
E,0.5590,131727136.0000
T,3287.0000,0.7578
E,0.5670,131730256.0000
E,0.5740,131733384.0000
T,3283.0000,0.7628
E,0.5810,131736520.0000
T,3280.0000,0.7678
E,0.5870,131739640.0000
E,0.5940,131742752.0000
T,3277.0000,0.7728
E,0.5990,131745888.0000
T,3274.0000,0.7778
E,0.6050,131749008.0000
E,0.6100,131752136.0000
T,3271.0000,0.7828
E,0.6140,131755272.0000
E,0.6190,131758384.0000
T,3269.0000,0.7878
E,0.6240,131761520.0000
T,3267.0000,0.7928
E,0.6280,131764640.0000
E,0.6310,131767752.0000
T,3266.0000,0.7978
E,0.6340,131770888.0000
T,3264.0000,0.8028
E,0.6360,131774016.0000
E,0.6380,131777136.0000
T,3263.0000,0.8078
E,0.6400,131780256.0000
E,0.6410,131783384.0000
T,3263.0000,0.8128
E,0.6410,131786520.0000
T,3263.0000,0.8178
E,0.6420,131789640.0000
E,0.6430,131792760.0000
T,3262.0000,0.8228
E,0.6430,131795888.0000
T,3262.0000,0.8278
E,0.6430,131799008.0000
E,0.6430,131802152.0000
T,3262.0000,0.8328
E,0.6430,131805256.0000
E,0.6430,131808384.0000
T,3263.0000,0.8377
E,0.6420,131811512.0000
T,3264.0000,0.8428
E,0.6380,131814632.0000
E,0.6370,131817752.0000
T,3266.0000,0.8478
E,0.6340,131820888.0000
T,3269.0000,0.8528
