type,value,time
T,3500.0000,0.0003
E,0.0000,0.0031
T,3500.0000,0.0042
E,0.0000,0.0063
T,3500.0000,0.0092
E,0.0000,0.0094
E,-0.0010,0.0125
T,3504.0000,0.0142
E,-0.0070,0.0156
E,-0.0210,0.0187
T,3514.0000,0.0192
E,-0.0410,0.0219
T,3528.0000,0.0242
E,-0.0760,0.0250
E,-0.1120,0.0281
T,3547.0000,0.0292
E,-0.1560,0.0312
T,3569.0000,0.0342
E,-0.2020,0.0344
E,-0.2530,0.0375
T,3595.0000,0.0392
E,-0.3070,0.0406
E,-0.3660,0.0437
T,3624.0000,0.0442
E,-0.4310,0.0469
T,3657.0000,0.0492
E,-0.4980,0.0500
E,-0.5680,0.0531
T,3693.0000,0.0542
E,-0.6400,0.0562
T,3732.0000,0.0592
E,-0.7190,0.0594
E,-0.8040,0.0625
T,3776.0000,0.0642
E,-0.8920,0.0656
E,-0.9830,0.0687
T,3823.0000,0.0692
E,-1.0760,0.0719
T,3874.0000,0.0742
E,-1.1700,0.0750
E,-1.2260,0.0781
T,3902.0000,0.0792
E,-1.2260,0.0812
T,3893.0000,0.0842
E,-1.2140,0.0844
E,-1.2070,0.0875
T,3886.0000,0.0892
E,-1.2020,0.0906
E,-1.1960,0.0937
T,3883.0000,0.0942
E,-1.1910,0.0969
T,3880.0000,0.0992
E,-1.1870,0.1000
E,-1.1860,0.1031
T,3880.0000,0.1042
E,-1.1860,0.1062
T,3880.0000,0.1092
E,-1.1860,0.1094
E,-1.1860,0.1125
T,3882.0000,0.1142
E,-1.1880,0.1156
E,-1.1900,0.1188
T,3884.0000,0.1192
E,-1.1930,0.1219
T,3888.0000,0.1242
E,-1.1970,0.1250
E,-1.2020,0.1281
T,3891.0000,0.1291
E,-1.2060,0.1312
T,3895.0000,0.1341
E,-1.2110,0.1344
E,-1.2170,0.1375
T,3898.0000,0.1391
E,-1.2240,0.1406
E,-1.2310,0.1437
T,3902.0000,0.1441
E,-1.2370,0.1469
T,3905.0000,0.1491
E,-1.2440,0.1500
E,-1.2490,0.1531
T,3908.0000,0.1541
E,-1.2540,0.1563
T,3911.0000,0.1591
E,-1.2590,0.1594
E,-1.2640,0.1625
T,3914.0000,0.1641
E,-1.2680,0.1656
E,-1.2720,0.1687
T,3916.0000,0.1691
E,-1.2750,0.1719
T,3917.0000,0.1741
E,-1.2780,0.1750
E,-1.2810,0.1781
T,3919.0000,0.1791
E,-1.2840,0.1812
T,3921.0000,0.1841
E,-1.2870,0.1844
E,-1.2890,0.1875
T,3922.0000,0.1891
E,-1.2910,0.1906
E,-1.2930,0.1937
T,3922.0000,0.1941
E,-1.2940,0.1969
T,3923.0000,0.1991
E,-1.2950,0.2000
E,-1.2960,0.2031
T,3923.0000,0.2041
E,-1.2960,0.2062
T,3923.0000,0.2091
E,-1.2970,0.2094
E,-1.2970,0.2125
T,3924.0000,0.2141
E,-1.2970,0.2156
E,-1.2970,0.2188
T,3923.0000,0.2191
E,-1.2970,0.2219
T,3923.0000,0.2241
E,-1.2970,0.2250
E,-1.2970,0.2281
T,3922.0000,0.2291
E,-1.2960,0.2313
T,3921.0000,0.2341
E,-1.2940,0.2344
E,-1.2930,0.2375
T,3919.0000,0.2391
E,-1.2900,0.2406
E,-1.2870,0.2437
T,3916.0000,0.2441
E,-1.2840,0.2469
T,3914.0000,0.2491
E,-1.2810,0.2500
E,-1.2770,0.2531
T,3911.0000,0.2541
E,-1.2720,0.2562
T,3907.0000,0.2591
E,-1.2670,0.2594
E,-1.2600,0.2625
T,3904.0000,0.2641
E,-1.2540,0.2656
E,-1.2460,0.2687
T,3900.0000,0.2691
E,-1.2390,0.2719
T,3895.0000,0.2741
E,-1.2310,0.2750
E,-1.2230,0.2781
T,3891.0000,0.2791
E,-1.2140,0.2813
T,3886.0000,0.2841
E,-1.2060,0.2844
E,-1.1970,0.2875
T,3881.0000,0.2891
E,-1.1870,0.2906
E,-1.1770,0.2938
T,3875.0000,0.2941
E,-1.1660,0.2969
T,3870.0000,0.2991
E,-1.1560,0.3000
E,-1.1450,0.3031
T,3864.0000,0.3041
E,-1.1350,0.3063
T,3858.0000,0.3091
E,-1.1250,0.3094
E,-1.1130,0.3125
T,3851.0000,0.3142
E,-1.1010,0.3156
E,-1.0890,0.3188
T,3845.0000,0.3191
E,-1.0780,0.3219
T,3838.0000,0.3241
E,-1.0640,0.3250
E,-1.0510,0.3281
T,3831.0000,0.3291
E,-1.0400,0.3312
T,3824.0000,0.3341
E,-1.0270,0.3344
E,-1.0120,0.3375
T,3816.0000,0.3391
E,-0.9970,0.3406
E,-0.9840,0.3437
T,3809.0000,0.3441
E,-0.9690,0.3469
T,3801.0000,0.3491
E,-0.9540,0.3500
E,-0.9390,0.3531
T,3793.0000,0.3541
E,-0.9250,0.3562
T,3785.0000,0.3591
E,-0.9090,0.3594
E,-0.8920,0.3625
T,3776.0000,0.3640
E,-0.8730,0.3656
E,-0.8550,0.3688
T,3766.0000,0.3690
E,-0.8360,0.3719
T,3757.0000,0.3741
E,-0.8180,0.3750
E,-0.8000,0.3781
T,3748.0000,0.3790
E,-0.7820,0.3813
T,3739.0000,0.3841
E,-0.7660,0.3844
E,-0.7480,0.3875
T,3730.0000,0.3890
E,-0.7310,0.3906
E,-0.7140,0.3938
T,3721.0000,0.3941
E,-0.6980,0.3969
T,3712.0000,0.3990
E,-0.6790,0.4000
E,-0.6610,0.4031
T,3702.0000,0.4040
E,-0.6420,0.4062
T,3692.0000,0.4090
E,-0.6220,0.4094
E,-0.6030,0.4125
T,3682.0000,0.4141
E,-0.5830,0.4156
E,-0.5640,0.4187
T,3672.0000,0.4190
E,-0.5440,0.4219
T,3662.0000,0.4240
E,-0.5240,0.4250
E,-0.5050,0.4281
T,3652.0000,0.4290
E,-0.4860,0.4312
T,3642.0000,0.4341
E,-0.4670,0.4344
E,-0.4490,0.4375
T,3632.0000,0.4390
E,-0.4290,0.4406
E,-0.4100,0.4437
T,3622.0000,0.4440
E,-0.3890,0.4469
T,3612.0000,0.4490
E,-0.3680,0.4500
E,-0.3480,0.4531
T,3601.0000,0.4540
E,-0.3270,0.4563
T,3591.0000,0.4590
E,-0.3070,0.4594
E,-0.2870,0.4625
T,3580.0000,0.4640
E,-0.2660,0.4656
E,-0.2450,0.4687
T,3570.0000,0.4690
E,-0.2250,0.4719
T,3560.0000,0.4740
E,-0.2040,0.4750
E,-0.1840,0.4781
T,3550.0000,0.4790
E,-0.1620,0.4812
T,3540.0000,0.4840
E,-0.1410,0.4844
E,-0.1210,0.4875
T,3530.0000,0.4890
E,-0.0990,0.4906
E,-0.0780,0.4938
T,3520.0000,0.4940
E,-0.0560,0.4969
T,3509.0000,0.4990
E,-0.0340,0.5000
E,-0.0130,0.5031
T,3499.0000,0.5040
E,0.0090,0.5062
T,3489.0000,0.5090
E,0.0300,0.5094
E,0.0510,0.5125
T,3479.0000,0.5140
E,0.0720,0.5156
E,0.0920,0.5187
T,3469.0000,0.5190
E,0.1110,0.5219
T,3460.0000,0.5240
E,0.1290,0.5250
E,0.1480,0.5281
T,3450.0000,0.5290
E,0.1660,0.5312
T,3442.0000,0.5340
E,0.1830,0.5344
E,0.2000,0.5375
T,3432.0000,0.5390
E,0.2170,0.5406
E,0.2340,0.5437
T,3423.0000,0.5440
E,0.2500,0.5469
T,3414.0000,0.5490
E,0.2670,0.5500
E,0.2820,0.5531
T,3406.0000,0.5540
E,0.2970,0.5562
T,3397.0000,0.5590
E,0.3120,0.5594
E,0.3270,0.5625
T,3389.0000,0.5640
E,0.3420,0.5656
E,0.3570,0.5688
T,3382.0000,0.5690
E,0.3710,0.5719
T,3374.0000,0.5740
E,0.3850,0.5750
E,0.3990,0.5781
T,3367.0000,0.5790
E,0.4130,0.5812
T,3359.0000,0.5840
E,0.4270,0.5844
E,0.4410,0.5875
T,3351.0000,0.5890
E,0.4560,0.5906
E,0.4700,0.5937
T,3344.0000,0.5940
E,0.4830,0.5969
T,3338.0000,0.5990
E,0.4960,0.6000
E,0.5100,0.6031
T,3331.0000,0.6040
E,0.5220,0.6063
T,3325.0000,0.6090
E,0.5360,0.6094
E,0.5480,0.6125
T,3319.0000,0.6140
E,0.5600,0.6156
E,0.5710,0.6187
T,3314.0000,0.6190
E,0.5830,0.6219
T,3309.0000,0.6239
E,0.5950,0.6250
E,0.6060,0.6281
T,3304.0000,0.6290
E,0.6170,0.6312
T,3299.0000,0.6341
E,0.6290,0.6344
E,0.6400,0.6375
T,3295.0000,0.6389
E,0.6510,0.6406
E,0.6600,0.6438
T,3290.0000,0.6439
E,0.6700,0.6469
T,3286.0000,0.6489
E,0.6790,0.6500
E,0.6870,0.6531
T,3283.0000,0.6539
E,0.6950,0.6562
T,3279.0000,0.6589
E,0.7030,0.6594
E,0.7100,0.6625
T,3276.0000,0.6639
E,0.7170,0.6656
E,0.7230,0.6687
T,3273.0000,0.6689
E,0.7290,0.6719
T,3271.0000,0.6739
E,0.7350,0.6750
E,0.7400,0.6781
T,3268.0000,0.6789
E,0.7450,0.6812
T,3267.0000,0.6839
E,0.7490,0.6844
E,0.7530,0.6875
T,3265.0000,0.6889
E,0.7560,0.6906
E,0.7590,0.6938
T,3264.0000,0.6939
E,0.7600,0.6969
T,3263.0000,0.6989
E,0.7620,0.7000
E,0.7630,0.7031
T,3263.0000,0.7039
E,0.7630,0.7062
T,3262.0000,0.7089
E,0.7640,0.7094
E,0.7650,0.7125
T,3262.0000,0.7139
E,0.7650,0.7156
E,0.7650,0.7187
T,3262.0000,0.7189
E,0.7650,0.7219
T,3262.0000,0.7239
E,0.7650,0.7250
E,0.7640,0.7281
T,3263.0000,0.7289
E,0.7620,0.7312
T,3265.0000,0.7339
E,0.7590,0.7344
E,0.7560,0.7375
T,3266.0000,0.7389
E,0.7530,0.7406
E,0.7480,0.7437
T,3269.0000,0.7439
E,0.7440,0.7469
T,3271.0000,0.7489
E,0.7390,0.7500
E,0.7330,0.7531
T,3274.0000,0.7539
E,0.7260,0.7562
T,3278.0000,0.7589
E,0.7200,0.7594
E,0.7140,0.7625
T,3281.0000,0.7639
E,0.7050,0.7656
E,0.6970,0.7687
T,3286.0000,0.7689
E,0.6880,0.7719
T,3290.0000,0.7739
E,0.6790,0.7750
E,0.6700,0.7781
T,3295.0000,0.7789
E,0.6610,0.7812
T,3299.0000,0.7839
E,0.6530,0.7844
E,0.6440,0.7875
T,3304.0000,0.7889
E,0.6340,0.7906
E,0.6230,0.7937
T,3309.0000,0.7939
E,0.6130,0.7969
T,3315.0000,0.7989
E,0.6030,0.8000
E,0.5920,0.8031
T,3320.0000,0.8039
E,0.5800,0.8062
T,3326.0000,0.8089
E,0.5670,0.8094
E,0.5560,0.8125
T,3332.0000,0.8139
E,0.5450,0.8156
E,0.5300,0.8188
T,3339.0000,0.8189
E,0.5170,0.8219
T,3346.0000,0.8239
E,0.5050,0.8250
E,0.4920,0.8281
T,3353.0000,0.8289
E,0.4770,0.8312
T,3360.0000,0.8339
E,0.4620,0.8344
E,0.4470,0.8375
T,3368.0000,0.8389
E,0.4310,0.8406
E,0.4140,0.8437
T,3376.0000,0.8439
E,0.3990,0.8469
T,3384.0000,0.8489
E,0.3840,0.8500
E,0.3680,0.8531
T,3392.0000,0.8539
E,0.3530,0.8563
T,3400.0000,0.8589
E,0.3360,0.8594
E,0.3200,0.8625
T,3408.0000,0.8639
E,0.3050,0.8656
E,0.2880,0.8687
T,3417.0000,0.8689
E,0.2700,0.8719
T,3426.0000,0.8739
E,0.2540,0.8750
E,0.2350,0.8781
T,3435.0000,0.8789
E,0.2160,0.8813
T,3444.0000,0.8839
E,0.1980,0.8844
E,0.1790,0.8875
T,3454.0000,0.8889
E,0.1600,0.8906
E,0.1400,0.8938
T,3463.0000,0.8939
E,0.1210,0.8969
T,3473.0000,0.8989
E,0.1030,0.9000
E,0.0850,0.9031
T,3482.0000,0.9039
E,0.0660,0.9062
T,3492.0000,0.9089
E,0.0470,0.9094
E,0.0270,0.9125
T,3501.0000,0.9138
E,0.0070,0.9156
E,-0.0120,0.9188
T,3511.0000,0.9189
E,-0.0330,0.9219
T,3522.0000,0.9239
E,-0.0530,0.9250
E,-0.0740,0.9281
T,3532.0000,0.9289
E,-0.0960,0.9312
T,3542.0000,0.9338
E,-0.1170,0.9344
E,-0.1380,0.9375
T,3553.0000,0.9389
E,-0.1580,0.9406
E,-0.1780,0.9437
T,3563.0000,0.9438
E,-0.1970,0.9469
T,3573.0000,0.9488
E,-0.2160,0.9500
E,-0.2360,0.9531
T,3583.0000,0.9539
E,-0.2550,0.9563
T,3593.0000,0.9589
E,-0.2740,0.9594
E,-0.2930,0.9625
T,3603.0000,0.9638
E,-0.3150,0.9656
E,-0.3370,0.9687
T,3613.0000,0.9688
E,-0.3580,0.9719
T,3624.0000,0.9738
E,-0.3790,0.9750
E,-0.4010,0.9781
T,3634.0000,0.9789
E,-0.4220,0.9812
T,3645.0000,0.9838
E,-0.4410,0.9844
E,-0.4600,0.9875
T,3654.0000,0.9888
E,-0.4790,0.9906
E,-0.4990,0.9938
T,3664.0000,0.9938
E,-0.5180,0.9969
T,3674.0000,0.9988
E,-0.5380,1.0000
E,-0.5570,1.0031
T,3684.0000,1.0038
E,-0.5760,1.0062
T,3694.0000,1.0088
E,-0.5950,1.0094
E,-0.6170,1.0125
T,3704.0000,1.0138
E,-0.6370,1.0156
E,-0.6560,1.0187
T,3714.0000,1.0188
E,-0.6760,1.0219
T,3724.0000,1.0238
E,-0.6940,1.0250
E,-0.7120,1.0281
T,3733.0000,1.0288
E,-0.7310,1.0313
T,3742.0000,1.0338
E,-0.7480,1.0344
E,-0.7640,1.0375
T,3751.0000,1.0388
E,-0.7820,1.0406
E,-0.8000,1.0438
T,3760.0000,1.0438
E,-0.8180,1.0469
T,3769.0000,1.0488
E,-0.8340,1.0500
E,-0.8510,1.0531
