Time (s),Position (ticks)
0.0003,3500
0.0042,3500
0.0092,3500
0.0142,3503
0.0192,3513
0.0242,3527
0.0292,3543
0.0342,3563
0.0391,3586
0.0441,3611
0.0491,3639
0.0541,3669
0.0591,3703
0.0641,3740
0.0691,3779
0.0741,3822
0.0791,3868
0.0841,3917
0.0891,3968
0.0941,4020
0.0991,4033
0.1041,4018
0.1091,4007
0.1141,3998
0.1191,3991
0.1241,3984
0.1291,3979
0.1341,3974
0.1391,3969
0.1441,3964
0.1491,3958
0.1541,3952
0.1591,3945
0.1641,3937
0.1691,3929
0.1741,3920
0.1791,3912
0.1841,3903
0.1891,3893
0.1941,3884
0.1991,3874
0.2041,3863
0.2091,3852
0.2146,3839
0.2191,3829
0.2241,3818
0.2291,3806
0.2341,3793
0.2391,3781
0.2441,3768
0.2491,3754
0.2541,3741
0.2591,3728
0.2641,3715
0.2691,3702
0.2741,3688
0.2791,3674
0.2841,3660
0.2891,3646
0.2941,3633
0.2991,3619
0.3041,3605
0.3091,3591
0.3141,3577
0.3191,3563
0.3241,3549
0.3291,3535
0.3341,3521
0.339,3507
0.344,3492
0.349,3479
0.354,3465
0.359,3452
0.364,3439
0.369,3426
0.374,3413
0.379,3399
0.384,3387
0.389,3375
0.394,3364
0.399,3352
0.404,3340
0.409,3328
0.414,3318
0.419,3307
0.424,3297
0.429,3287
0.434,3278
0.439,3269
0.444,3259
0.449,3250
0.454,3242
0.459,3234
0.464,3226
0.469,3220
0.474,3214
0.479,3207
0.484,3202
0.489,3197
0.494,3192
0.499,3188
0.504,3183
0.509,3179
0.514,3176
0.519,3173
0.524,3171
0.529,3170
0.5345,3169
0.539,3168
0.544,3168
0.549,3168
0.554,3168
0.559,3168
0.564,3169
0.569,3171
0.574,3174
0.579,3177
0.584,3182
0.589,3186
0.594,3191
0.599,3197
0.604,3203
0.609,3208
0.614,3215
0.619,3221
0.624,3228
0.629,3236
0.634,3244
0.639,3252
0.644,3262
0.6489,3271
0.6539,3281
0.6589,3291
0.6639,3302
0.6689,3312
0.6739,3323
0.6789,3333
0.6839,3345
0.6889,3357
0.6939,3370
0.6989,3382
0.7039,3395
0.7089,3407
0.7139,3420
0.7189,3433
0.7239,3446
0.7289,3461
