Time (s),Position (ticks)
0.0002,3500
0.005,3500
0.01,3500
0.015,3494
0.02,3485
0.025,3472
0.03,3454
0.035,3434
0.04,3410
0.045,3384
0.05,3356
0.055,3330
0.06,3330
0.065,3337
0.07,3343
0.075,3350
0.08,3358
0.0849,3365
0.0899,3371
0.0949,3379
0.0999,3385
0.1049,3392
0.1099,3399
0.1149,3406
0.1199,3414
0.1249,3423
0.1299,3432
0.1349,3441
0.1399,3450
0.1449,3460
0.1499,3469
0.1549,3479
0.1599,3488
0.1649,3498
0.1699,3508
0.1749,3517
0.1799,3527
0.1849,3538
0.1899,3548
0.1949,3559
0.1999,3568
0.2049,3578
0.2099,3588
0.215,3598
0.2199,3608
0.2249,3619
0.2299,3630
0.2349,3640
0.2399,3650
0.2449,3661
0.2499,3670
0.2549,3681
0.2599,3691
0.2649,3702
0.2699,3712
0.2749,3722
0.2799,3733
0.2849,3743
0.2899,3752
0.2948,3761
0.2998,3771
0.3049,3781
0.3098,3791
0.3148,3801
0.3198,3810
0.3249,3820
0.3298,3829
0.3348,3838
0.3398,3846
0.3449,3855
0.3498,3864
0.3548,3873
0.3598,3882
0.3649,3890
0.3698,3898
0.3748,3906
0.3798,3913
0.3849,3921
0.3898,3928
0.3948,3936
0.3998,3943
0.4048,3950
0.4098,3957
0.4148,3964
0.4198,3971
0.4248,3978
0.4298,3984
0.4348,3990
0.4398,3995
0.4448,4000
0.4498,4006
0.4548,4010
0.4598,4015
0.4648,4020
0.4698,4025
0.4748,4029
0.4798,4033
0.4848,4038
0.4898,4041
0.4948,4045
0.4998,4048
0.5048,4052
0.5098,4054
0.5148,4057
0.5198,4059
0.5248,4061
0.5298,4063
0.5348,4064
0.5398,4065
0.5448,4067
0.5498,4068
0.5548,4068
0.5598,4069
0.5648,4069
0.5698,4070
0.5747,4070
0.5797,4070
0.5847,4069
0.5897,4069
0.5947,4068
0.5997,4066
0.6047,4064
0.6097,4062
0.6147,4060
0.6197,4057
0.6247,4054
0.6297,4051
0.6347,4047
0.6397,4044
0.6447,4041
0.6497,4037
0.6547,4033
0.6597,4028
0.6647,4023
0.6697,4019
0.6747,4013
0.6797,4008
0.6847,4003
0.6897,3998
0.6947,3993
0.6997,3986
0.7047,3981
0.7097,3974
0.7147,3967
0.7197,3960
0.7247,3953
0.7297,3946
0.7347,3939
0.7397,3931
0.7447,3924
0.7497,3916
0.7547,3908
0.7597,3900
0.7647,3892
0.7697,3884
0.7747,3875
0.7797,3866
0.7847,3857
0.7897,3848
0.7947,3839
0.7997,3829
0.8047,3820
0.8097,3811
0.8147,3801
0.8197,3792
0.8247,3781
0.8297,3771
0.8347,3761
0.8397,3750
0.8447,3740
0.8497,3730
0.8547,3720
0.8597,3710
0.8646,3700
0.8696,3689
0.8746,3678
0.8796,3667
0.8846,3657
0.8896,3646
0.8946,3636
0.8996,3625
0.9046,3615
0.9096,3603
0.9146,3592
0.9196,3581
0.9246,3570
0.9296,3560
0.9346,3550
0.9396,3539
0.9446,3529
0.9496,3517
0.9546,3506
0.9596,3495
0.9646,3485
0.9696,3474
0.9746,3464
0.9796,3454
0.9846,3443
0.9896,3433
0.9946,3422
0.9996,3412
1.0046,3402
1.0096,3393
1.0146,3383
