Time (s),Position (ticks)
0.0002,3500
0.0045,3500
0.0095,3499
0.0145,3494
0.0195,3484
0.0245,3471
0.0295,3455
0.0345,3436
0.0395,3412
0.0445,3386
0.0495,3358
0.0545,3327
0.0595,3314
0.0645,3327
0.0695,3345
0.0745,3370
0.0795,3401
0.0845,3436
0.0895,3473
0.0945,3514
0.0995,3555
0.1045,3597
0.1095,3636
0.1145,3673
0.1195,3708
0.1245,3738
0.1294,3764
0.1345,3782
0.1394,3796
0.1445,3802
0.1495,3802
0.1544,3796
0.1594,3782
0.1644,3761
0.1694,3734
0.1744,3702
0.1794,3666
0.1844,3628
0.1894,3590
0.1953,3545
0.1994,3515
0.2044,3480
0.2094,3449
0.2144,3422
0.2194,3401
0.2244,3386
0.2294,3379
0.2344,3377
0.2394,3382
0.2444,3393
0.2494,3411
0.2544,3437
0.2594,3467
0.2644,3502
0.2694,3540
0.2744,3580
0.2794,3618
0.2844,3656
0.2894,3691
0.2944,3724
0.2994,3752
0.3044,3775
0.3094,3791
0.3144,3802
0.3194,3806
0.3244,3804
0.3294,3794
0.3344,3778
0.3394,3755
0.3444,3725
0.3494,3692
0.3544,3654
0.3594,3616
0.3644,3576
0.3694,3539
0.3744,3502
0.3794,3469
0.3844,3440
0.3894,3415
0.3944,3397
0.3994,3385
0.4044,3380
0.4093,3381
0.4143,3389
0.4193,3403
0.4243,3425
0.4293,3453
0.4344,3486
0.4393,3523
0.4443,3562
0.4493,3601
0.4543,3639
0.4593,3676
0.4643,3709
0.4693,3739
0.4743,3765
0.4793,3783
0.4843,3797
0.4893,3804
0.4943,3804
0.4993,3796
0.5043,3782
0.5093,3762
0.5152,3728
0.5193,3702
0.5243,3666
0.5293,3627
0.5343,3588
0.5393,3550
0.5443,3513
0.5493,3478
0.5543,3448
0.5593,3422
0.5643,3402
0.5693,3389
0.5743,3383
0.5793,3383
0.5843,3389
0.5893,3402
0.5943,3423
0.5993,3449
0.6043,3482
0.6093,3518
0.6143,3557
0.6193,3596
0.6243,3635
0.6293,3672
0.6343,3706
0.6393,3736
0.6443,3762
0.6493,3781
0.6543,3794
0.6593,3801
0.6643,3802
0.6693,3795
0.6743,3781
0.6793,3760
0.6843,3732
0.6893,3700
0.6943,3664
0.6993,3625
0.7043,3587
0.7092,3548
0.7142,3512
0.7192,3477
0.7242,3447
0.7292,3421
0.7342,3401
0.7392,3389
0.7442,3384
0.7492,3384
0.7542,3392
0.7592,3407
0.7642,3428
0.7692,3456
0.7742,3489
0.7792,3526
0.7842,3565
0.7892,3604
0.7942,3643
0.7992,3679
0.8042,3712
0.8092,3742
0.8142,3766
0.8192,3783
0.8242,3795
0.8292,3800
0.8351,3797
0.8392,3789
0.8442,3774
0.8492,3750
0.8542,3721
0.8592,3688
0.8642,3651
0.8692,3612
0.8742,3572
0.8792,3534
0.8842,3499
0.8892,3466
0.8942,3438
0.8992,3414
0.9042,3398
0.9092,3388
0.9142,3386
0.9192,3389
0.9242,3400
0.9292,3418
0.9342,3442
0.9392,3473
0.9442,3508
0.9492,3546
0.9542,3585
0.9592,3625
0.9642,3662
0.9692,3696
0.9741,3728
0.9792,3755
0.9841,3775
0.9891,3789
0.9941,3797
0.9992,3798
1.0041,3792
1.0091,3779
1.0141,3758
1.0192,3731
1.0241,3700
1.0291,3663
1.0341,3624
1.0392,3585
1.0441,3547
1.0491,3510
1.0541,3476
1.0591,3446
1.0641,3422
1.0691,3403
1.0741,3391
1.0791,3387
1.0841,3389
1.0891,3398
1.0941,3414
1.0991,3437
1.1041,3466
1.1091,3501
1.1141,3538
1.1191,3578
1.1241,3617
1.1291,3655
1.1341,3690
1.1391,3722
1.1441,3750
1.1491,3771
1.1549,3788
1.1591,3795
1.1641,3796
1.1691,3792
1.1741,3779
1.1791,3759
1.1841,3733
1.1891,3700
1.1941,3665
1.1991,3626
1.2041,3587
1.2091,3549
1.2141,3512
1.2191,3478
1.224,3447
1.229,3423
1.2341,3404
1.239,3394
1.244,3389
1.249,3392
1.254,3400
1.259,3417
1.264,3441
1.269,3470
1.274,3506
1.279,3543
1.284,3583
1.289,3622
1.294,3659
1.299,3694
1.304,3726
1.309,3752
1.314,3772
1.319,3786
1.324,3793
1.329,3794
1.334,3787
1.339,3773
1.344,3752
1.349,3724
1.354,3691
1.359,3654
1.364,3615
1.369,3576
1.374,3538
1.379,3502
1.384,3469
1.389,3440
1.394,3417
1.399,3401
1.404,3393
1.409,3391
1.414,3396
1.419,3408
1.424,3427
1.429,3453
1.434,3485
1.439,3521
1.444,3560
1.449,3600
1.454,3638
1.459,3674
1.464,3708
1.469,3737
1.4748,3765
1.479,3778
1.484,3789
1.489,3792
1.494,3790
1.499,3779
1.504,3761
1.509,3736
1.514,3705
1.519,3671
1.524,3632
1.529,3593
1.5339,3554
1.5389,3518
1.544,3482
1.5489,3452
1.5539,3428
1.5589,3409
1.564,3397
1.5689,3392
1.5739,3395
1.5789,3404
1.584,3421
1.5889,3445
1.5939,3476
1.5989,3511
1.604,3549
1.6089,3588
1.6139,3627
1.6189,3665
1.6239,3698
1.6289,3729
1.6339,3754
1.6389,3773
1.6439,3785
1.6489,3791
1.6539,3789
1.6589,3780
1.6639,3763
1.6689,3740
1.6739,3710
1.6789,3676
1.6839,3638
1.6889,3599
1.6939,3560
1.6989,3523
1.7039,3488
1.7089,3457
1.7139,3431
1.7189,3412
1.7239,3400
1.7289,3395
1.7339,3395
1.7389,3405
1.7439,3421
1.7489,3446
1.7539,3475
1.7589,3510
1.7638,3548
