Time (s),Position (ticks)
0.0002,3500
0.0016,3500
0.0066,3500
0.0116,3502
0.0166,3509
0.0216,3521
0.0266,3536
0.0316,3554
0.0366,3575
0.0416,3599
0.0466,3626
0.0516,3656
0.0566,3687
0.0616,3723
0.0666,3762
0.0716,3802
0.0766,3847
0.0816,3895
0.0866,3923
0.0916,3914
0.0966,3904
0.1016,3895
0.1066,3886
0.1116,3878
0.1165,3871
0.1215,3864
0.1265,3856
0.1316,3848
0.1365,3841
0.1415,3833
0.1465,3825
0.1516,3816
0.1565,3807
0.1615,3797
0.1665,3787
0.1716,3776
0.1765,3765
0.1815,3754
0.1865,3743
0.1916,3731
0.1965,3720
0.2015,3709
0.2065,3697
0.2116,3685
0.2165,3672
0.2215,3661
0.2265,3649
0.2316,3636
0.2365,3624
0.2415,3612
0.2465,3599
0.2516,3586
0.2565,3574
0.2615,3562
0.2665,3549
0.2715,3537
0.2765,3524
0.2815,3512
0.2865,3500
0.2915,3486
0.2965,3475
0.3015,3463
0.3065,3451
0.3115,3440
0.3165,3428
0.3215,3415
0.3265,3404
0.3315,3393
0.3365,3383
0.3415,3373
0.3465,3362
0.3515,3352
0.3565,3341
0.3615,3331
0.3665,3323
0.3715,3313
0.3765,3304
0.3815,3296
0.3865,3287
0.3915,3279
0.3965,3271
0.4015,3264
0.4064,3257
0.4114,3249
0.4164,3242
0.4214,3236
0.4264,3231
0.4314,3225
0.4364,3221
0.4414,3216
0.4464,3212
0.4514,3208
0.4564,3204
0.4614,3201
0.4664,3198
0.4714,3195
0.4764,3193
0.4814,3192
0.4864,3190
0.4914,3189
0.4964,3189
0.5014,3188
0.5064,3188
0.5114,3188
0.5164,3189
0.5214,3189
0.5264,3191
0.5314,3194
0.5364,3197
0.5414,3201
0.5464,3205
0.5514,3209
0.5564,3213
0.5614,3218
0.5664,3223
0.5714,3229
0.5764,3234
0.5814,3241
0.5864,3247
0.5914,3254
0.5964,3262
0.6014,3270
0.6064,3278
0.6114,3286
0.6164,3295
0.6213,3303
0.6263,3313
0.6313,3322
0.6363,3331
0.6413,3341
0.6463,3351
0.6513,3362
0.6563,3373
0.6613,3384
0.6663,3395
0.6713,3406
0.6763,3417
0.6813,3429
0.6863,3441
0.6913,3453
0.6963,3465
0.7013,3478
0.7063,3490
0.7113,3502
0.7163,3514
0.7213,3528
0.7263,3541
0.7313,3553
0.7363,3566
0.7413,3578
0.7463,3591
0.7513,3603
0.7563,3616
0.7613,3629
0.7663,3642
0.7713,3655
0.7763,3668
0.7813,3680
0.7863,3693
0.7913,3705
0.7963,3718
0.8013,3729
0.8063,3741
0.8113,3753
0.8163,3765
0.8213,3776
0.8263,3788
0.8313,3799
0.8363,3811
0.8413,3821
0.8463,3832
0.8513,3842
0.8563,3851
0.8613,3861
0.8663,3871
0.8713,3880
0.8763,3889
0.8813,3897
0.8863,3905
0.8913,3913
0.8963,3920
0.9013,3927
0.9063,3934
0.9113,3941
0.9163,3947
0.9212,3953
0.9262,3958
0.9312,3963
0.9362,3968
0.9412,3972
0.9462,3975
0.9512,3979
0.9562,3982
0.9612,3985
0.9662,3987
0.9712,3988
0.9762,3989
0.9812,3990
0.9862,3991
0.9912,3991
0.9962,3991
1.0012,3991
1.0062,3990
1.0112,3989
1.0162,3987
1.0212,3984
1.0262,3981
1.0312,3978
1.0362,3973
1.0412,3970
1.0462,3965
1.0512,3960
1.0562,3954
1.0612,3948
1.0662,3941
1.0712,3934
1.0762,3928
1.0812,3921
1.0862,3913
1.0912,3905
1.0962,3897
1.1012,3888
1.1062,3880
1.1112,3870
1.1162,3860
1.1212,3851
1.1262,3840
1.1312,3830
1.1362,3819
1.1412,3809
1.1462,3798
1.1512,3786
1.1562,3774
1.1611,3763
1.1662,3750
1.1712,3738
1.1761,3726
1.1812,3714
1.1861,3701
1.1911,3688
1.1961,3676
1.2011,3663
1.2061,3650
1.2111,3638
1.2161,3625
1.2211,3612
1.2261,3599
1.2311,3585
1.2361,3572
1.2411,3560
1.2461,3547
1.2511,3534
1.2561,3521
1.2611,3508
1.2661,3494
1.2711,3482
1.2761,3469
1.2811,3456
1.2861,3444
1.2911,3433
1.2961,3420
1.3011,3409
1.3061,3397
1.3111,3386
1.3161,3375
1.3211,3365
1.3261,3354
1.3311,3343
1.3361,3333
1.3411,3323
1.3461,3314
1.3511,3305
1.3561,3297
1.3611,3289
1.3661,3280
1.3711,3272
1.3761,3264
1.3811,3257
1.3861,3250
1.3911,3244
1.3961,3238
1.4011,3232
1.4061,3227
1.4111,3223
1.416,3219
1.421,3215
1.426,3211
1.431,3208
1.436,3205
1.441,3203
1.446,3201
1.451,3200
1.456,3199
1.461,3198
1.466,3198
1.471,3198
1.476,3198
1.481,3199
1.486,3201
1.491,3203
1.496,3206
1.501,3209
1.506,3213
1.511,3218
1.516,3222
1.521,3227
1.526,3232
1.531,3237
1.536,3243
1.541,3250
1.546,3257
1.551,3265
1.556,3273
1.561,3281
1.566,3290
1.571,3299
1.576,3307
1.581,3317
1.586,3326
1.591,3336
1.596,3346
1.601,3357
1.606,3368
1.611,3379
1.616,3391
1.621,3402
1.626,3413
1.631,3425
1.636,3438
1.6409,3451
1.6459,3463
1.6509,3476
1.6559,3489
1.6609,3501
1.6659,3514
1.6709,3528
1.6759,3541
1.6809,3554
1.6859,3568
1.6909,3580
1.6959,3593
1.7009,3607
1.7059,3620
1.7109,3633
1.7159,3646
1.7209,3660
1.7259,3672
1.7309,3686
1.7359,3698
1.7409,3712
1.7459,3725
1.7509,3737
1.7559,3749
1.7609,3761
1.7659,3773
1.7709,3785
1.7759,3796
1.7809,3808
1.7859,3819
1.7909,3830
1.7959,3840
1.8009,3850
1.8059,3860
1.8109,3870
1.8159,3879
1.8209,3888
1.8259,3896
1.8309,3904
1.8359,3912
1.8409,3920
1.8459,3926
1.8509,3933
1.8559,3939
1.8609,3945
1.8659,3951
1.8709,3956
1.8759,3961
1.8809,3965
1.8859,3968
1.8909,3972
1.8959,3975
1.9009,3977
1.9059,3979
1.9108,3980
1.9158,3981
1.9208,3981
1.9258,3982
1.9308,3982
1.9358,3981
1.9408,3981
1.9458,3979
1.9508,3977
1.9558,3974
1.9608,3970
1.9658,3967
1.9708,3962
1.9758,3957
1.9808,3951
1.9858,3946
1.9908,3940
1.9958,3933
2.0008,3926
2.0058,3918
2.0108,3911
2.0158,3903
2.0208,3895
2.0258,3887
2.0308,3878
2.0358,3868
2.0408,3859
2.0458,3848
2.0508,3837
2.0558,3827
2.0608,3816
2.0658,3805
2.0708,3794
2.0758,3782
2.0808,3769
2.0858,3756
2.0908,3745
2.0958,3732
2.1008,3720
2.1058,3707
2.1108,3694
2.1158,3680
2.1208,3668
2.1258,3654
2.1308,3641
2.1358,3628
2.1408,3614
2.1458,3601
2.1508,3587
2.1558,3573
2.1608,3560
2.1658,3547
2.1708,3534
2.1758,3520
2.1808,3506
2.1858,3492
2.1908,3480
2.1958,3466
2.2008,3454
2.2058,3441
2.2107,3428
2.2157,3417
2.2207,3404
2.2257,3393
2.2307,3382
2.2357,3370
2.2407,3360
2.2457,3349
2.2507,3338
2.2557,3327
2.2607,3318
2.2657,3309
2.2707,3300
2.2757,3292
2.2807,3283
2.2857,3276
2.2907,3268
2.2957,3261
2.3007,3253
2.3057,3247
2.3107,3241
2.3157,3237
2.3207,3231
2.3257,3227
2.3307,3223
2.3357,3219
2.3407,3216
2.3457,3214
2.3507,3212
2.3557,3210
2.3607,3209
2.3657,3209
2.3707,3208
2.3757,3208
2.3807,3208
2.3857,3208
2.3907,3210
2.3957,3212
2.4007,3215
2.4057,3218
2.4107,3222
2.4156,3225
2.4206,3230
2.4256,3235
2.4306,3241
2.4356,3248
2.4406,3255
2.4456,3262
2.4506,3270
2.4556,3278
2.4606,3287
2.4656,3295
2.4706,3304
2.4756,3313
2.4806,3322
2.4856,3332
2.4906,3342
2.4956,3353
2.5006,3364
2.5056,3376
2.5106,3388
2.5156,3399
2.5206,3411
2.5256,3423
2.5306,3436
2.5356,3449
2.5406,3462
2.5456,3474
2.5506,3488
2.5556,3501
2.5606,3514
2.5656,3528
2.5706,3542
2.5756,3556
2.5806,3570
2.5856,3583
2.5906,3597
2.5956,3610
2.6006,3624
2.6056,3638
2.6106,3651
2.6156,3665
2.6206,3678
2.6256,3691
2.6306,3705
2.6356,3718
2.6406,3732
2.6456,3744
2.6506,3756
2.6556,3768
2.6606,3781
2.6656,3793
2.6706,3805
2.6756,3817
2.6806,3828
2.6856,3838
2.6906,3848
2.6956,3858
2.7006,3868
2.7056,3877
2.7106,3887
2.7156,3895
2.7205,3903
2.7255,3911
2.7306,3918
2.7355,3925
2.7405,3932
2.7455,3938
2.7506,3943
2.7555,3948
2.7605,3953
2.7655,3957
2.7705,3961
2.7755,3964
2.7805,3967
2.7855,3969
2.7906,3970
2.7955,3971
2.8005,3972
2.8055,3972
2.8106,3972
2.8155,3972
2.8205,3971
2.8255,3970
2.8306,3968
2.8355,3965
2.8405,3961
2.8455,3957
2.8505,3952
2.8555,3946
2.8605,3940
2.8655,3935
2.8705,3928
2.8755,3921
2.8805,3914
2.8855,3906
2.8905,3898
2.8955,3890
2.9005,3881
2.9055,3872
2.9105,3862
2.9155,3851
2.9205,3840
2.9255,3830
2.9304,3819
2.9355,3807
2.9404,3796
2.9454,3784
2.9504,3771
2.9554,3758
2.9604,3745
2.9654,3733
2.9704,3720
2.9754,3707
2.9804,3694
2.9854,3680
2.9904,3666
2.9954,3652
3.0004,3639
3.0054,3625
3.0104,3611
3.0154,3597
3.0204,3583
3.0254,3569
3.0304,3555
3.0354,3542
3.0404,3527
3.0454,3514
3.0504,3499
3.0554,3486
3.0604,3472
3.0654,3459
3.0704,3446
3.0754,3433
3.0804,3421
3.0854,3408
3.0904,3396
3.0954,3384
3.1004,3373
3.1054,3362
3.1104,3351
3.1154,3340
3.1204,3329
3.1254,3320
3.1304,3310
3.1354,3302
3.1404,3293
3.1454,3285
3.1504,3277
3.1554,3269
3.1604,3262
3.1654,3256
3.1704,3250
3.1754,3244
3.1804,3239
3.1854,3234
3.1904,3230
3.1954,3227
3.2004,3224
3.2054,3221
3.2103,3220
3.2153,3218
3.2203,3217
3.2253,3217
3.2303,3216
3.2353,3217
3.2403,3217
3.2453,3218
3.2503,3220
3.2553,3223
3.2603,3227
3.2653,3231
3.2703,3236
3.2753,3241
3.2803,3247
3.2853,3253
3.2903,3258
3.2953,3265
3.3003,3274
3.3053,3282
3.3103,3290
3.3153,3299
3.3203,3308
3.3253,3318
3.3303,3327
3.3353,3337
3.3403,3348
3.3453,3359
3.3503,3371
3.3553,3383
3.3603,3395
3.3653,3407
3.3703,3419
3.3753,3432
3.3803,3445
3.3853,3459
3.3903,3472
3.3953,3486
3.4003,3499
3.4053,3513
3.4103,3528
3.4153,3542
3.4203,3556
3.4253,3570
3.4303,3584
3.4353,3598
3.4403,3612
3.4453,3626
3.4503,3641
3.4553,3654
3.4603,3668
3.4653,3682
3.4703,3696
3.4753,3709
3.4803,3723
3.4853,3737
3.4903,3749
3.4953,3761
3.5003,3775
3.5052,3787
3.5102,3799
3.5153,3811
3.5202,3823
3.5252,3834
3.5302,3845
3.5352,3854
3.5402,3864
3.5452,3874
3.5502,3884
3.5552,3892
3.5602,3901
3.5652,3908
3.5702,3915
3.5752,3921
3.5802,3928
3.5852,3934
3.5902,3939
3.5952,3944
3.6002,3949
3.6052,3953
3.6102,3957
3.6152,3959
3.6202,3961
3.6252,3963
3.6302,3963
3.6352,3964
3.6402,3964
3.6452,3964
3.6502,3964
3.6552,3962
3.6602,3961
3.6652,3958
3.6702,3954
3.6752,3950
3.6802,3945
3.6852,3939
3.6902,3933
3.6952,3926
3.7002,3920
3.7052,3913
3.7102,3905
3.7151,3897
3.7201,3889
3.7252,3880
3.7302,3871
3.7351,3861
3.7401,3850
3.7451,3839
3.7501,3828
3.7551,3818
3.7601,3806
3.7651,3794
3.7701,3781
3.7751,3768
3.7801,3755
3.7851,3742
3.7901,3729
3.7951,3715
3.8001,3702
3.8051,3688
3.8101,3674
3.8151,3659
3.8201,3645
3.8251,3631
3.8301,3617
3.8351,3603
3.8401,3589
3.8451,3574
3.8501,3560
3.8551,3545
3.8601,3532
3.8651,3517
3.8701,3502
3.8751,3488
3.8801,3474
3.8851,3460
3.8901,3447
3.8951,3433
3.9001,3420
3.9051,3407
3.9101,3395
3.9151,3383
3.9201,3372
3.9251,3361
3.9301,3350
3.9351,3339
3.9401,3328
3.9451,3318
3.9501,3309
3.9551,3300
3.9601,3292
3.9651,3284
3.9701,3276
3.9751,3269
3.9801,3263
3.9851,3256
3.9901,3250
3.9951,3245
4.0001,3240
4.0051,3236
4.0101,3233
4.0151,3231
4.02,3228
4.025,3227
4.03,3226
4.035,3225
4.04,3225
4.045,3225
4.05,3225
4.055,3226
4.06,3228
4.065,3231
4.07,3235
4.075,3240
4.08,3245
4.085,3250
4.09,3256
4.095,3262
4.1,3269
4.105,3277
4.11,3285
4.115,3294
4.12,3303
4.125,3312
4.13,3322
4.135,3332
4.14,3342
4.145,3353
4.15,3365
4.155,3377
4.16,3389
4.165,3402
4.17,3414
4.175,3426
4.18,3440
4.185,3454
4.19,3468
4.195,3482
4.2,3496
4.205,3510
4.21,3523
4.215,3538
4.22,3554
4.225,3568
4.23,3583
4.2349,3597
4.2399,3611
4.2449,3626
4.2499,3641
4.2549,3655
4.2599,3670
4.2649,3683
4.2699,3698
4.2749,3712
4.2799,3726
4.2849,3739
4.2899,3753
4.2949,3765
4.2999,3778
4.3049,3792
4.3099,3804
4.3149,3816
4.3199,3827
4.3249,3838
4.3299,3848
4.3349,3858
4.3399,3868
4.3449,3878
4.3499,3887
4.3549,3895
4.3599,3903
4.3649,3910
4.3699,3917
4.3749,3922
4.3799,3928
4.3849,3934
4.3899,3939
4.3949,3943
4.3999,3947
4.4049,3950
4.4099,3952
4.4149,3954
4.4199,3955
4.4249,3956
4.4299,3956
4.4349,3956
4.4399,3955
4.4449,3954
4.4499,3952
4.4549,3949
4.4599,3945
4.4649,3940
4.4699,3935
4.4749,3929
4.4799,3923
4.4849,3916
4.4899,3909
4.4949,3901
4.4999,3893
4.5049,3884
4.5099,3875
4.5148,3865
4.5198,3855
4.5248,3844
4.5298,3833
4.5348,3822
4.5398,3810
4.5448,3799
4.5498,3786
4.5548,3773
4.5598,3760
4.5648,3746
4.5698,3732
4.5748,3719
4.5798,3705
4.5848,3691
4.5898,3676
4.5948,3661
4.5998,3647
4.6048,3633
4.6098,3618
4.6148,3603
4.6198,3588
4.6248,3573
4.6298,3559
4.6348,3544
4.6398,3530
4.6448,3515
4.6498,3499
4.6548,3485
4.6598,3471
4.6648,3457
4.6698,3443
4.6748,3429
4.6798,3416
4.6848,3403
4.6898,3391
4.6948,3379
4.6998,3368
4.7048,3356
4.7098,3345
4.7148,3334
4.7198,3323
4.7248,3314
4.7298,3305
4.7348,3297
4.7398,3289
4.7448,3281
4.7498,3274
4.7548,3267
4.7598,3261
4.7648,3255
4.7698,3250
4.7748,3245
4.7798,3242
4.7848,3239
4.7898,3236
4.7948,3235
4.7998,3234
4.8048,3233
4.8097,3233
4.8147,3233
4.8197,3233
4.8248,3234
4.8297,3236
4.8347,3240
4.8397,3244
4.8447,3248
4.8497,3254
4.8547,3260
4.8597,3267
4.8647,3274
4.8697,3281
4.8747,3289
4.8797,3297
4.8847,3306
4.8897,3316
4.8947,3326
4.8997,3336
4.9047,3346
4.9097,3358
4.9147,3370
4.9197,3384
4.9247,3395
4.9297,3408
4.9347,3421
4.9397,3434
4.9447,3448
4.9497,3462
4.9547,3477
4.9597,3491
4.9647,3505
4.9697,3520
4.9747,3535
4.9797,3551
4.9847,3566
4.9897,3581
4.9947,3595
4.9997,3610
5.0047,3625
5.0097,3640
5.0147,3655
5.0196,3669
5.0246,3684
5.0296,3698
5.0346,3713
5.0396,3727
5.0446,3741
5.0496,3755
5.0546,3768
5.0596,3780
5.0646,3794
5.0696,3807
5.0746,3818
5.0796,3830
5.0846,3840
5.0896,3851
5.0946,3861
5.0996,3871
5.1046,3880
5.1096,3889
5.1146,3897
5.1196,3905
5.1246,3911
5.1296,3917
5.1346,3923
5.1396,3928
5.1446,3933
5.1496,3937
5.1546,3941
5.1596,3944
5.1646,3946
5.1696,3947
5.1746,3948
5.1796,3948
5.1846,3948
5.1896,3948
5.1946,3947
5.1996,3945
5.2046,3942
5.2096,3938
5.2146,3933
5.2196,3928
5.2246,3922
5.2296,3915
5.2346,3908
5.2396,3900
5.2446,3892
5.2496,3884
5.2546,3875
5.2596,3865
5.2646,3854
5.2696,3843
5.2746,3832
5.2796,3821
5.2846,3809
5.2896,3797
5.2946,3784
5.2996,3771
5.3046,3757
5.3096,3743
5.3146,3729
5.3196,3715
5.3246,3701
5.3296,3686
5.3345,3671
5.3395,3656
5.3445,3642
5.3496,3626
5.3545,3611
5.3595,3596
5.3645,3580
5.3696,3565
5.3745,3550
5.3795,3536
5.3845,3520
5.3896,3504
5.3945,3489
5.3995,3474
5.4045,3460
5.4096,3447
5.4145,3433
5.4195,3419
5.4245,3405
5.4296,3393
5.4345,3381
5.4395,3369
5.4445,3357
5.4496,3346
5.4545,3335
5.4595,3325
5.4645,3315
5.4696,3306
5.4745,3298
5.4795,3290
5.4845,3282
5.4895,3275
5.4945,3269
5.4995,3263
5.5045,3258
5.5095,3252
5.5145,3248
5.5195,3245
5.5245,3243
5.5295,3242
5.5345,3241
5.5395,3240
5.5445,3240
5.5494,3240
5.5544,3240
5.5595,3242
5.5644,3245
5.5694,3249
5.5744,3254
5.5794,3259
5.5844,3265
5.5894,3273
5.5944,3280
5.5994,3286
5.6044,3294
5.6094,3303
5.6144,3312
5.6194,3322
5.6244,3332
5.6294,3343
5.6344,3354
5.6394,3366
5.6444,3379
5.6494,3391
5.6544,3404
5.6594,3417
5.6644,3431
5.6694,3445
5.6744,3459
5.6794,3474
5.6844,3489
5.6894,3503
5.6944,3518
5.6994,3534
5.7044,3549
5.7094,3565
5.7144,3580
5.7194,3595
5.7244,3610
5.7294,3625
5.7344,3641
5.7394,3656
5.7444,3671
5.7494,3686
5.7544,3702
5.7594,3716
5.7644,3731
5.7694,3745
5.7744,3758
5.7794,3772
5.7844,3785
5.7894,3798
5.7944,3810
5.7994,3823
5.8044,3834
5.8094,3844
5.8144,3855
5.8194,3865
5.8244,3874
5.8293,3883
5.8343,3892
5.8393,3899
5.8443,3906
5.8493,3912
5.8543,3917
5.8593,3923
5.8643,3928
5.8693,3932
5.8743,3935
5.8793,3938
5.8843,3939
5.8893,3940
5.8943,3941
5.8993,3941
5.9043,3941
5.9093,3940
5.9143,3938
5.9193,3935
5.9243,3931
5.9293,3926
5.9343,3920
5.9393,3914
5.9443,3908
5.9493,3899
5.9543,3892
5.9593,3883
5.9643,3874
5.9693,3864
5.9743,3854
5.9793,3843
5.9843,3832
5.9893,3820
5.9943,3808
5.9993,3796
6.0043,3783
6.0093,3769
6.0143,3755
6.0193,3741
6.0243,3726
6.0293,3712
6.0343,3698
6.0393,3682
6.0443,3667
6.0493,3651
6.0543,3636
6.0593,3621
6.0643,3605
6.0693,3590
6.0743,3574
6.0793,3558
6.0843,3543
6.0893,3528
6.0943,3512
6.0993,3496
6.1043,3481
6.1093,3466
6.1143,3452
6.1193,3437
6.1243,3424
6.1293,3410
6.1343,3396
6.1392,3384
6.1442,3372
6.1492,3360
6.1542,3349
6.1592,3338
6.1642,3327
6.1692,3317
6.1742,3309
6.1792,3300
6.1842,3293
6.1892,3285
6.1942,3278
6.1992,3271
6.2042,3266
6.2092,3261
6.2142,3256
6.2192,3253
6.2242,3251
6.2292,3249
6.2342,3248
6.2392,3247
6.2442,3247
6.2492,3247
6.2542,3247
6.2592,3249
6.2642,3253
6.2692,3257
6.2742,3262
6.2792,3269
6.2842,3274
6.2892,3282
6.2942,3289
6.2992,3295
6.3042,3304
6.3092,3314
6.3142,3324
6.3192,3334
6.3242,3345
6.3292,3357
6.3342,3369
6.3392,3382
6.3442,3395
6.3492,3408
6.3542,3421
6.3592,3435
6.3642,3450
6.3692,3465
6.3742,3480
6.3792,3495
6.3842,3510
6.3892,3526
6.3942,3542
6.3992,3558
6.4042,3574
6.4092,3589
6.4141,3604
6.4192,3620
6.4241,3636
6.4291,3651
6.4341,3667
6.4391,3683
6.4441,3697
6.4491,3712
6.4541,3728
6.4591,3742
6.4641,3756
6.4691,3769
6.4741,3783
6.4791,3797
6.4841,3809
6.4891,3822
6.4941,3833
6.4991,3844
6.5041,3854
6.5091,3864
6.5141,3874
6.5191,3883
6.5241,3891
6.5291,3898
6.5341,3905
6.5391,3910
6.5441,3916
6.5491,3921
6.5541,3925
6.5591,3928
6.5641,3930
6.5691,3932
6.5741,3933
6.5791,3934
6.5841,3934
6.5891,3934
6.5941,3933
6.5991,3930
6.6041,3927
6.6091,3923
6.6141,3917
6.6191,3911
6.6241,3905
6.6291,3897
6.634,3889
6.639,3881
6.644,3871
6.649,3861
6.654,3850
6.659,3839
6.664,3828
6.669,3816
6.674,3804
6.679,3792
6.684,3778
6.689,3764
6.694,3749
6.699,3734
6.704,3720
6.709,3705
6.714,3690
6.719,3674
6.724,3658
6.729,3643
6.734,3627
6.739,3612
6.744,3596
6.749,3579
6.754,3563
6.7591,3547
6.764,3532
6.769,3516
