Time (s),Position (ticks)
0.0003,3593
0.0026,3593
0.0076,3593
0.0126,3596
0.0176,3604
0.0226,3616
0.0276,3630
0.0326,3649
0.0376,3670
0.0426,3694
0.0476,3722
0.0526,3752
0.0576,3784
0.0626,3809
0.0676,3804
0.0726,3797
0.0776,3788
0.0826,3779
0.0876,3769
0.0926,3760
0.0975,3750
0.1025,3741
0.1075,3731
0.1125,3721
0.1175,3711
0.1225,3700
0.1275,3688
0.1325,3676
0.1375,3663
0.1425,3652
0.1475,3638
0.1525,3626
0.1575,3613
0.1625,3600
0.1675,3586
0.1725,3572
0.1775,3559
0.1825,3546
0.1878,3532
0.1925,3519
0.1975,3505
0.2025,3491
0.2075,3478
0.2125,3465
0.2175,3452
0.2225,3440
0.2275,3427
0.2325,3415
0.2375,3402
0.2425,3390
0.2475,3379
0.2525,3368
0.2575,3357
0.2625,3345
0.2675,3335
0.2725,3325
0.2775,3315
0.2825,3306
0.2875,3298
0.2925,3289
0.2975,3281
0.3025,3274
0.3075,3266
0.3125,3259
0.3175,3252
0.3225,3247
0.3275,3241
0.3325,3237
0.3375,3233
0.3425,3229
0.3475,3225
0.3525,3222
0.3575,3220
0.3625,3219
0.3675,3218
0.3725,3217
0.3775,3217
0.3825,3217
0.3875,3217
0.3925,3217
0.3975,3219
0.4025,3221
0.4074,3224
0.4124,3228
0.4174,3232
0.4224,3237
0.4274,3243
0.4324,3249
0.4374,3256
0.4424,3262
0.4474,3269
0.4524,3277
0.4574,3286
0.4624,3294
0.4674,3303
0.4724,3312
0.4774,3322
0.4824,3332
0.4874,3342
0.4924,3353
0.4974,3364
0.5024,3376
0.5077,3389
0.5124,3400
0.5174,3412
0.5224,3424
0.5274,3437
0.5324,3451
0.5374,3464
0.5424,3478
0.5474,3492
0.5524,3505
0.5574,3519
0.5624,3534
0.5674,3548
0.5724,3562
0.5774,3576
0.5824,3590
0.5874,3604
0.5924,3618
0.5974,3632
0.6024,3646
0.6074,3660
0.6124,3674
0.6174,3688
0.6223,3702
0.6273,3716
0.6323,3729
0.6373,3742
0.6423,3755
0.6473,3767
0.6523,3780
0.6573,3792
0.6623,3805
0.6673,3817
0.6723,3828
0.6773,3838
0.6823,3849
0.6873,3859
0.6923,3869
0.6974,3878
0.7023,3887
0.7073,3896
0.7123,3904
0.7173,3911
0.7223,3918
0.7273,3924
0.7323,3930
0.7373,3936
0.7423,3941
0.7473,3946
0.7523,3951
0.7573,3955
0.7623,3958
0.7673,3960
0.7723,3962
0.7773,3963
0.7823,3964
0.7873,3964
0.7923,3964
0.7973,3964
0.8023,3963
0.8073,3962
0.8123,3959
0.8173,3956
0.8223,3952
0.8275,3947
0.8323,3942
0.8373,3937
0.8423,3931
0.8473,3924
0.8523,3918
0.8573,3910
0.8623,3902
0.8673,3894
0.8723,3886
0.8773,3876
0.8823,3866
0.8873,3856
0.8923,3845
0.8973,3835
0.9023,3824
0.9073,3812
0.9122,3800
0.9172,3789
0.9222,3776
0.9273,3762
0.9322,3749
0.9372,3735
0.9422,3723
0.9473,3710
0.9522,3696
0.9572,3682
0.9622,3668
0.9673,3653
0.9722,3639
0.9772,3625
0.9822,3611
0.9873,3596
0.9922,3582
0.9972,3567
1.0022,3553
1.0073,3539
1.0122,3525
1.0172,3511
1.0222,3496
1.0273,3482
1.0322,3468
1.0372,3454
1.0422,3441
1.0473,3428
1.0522,3415
1.0572,3402
1.0622,3391
1.0672,3378
1.0722,3367
1.0772,3356
1.0822,3345
1.0872,3334
1.0922,3324
1.0972,3314
1.1022,3305
1.1072,3297
1.1122,3289
1.1172,3281
1.1222,3273
1.1272,3266
1.1322,3260
1.1372,3253
1.1422,3247
1.1474,3243
1.1522,3238
1.1572,3235
1.1622,3232
1.1672,3229
1.1722,3228
1.1772,3226
1.1822,3225
1.1872,3225
1.1922,3225
1.1972,3225
1.2022,3226
1.2072,3227
1.2122,3230
1.2172,3233
1.2222,3237
1.2272,3241
1.2322,3247
1.2371,3253
1.2421,3259
1.2472,3266
1.2521,3274
1.2571,3281
1.2621,3289
1.2671,3298
1.2721,3307
1.2771,3316
1.2821,3326
1.2871,3336
1.2921,3347
1.2971,3358
1.3021,3370
1.3071,3382
1.3121,3394
1.3171,3407
1.3221,3419
1.3271,3431
1.3321,3445
1.3371,3459
1.3421,3474
1.3471,3488
1.3521,3502
1.3571,3516
1.3621,3530
1.3671,3545
1.3721,3560
1.3771,3574
1.3821,3588
1.3871,3603
1.3921,3617
1.3971,3632
1.4021,3647
1.4071,3661
1.4121,3675
1.4171,3689
1.4221,3703
1.4271,3718
1.4321,3732
1.4371,3745
1.4421,3758
1.447,3771
1.452,3784
1.457,3797
1.462,3809
1.4673,3821
1.472,3832
1.477,3842
1.482,3852
1.487,3862
1.492,3872
1.497,3881
1.502,3890
1.507,3898
1.512,3906
1.517,3913
1.522,3920
1.527,3926
1.532,3932
1.537,3936
1.542,3941
1.547,3945
1.552,3948
