type,value,time
T,7719.0000,0.0000
T,7644.0000,0.0010
T,7432.0000,0.0020
T,7719.0000,0.0030
T,7719.0000,0.0040
E,0.0000,0.0000
G,4000.0000,0.0100
T,7719.0000,0.0141
E,0.0000,0.0000
G,4000.0000,0.0200
T,7660.0000,0.0243
E,0.0000,0.0000
G,4000.0000,0.0300
T,7458.0000,0.0344
E,0.0000,0.0000
G,4000.0000,0.0400
T,7129.0000,0.0445
E,0.0000,0.0000
G,4000.0000,0.0500
T,6687.0000,0.0546
E,0.0000,0.0000
G,4000.0000,0.0600
T,6140.0000,0.0647
E,0.0000,0.0000
G,4000.0000,0.0700
T,5449.0000,0.0749
E,0.0000,0.0000
G,4000.0000,0.0800
T,4726.0000,0.0840
E,0.0000,0.0000
G,4000.0000,0.0900
T,3854.0000,0.0941
E,0.0000,0.0000
G,4000.0000,0.1000
T,3711.0000,0.1042
E,0.0000,0.0000
G,4000.0000,0.1100
T,3971.0000,0.1143
E,0.0000,0.0000
G,4000.0000,0.1200
T,4056.0000,0.1244
E,0.0000,0.0000
G,4000.0000,0.1300
T,4061.0000,0.1346
E,0.0000,0.0000
G,4000.0000,0.1400
T,4045.0000,0.1447
E,0.0000,0.0000
G,4000.0000,0.1500
T,4035.0000,0.1548
E,0.0000,0.0000
G,4000.0000,0.1600
T,4024.0000,0.1649
E,0.0000,0.0000
G,4000.0000,0.1700
T,4014.0000,0.1740
E,0.0000,0.0000
G,4000.0000,0.1800
T,4008.0000,0.1841
E,0.0000,0.0000
G,4000.0000,0.1900
T,4003.0000,0.1943
E,0.0000,0.0000
G,4000.0000,0.2000
T,4003.0000,0.2044
E,0.0000,0.0000
G,4000.0000,0.2100
T,4003.0000,0.2145
E,0.0000,0.0000
G,4000.0000,0.2200
T,3998.0000,0.2246
E,0.0000,0.0000
G,4000.0000,0.2300
T,3998.0000,0.2347
E,0.0000,0.0000
G,4000.0000,0.2400
T,3998.0000,0.2449
E,0.0000,0.0000
G,4000.0000,0.2500
T,3998.0000,0.2540
E,0.0000,0.0000
G,4000.0000,0.2600
T,3998.0000,0.2641
E,0.0000,0.0000
G,4000.0000,0.2700
T,3998.0000,0.2742
E,0.0000,0.0000
