type,value,time
T,3500.0000,0.0000
T,3499.0000,0.0010
T,3470.0000,0.0020
T,3500.0000,0.0030
T,3500.0000,0.0040
G,4000.0000,0.0100
T,3500.0000,0.0121
G,4000.0000,0.0200
T,3498.0000,0.0222
G,4000.0000,0.0300
T,3471.0000,0.0313
G,4000.0000,0.0400
T,3408.0000,0.0415
G,4000.0000,0.0500
T,3337.0000,0.0516
G,4000.0000,0.0600
T,3246.0000,0.0617
G,4000.0000,0.0700
T,3123.0000,0.0718
G,4000.0000,0.0800
T,2987.0000,0.0819
G,4000.0000,0.0900
T,2835.0000,0.0921
G,4000.0000,0.1000
T,2701.0000,0.1022
G,4000.0000,0.1100
T,2772.0000,0.1113
G,4000.0000,0.1200
T,2870.0000,0.1214
G,4000.0000,0.1300
T,2777.0000,0.1315
G,4000.0000,0.1400
T,2768.0000,0.1416
G,4000.0000,0.1500
T,2838.0000,0.1518
G,4000.0000,0.1600
T,2797.0000,0.1619
G,4000.0000,0.1700
T,2778.0000,0.1720
G,4000.0000,0.1800
T,2816.0000,0.1821
G,4000.0000,0.1900
T,2803.0000,0.1912
G,4000.0000,0.2000
T,2790.0000,0.2013
G,4000.0000,0.2100
T,2805.0000,0.2115
G,4000.0000,0.2200
T,2803.0000,0.2216
G,4000.0000,0.2300
T,2798.0000,0.2317
G,4000.0000,0.2400
T,2800.0000,0.2418
G,4000.0000,0.2500
T,2800.0000,0.2519
G,4000.0000,0.2600
T,2800.0000,0.2621
G,4000.0000,0.2700
T,2800.0000,0.2712
G,4000.0000,0.2800
T,2800.0000,0.2813
G,4000.0000,0.2900
T,2800.0000,0.2914
G,4000.0000,0.3000
T,2800.0000,0.3015
G,4000.0000,0.3100
T,2800.0000,0.3116
G,4000.0000,0.3200
T,2800.0000,0.3218
G,4000.0000,0.3300
T,2800.0000,0.3319
G,4000.0000,0.3400
T,2800.0000,0.3420
G,4000.0000,0.3500
T,2800.0000,0.3521
G,4000.0000,0.3600
T,2800.0000,0.3612
G,4000.0000,0.3700
T,2800.0000,0.3713
G,4000.0000,0.3800
T,2800.0000,0.3815
G,4000.0000,0.3900
T,2800.0000,0.3916
G,4000.0000,0.4000
T,2800.0000,0.4017
G,4000.0000,0.4100
T,2800.0000,0.4118
G,4000.0000,0.4200
T,2800.0000,0.4219
G,4000.0000,0.4300
T,2800.0000,0.4321
G,4000.0000,0.4400
T,2800.0000,0.4412
G,4000.0000,0.4500
T,2800.0000,0.4513
G,4000.0000,0.4600
T,2800.0000,0.4614
G,4000.0000,0.4700
T,2800.0000,0.4715
G,4000.0000,0.4800
T,2800.0000,0.4817
G,4000.0000,0.4900
T,2800.0000,0.4918
G,4000.0000,0.5000
T,2800.0000,0.5019
G,4000.0000,0.5100
T,2800.0000,0.5120
G,4000.0000,0.5200
T,2800.0000,0.5211
G,4000.0000,0.5300
T,2800.0000,0.5312
G,4000.0000,0.5400
T,2800.0000,0.5413
G,4000.0000,0.5500
T,2800.0000,0.5515
G,4000.0000,0.5600
T,2800.0000,0.5616
G,4000.0000,0.5700
T,2800.0000,0.5717
G,4000.0000,0.5800
T,2800.0000,0.5818
G,4000.0000,0.5900
T,2800.0000,0.5919
G,4000.0000,0.6000
T,2800.0000,0.6011
G,4000.0000,0.6100
T,2800.0000,0.6112
G,4000.0000,0.6200
T,2800.0000,0.6213
G,4000.0000,0.6300
T,2800.0000,0.6314
G,4000.0000,0.6400
T,2800.0000,0.6415
G,4000.0000,0.6500
T,2800.0000,0.6517
G,4000.0000,0.6600
T,2800.0000,0.6618
G,4000.0000,0.6700
T,2800.0000,0.6719
G,4000.0000,0.6800
T,2800.0000,0.6820
G,4000.0000,0.6900
T,2800.0000,0.6911
G,4000.0000,0.7000
T,2800.0000,0.7012
G,4000.0000,0.7100
T,2800.0000,0.7113
G,4000.0000,0.7200
T,2800.0000,0.7215
G,4000.0000,0.7300
T,2800.0000,0.7316
G,4000.0000,0.7400
T,2800.0000,0.7417
G,4000.0000,0.7500
T,2800.0000,0.7518
G,4000.0000,0.7600
T,2800.0000,0.7619
G,4000.0000,0.7700
T,2800.0000,0.7711
G,4000.0000,0.7800
T,2800.0000,0.7812
G,4000.0000,0.7900
T,2800.0000,0.7913
G,4000.0000,0.8000
T,2800.0000,0.8014
G,4000.0000,0.8100
T,2800.0000,0.8115
G,4000.0000,0.8200
T,2800.0000,0.8217
G,4000.0000,0.8300
T,2800.0000,0.8318
G,4000.0000,0.8400
T,2800.0000,0.8419
G,4000.0000,0.8500
T,2800.0000,0.8510
G,4000.0000,0.8600
T,2800.0000,0.8611
G,4000.0000,0.8700
T,2800.0000,0.8712
G,4000.0000,0.8800
T,2800.0000,0.8813
G,4000.0000,0.8900
T,2800.0000,0.8915
G,4000.0000,0.9000
T,2800.0000,0.9016
G,4000.0000,0.9100
T,2800.0000,0.9117
G,4000.0000,0.9200
T,2800.0000,0.9218
G,4000.0000,0.9300
T,2800.0000,0.9309
G,4000.0000,0.9400
T,2800.0000,0.9411
G,4000.0000,0.9500
T,2800.0000,0.9512
G,4000.0000,0.9600
T,2800.0000,0.9613
G,4000.0000,0.9700
T,2800.0000,0.9714
G,4000.0000,0.9800
T,2800.0000,0.9815
G,4000.0000,0.9900
T,2800.0000,0.9917
G,4000.0000,1.0000
T,2800.0000,1.0018
G,4000.0000,1.0100
T,2800.0000,1.0109
G,4000.0000,1.0200
T,2800.0000,1.0210
G,4000.0000,1.0300
T,2800.0000,1.0311
G,4000.0000,1.0400
T,2800.0000,1.0412
G,4000.0000,1.0500
T,2800.0000,1.0514
G,4000.0000,1.0600
T,2800.0000,1.0615
G,4000.0000,1.0700
T,2800.0000,1.0716
G,4000.0000,1.0800
T,2800.0000,1.0817
G,4000.0000,1.0900
T,2800.0000,1.0908
G,4000.0000,1.1000
T,2800.0000,1.1010
G,4000.0000,1.1100
T,2800.0000,1.1111
G,4000.0000,1.1200
T,2800.0000,1.1212
G,4000.0000,1.1300
T,2800.0000,1.1313
G,4000.0000,1.1400
T,2800.0000,1.1414
G,4000.0000,1.1500
T,2800.0000,1.1515
G,4000.0000,1.1600
T,2800.0000,1.1617
G,4000.0000,1.1700
T,2800.0000,1.1718
G,4000.0000,1.1800
T,2800.0000,1.1809
G,4000.0000,1.1900
T,2800.0000,1.1910
G,4000.0000,1.2000
T,2800.0000,1.2011
G,4000.0000,1.2100
T,2800.0000,1.2112
G,4000.0000,1.2200
T,2800.0000,1.2214
G,4000.0000,1.2300
T,2800.0000,1.2315
G,4000.0000,1.2400
T,2800.0000,1.2416
G,4000.0000,1.2500
T,2800.0000,1.2517
G,4000.0000,1.2600
T,2800.0000,1.2608
G,4000.0000,1.2700
T,2800.0000,1.2709
G,4000.0000,1.2800
T,2800.0000,1.2811
G,4000.0000,1.2900
T,2800.0000,1.2912
G,4000.0000,1.3000
T,2800.0000,1.3013
G,4000.0000,1.3100
T,2800.0000,1.3114
G,4000.0000,1.3200
T,2800.0000,1.3215
G,4000.0000,1.3300
T,2800.0000,1.3317
G,4000.0000,1.3400
T,2800.0000,1.3408
G,4000.0000,1.3500
T,2800.0000,1.3509
G,4000.0000,1.3600
T,2800.0000,1.3610
G,4000.0000,1.3700
T,2800.0000,1.3711
G,4000.0000,1.3800
T,2800.0000,1.3812
G,4000.0000,1.3900
T,2800.0000,1.3914
G,4000.0000,1.4000
