type,value,time
G,4000.0000,1.2100
T,2800.0000,1.2193
G,4000.0000,1.2200
T,2800.0000,1.2295
G,4000.0000,1.2300
T,2800.0000,1.2396
G,4000.0000,1.2400
T,2800.0000,1.2497
G,4000.0000,1.2500
G,4000.0000,1.2600
T,2800.0000,1.2608
T,2800.0000,1.2699
G,4000.0000,1.2700
G,4000.0000,1.2800
T,2800.0000,1.2801
T,2800.0000,1.2892
G,4000.0000,1.2900
T,2800.0000,1.2993
G,4000.0000,1.3000
T,2800.0000,1.3094
G,4000.0000,1.3100
T,2800.0000,1.3195
G,4000.0000,1.3200
T,2800.0000,1.3296
G,4000.0000,1.3300
T,2800.0000,1.3398
G,4000.0000,1.3400
T,2800.0000,1.3499
G,4000.0000,1.3500
T,2800.0000,1.3600
G,4000.0000,1.3600
G,4000.0000,1.3700
T,2800.0000,1.3701
T,2800.0000,1.3792
G,4000.0000,1.3800
T,2800.0000,1.3893
G,4000.0000,1.3900
T,2800.0000,1.3995
G,4000.0000,1.4000
T,2800.0000,1.4096
G,4000.0000,1.4100
T,2800.0000,1.4197
G,4000.0000,1.4200
T,2800.0000,1.4298
G,4000.0000,1.4300
T,2800.0000,1.4399
G,4000.0000,1.4400
G,4000.0000,1.4500
T,2800.0000,1.4501
T,2800.0000,1.4592
G,4000.0000,1.4600
T,2800.0000,1.4693
G,4000.0000,1.4700
T,2800.0000,1.4794
G,4000.0000,1.4800
T,2800.0000,1.4895
G,4000.0000,1.4900
T,2800.0000,1.4996
G,4000.0000,1.5000
T,2800.0000,1.5098
G,4000.0000,1.5100
T,2800.0000,1.5199
G,4000.0000,1.5200
T,2800.0000,1.5300
G,4000.0000,1.5300
T,2800.0000,1.5391
G,4000.0000,1.5400
T,2800.0000,1.5492
G,4000.0000,1.5500
T,2800.0000,1.5593
G,4000.0000,1.5600
T,2800.0000,1.5695
G,4000.0000,1.5700
G,4000.0000,1.5800
T,2800.0000,1.5806
T,2800.0000,1.5897
G,4000.0000,1.5900
T,2800.0000,1.5998
G,4000.0000,1.6000
T,2800.0000,1.6099
G,4000.0000,1.6100
T,2800.0000,1.6190
G,4000.0000,1.6200
T,2800.0000,1.6292
G,4000.0000,1.6300
T,2800.0000,1.6393
G,4000.0000,1.6400
T,2800.0000,1.6494
G,4000.0000,1.6500
T,2800.0000,1.6595
G,4000.0000,1.6600
T,2800.0000,1.6696
G,4000.0000,1.6700
T,2800.0000,1.6798
G,4000.0000,1.6800
T,2800.0000,1.6899
G,4000.0000,1.6900
T,2800.0000,1.6990
G,4000.0000,1.7000
T,2800.0000,1.7091
G,4000.0000,1.7100
T,2800.0000,1.7192
G,4000.0000,1.7200
T,2800.0000,1.7293
G,4000.0000,1.7300
T,2800.0000,1.7395
G,4000.0000,1.7400
T,2800.0000,1.7496
G,4000.0000,1.7500
T,2800.0000,1.7597
G,4000.0000,1.7600
T,2800.0000,1.7698
G,4000.0000,1.7700
T,2800.0000,1.7799
G,4000.0000,1.7800
T,2800.0000,1.7890
G,4000.0000,1.7900
T,2800.0000,1.7992
G,4000.0000,1.8000
T,2800.0000,1.8093
G,4000.0000,1.8100
T,2800.0000,1.8194
G,4000.0000,1.8200
T,2800.0000,1.8295
G,4000.0000,1.8300
T,2800.0000,1.8396
G,4000.0000,1.8400
T,2800.0000,1.8498
G,4000.0000,1.8500
T,2800.0000,1.8599
G,4000.0000,1.8600
T,2800.0000,1.8690
G,4000.0000,1.8700
T,2800.0000,1.8791
G,4000.0000,1.8800
T,2800.0000,1.8892
G,4000.0000,1.8900
G,4000.0000,1.9000
T,2800.0000,1.9004
T,2800.0000,1.9095
G,4000.0000,1.9100
T,2800.0000,1.9196
G,4000.0000,1.9200
T,2800.0000,1.9297
G,4000.0000,1.9300
T,2800.0000,1.9398
G,4000.0000,1.9400
T,2800.0000,1.9489
G,4000.0000,1.9500
T,2800.0000,1.9590
G,4000.0000,1.9600
T,2800.0000,1.9692
G,4000.0000,1.9700
T,2800.0000,1.9793
G,4000.0000,1.9800
T,2800.0000,1.9894
G,4000.0000,1.9900
T,2800.0000,1.9995
G,4000.0000,2.0000
T,2800.0000,2.0096
G,10000.0000,2.0100
T,2867.0000,2.0198
G,10000.0000,2.0200
T,3121.0000,2.0289
G,10000.0000,2.0300
T,3531.0000,2.0390
G,10000.0000,2.0400
T,3995.0000,2.0491
G,10000.0000,2.0500
T,4248.0000,2.0592
G,10000.0000,2.0600
T,4277.0000,2.0693
G,10000.0000,2.0700
T,4120.0000,2.0795
G,10000.0000,2.0800
T,3872.0000,2.0896
G,10000.0000,2.0900
T,3821.0000,2.0997
G,10000.0000,2.1000
T,3850.0000,2.1098
G,10000.0000,2.1100
T,3883.0000,2.1189
G,10000.0000,2.1200
T,3904.0000,2.1290
G,10000.0000,2.1300
T,3915.0000,2.1392
G,10000.0000,2.1400
T,3919.0000,2.1493
G,10000.0000,2.1500
T,3922.0000,2.1594
G,10000.0000,2.1600
T,3924.0000,2.1695
G,10000.0000,2.1700
T,3926.0000,2.1796
G,10000.0000,2.1800
T,3927.0000,2.1898
G,10000.0000,2.1900
T,3928.0000,2.1989
G,10000.0000,2.2000
T,3928.0000,2.2090
G,10000.0000,2.2100
G,10000.0000,2.2200
T,3929.0000,2.2201
T,3929.0000,2.2292
G,10000.0000,2.2300
T,3929.0000,2.2393
G,10000.0000,2.2400
T,3929.0000,2.2495
G,10000.0000,2.2500
T,3929.0000,2.2596
G,10000.0000,2.2600
T,3929.0000,2.2697
G,10000.0000,2.2700
T,3929.0000,2.2788
G,10000.0000,2.2800
T,3929.0000,2.2889
G,10000.0000,2.2900
T,3929.0000,2.2990
G,10000.0000,2.3000
T,3929.0000,2.3092
G,10000.0000,2.3100
T,3929.0000,2.3193
G,10000.0000,2.3200
T,3929.0000,2.3294
G,10000.0000,2.3300
T,3929.0000,2.3395
G,10000.0000,2.3400
T,3929.0000,2.3496
G,10000.0000,2.3500
T,3929.0000,2.3587
G,10000.0000,2.3600
T,3929.0000,2.3689
G,10000.0000,2.3700
T,3929.0000,2.3790
G,10000.0000,2.3800
T,3929.0000,2.3891
G,10000.0000,2.3900
T,3929.0000,2.3992
G,10000.0000,2.4000
T,3929.0000,2.4093
G,10000.0000,2.4100
T,3929.0000,2.4195
G,10000.0000,2.4200
T,3929.0000,2.4296
G,10000.0000,2.4300
T,3929.0000,2.4387
G,10000.0000,2.4400
T,3929.0000,2.4488
G,10000.0000,2.4500
T,3929.0000,2.4589
G,10000.0000,2.4600
T,3929.0000,2.4691
G,10000.0000,2.4700
T,3929.0000,2.4792
G,10000.0000,2.4800
T,3929.0000,2.4893
G,10000.0000,2.4900
T,3929.0000,2.4994
G,10000.0000,2.5000
T,3929.0000,2.5095
G,10000.0000,2.5100
T,3929.0000,2.5197
G,10000.0000,2.5200
T,3929.0000,2.5288
G,10000.0000,2.5300
T,3929.0000,2.5399
G,10000.0000,2.5400
T,3929.0000,2.5490
G,10000.0000,2.5500
T,3929.0000,2.5591
G,10000.0000,2.5600
T,3929.0000,2.5692
G,10000.0000,2.5700
T,3929.0000,2.5794
G,10000.0000,2.5800
T,3929.0000,2.5895
G,10000.0000,2.5900
T,3929.0000,2.5996
G,10000.0000,2.6000
T,3929.0000,2.6087
G,10000.0000,2.6100
T,3929.0000,2.6188
G,10000.0000,2.6200
