type,value,time
T,7719.0000,0.0000
T,7692.0000,0.0010
T,7533.0000,0.0020
T,7719.0000,0.0030
T,7719.0000,0.0040
E,0.0000,0.0000
G,4000.0000,0.0100
T,7719.0000,0.0111
E,0.0000,0.0000
G,4000.0000,0.0200
T,7692.0000,0.0212
E,0.0100,0.0000
G,4000.0000,0.0300
T,7533.0000,0.0313
E,0.1600,0.0000
G,4000.0000,0.0400
T,7240.0000,0.0415
E,0.4000,0.0000
G,4000.0000,0.0500
T,6831.0000,0.0506
E,0.7000,0.0000
G,4000.0000,0.0600
T,6268.0000,0.0617
E,1.0600,0.0000
G,4000.0000,0.0700
T,5693.0000,0.0708
E,1.5000,0.0000
G,4000.0000,0.0800
T,4965.0000,0.0809
E,2.0000,0.0000
G,4000.0000,0.0900
T,4120.0000,0.0910
E,2.3100,0.0000
G,4000.0000,0.1000
T,3641.0000,0.1012
E,2.1900,0.0000
G,4000.0000,0.1100
T,3918.0000,0.1113
E,2.1200,0.0000
G,4000.0000,0.1200
T,4040.0000,0.1214
E,2.1100,0.0000
G,4000.0000,0.1300
T,4056.0000,0.1305
E,2.1100,0.0000
G,4000.0000,0.1400
T,4051.0000,0.1406
E,2.1100,0.0000
G,4000.0000,0.1500
T,4035.0000,0.1507
E,2.1200,0.0000
G,4000.0000,0.1600
T,4024.0000,0.1609
E,2.1200,0.0000
G,4000.0000,0.1700
T,4014.0000,0.1710
E,2.1200,0.0000
G,4000.0000,0.1800
T,4008.0000,0.1811
E,2.1200,0.0000
G,4000.0000,0.1900
T,4008.0000,0.1912
E,2.1200,0.0000
G,4000.0000,0.2000
T,4003.0000,0.2013
E,2.1200,0.0000
G,4000.0000,0.2100
T,4003.0000,0.2105
E,2.1200,0.0000
G,4000.0000,0.2200
T,3998.0000,0.2206
E,2.1200,0.0000
G,4000.0000,0.2300
T,3998.0000,0.2307
E,2.1200,0.0000
G,4000.0000,0.2400
T,3998.0000,0.2408
E,2.1300,0.0000
G,4000.0000,0.2500
T,3998.0000,0.2509
E,2.1300,0.0000
G,4000.0000,0.2600
T,3998.0000,0.2610
E,2.1300,0.0000
G,4000.0000,0.2700
T,3998.0000,0.2712
E,2.1300,0.0000
G,4000.0000,0.2800
T,3998.0000,0.2813
E,2.1300,0.0000
G,4000.0000,0.2900
T,3998.0000,0.2904
E,2.1300,0.0000
G,4000.0000,0.3000
T,3998.0000,0.3005
E,2.1300,0.0000
G,4000.0000,0.3100
T,3998.0000,0.3106
E,2.1300,0.0000
G,4000.0000,0.3200
T,3998.0000,0.3208
E,2.1300,0.0000
G,4000.0000,0.3300
T,3998.0000,0.3309
E,2.1300,0.0000
G,4000.0000,0.3400
T,3998.0000,0.3410
E,2.1300,0.0000
G,4000.0000,0.3500
T,3998.0000,0.3511
E,2.1300,0.0000
G,4000.0000,0.3600
T,3998.0000,0.3612
E,2.1300,0.0000
G,4000.0000,0.3700
T,3998.0000,0.3713
E,2.1300,0.0000
G,4000.0000,0.3800
T,3998.0000,0.3815
E,2.1300,0.0000
G,4000.0000,0.3900
T,3998.0000,0.3906
E,2.1300,0.0000
G,4000.0000,0.4000
T,3998.0000,0.4007
E,2.1300,0.0000
G,4000.0000,0.4100
T,3998.0000,0.4108
E,2.1300,0.0000
G,4000.0000,0.4200
T,3998.0000,0.4209
E,2.1300,0.0000
G,4000.0000,0.4300
T,3998.0000,0.4311
E,2.1300,0.0000
G,4000.0000,0.4400
T,3998.0000,0.4412
E,2.1300,0.0000
G,4000.0000,0.4500
T,3998.0000,0.4513
E,2.1300,0.0000
G,4000.0000,0.4600
T,3998.0000,0.4604
E,2.1300,0.0000
G,4000.0000,0.4700
T,3998.0000,0.4705
E,2.1300,0.0000
G,4000.0000,0.4800
T,3998.0000,0.4806
E,2.1300,0.0000
G,4000.0000,0.4900
T,3998.0000,0.4908
E,2.1300,0.0000
G,4000.0000,0.5000
T,3998.0000,0.5009
E,2.1300,0.0000
G,4000.0000,0.5100
T,3998.0000,0.5110
E,2.1300,0.0000
G,4000.0000,0.5200
T,3998.0000,0.5211
E,2.1300,0.0000
G,4000.0000,0.5300
T,3998.0000,0.5312
E,2.1300,0.0000
G,4000.0000,0.5400
T,3998.0000,0.5403
E,2.1300,0.0000
G,4000.0000,0.5500
T,3998.0000,0.5505
E,2.1300,0.0000
G,4000.0000,0.5600
T,3998.0000,0.5606
E,2.1300,0.0000
G,4000.0000,0.5700
T,3998.0000,0.5707
E,2.1300,0.0000
G,4000.0000,0.5800
T,3998.0000,0.5808
E,2.1300,0.0000
G,4000.0000,0.5900
T,3998.0000,0.5909
E,2.1300,0.0000
G,4000.0000,0.6000
T,3998.0000,0.6011
E,2.1300,0.0000
G,4000.0000,0.6100
T,3998.0000,0.6112
E,2.1300,0.0000
G,4000.0000,0.6200
T,3998.0000,0.6203
E,2.1300,0.0000
G,4000.0000,0.6300
T,3998.0000,0.6304
E,2.1300,0.0000
G,4000.0000,0.6400
T,3998.0000,0.6405
E,2.1300,0.0000
G,4000.0000,0.6500
T,3998.0000,0.6506
E,2.1300,0.0000
G,4000.0000,0.6600
T,3998.0000,0.6608
E,2.1300,0.0000
G,4000.0000,0.6700
T,3998.0000,0.6709
E,2.1300,0.0000
G,4000.0000,0.6800
T,3998.0000,0.6810
E,2.1300,0.0000
G,4000.0000,0.6900
T,3998.0000,0.6911
E,2.1300,0.0000
G,4000.0000,0.7000
T,3998.0000,0.7012
E,2.1300,0.0000
G,4000.0000,0.7100
T,3998.0000,0.7103
E,2.1300,0.0000
G,4000.0000,0.7200
T,3998.0000,0.7205
E,2.1300,0.0000
G,4000.0000,0.7300
T,3998.0000,0.7306
E,2.1300,0.0000
G,4000.0000,0.7400
T,3998.0000,0.7407
E,2.1300,0.0000
G,4000.0000,0.7500
T,3998.0000,0.7508
E,2.1300,0.0000
G,4000.0000,0.7600
T,3998.0000,0.7609
E,2.1300,0.0000
G,4000.0000,0.7700
T,3998.0000,0.7711
E,2.1300,0.0000
G,4000.0000,0.7800
T,3998.0000,0.7812
E,2.1300,0.0000
G,4000.0000,0.7900
T,3998.0000,0.7903
E,2.1300,0.0000
G,4000.0000,0.8000
T,3998.0000,0.8004
E,2.1300,0.0000
G,4000.0000,0.8100
T,3998.0000,0.8105
E,2.1300,0.0000
G,4000.0000,0.8200
T,3998.0000,0.8206
E,2.1300,0.0000
G,4000.0000,0.8300
T,3998.0000,0.8308
E,2.1300,0.0000
G,4000.0000,0.8400
T,3998.0000,0.8409
E,2.1300,0.0000
G,4000.0000,0.8500
T,3998.0000,0.8510
E,2.1300,0.0000
G,4000.0000,0.8600
T,3998.0000,0.8611
E,2.1300,0.0000
G,4000.0000,0.8700
T,3998.0000,0.8702
E,2.1300,0.0000
G,4000.0000,0.8800
T,3998.0000,0.8803
