type,value,time
T,3500.0000,0.0000
T,3491.0000,0.0010
T,3452.0000,0.0020
T,3500.0000,0.0030
T,3500.0000,0.0040
G,4000.0000,0.0100
T,3500.0000,0.0131
G,4000.0000,0.0200
T,3492.0000,0.0232
G,4000.0000,0.0300
T,3456.0000,0.0334
G,4000.0000,0.0400
T,3397.0000,0.0435
G,4000.0000,0.0500
T,3317.0000,0.0536
G,4000.0000,0.0600
T,3216.0000,0.0637
G,4000.0000,0.0700
T,3095.0000,0.0738
G,4000.0000,0.0800
T,2955.0000,0.0840
G,4000.0000,0.0900
T,2793.0000,0.0931
G,4000.0000,0.1000
T,2738.0000,0.1032
G,4000.0000,0.1100
T,2791.0000,0.1133
G,4000.0000,0.1200
T,2811.0000,0.1234
G,4000.0000,0.1300
T,2812.0000,0.1335
G,4000.0000,0.1400
T,2810.0000,0.1437
G,4000.0000,0.1500
T,2807.0000,0.1538
G,4000.0000,0.1600
T,2805.0000,0.1639
G,4000.0000,0.1700
T,2803.0000,0.1730
G,4000.0000,0.1800
T,2802.0000,0.1831
G,4000.0000,0.1900
T,2802.0000,0.1932
G,4000.0000,0.2000
T,2801.0000,0.2034
G,4000.0000,0.2100
T,2801.0000,0.2135
G,4000.0000,0.2200
T,2800.0000,0.2236
G,4000.0000,0.2300
T,2800.0000,0.2337
G,4000.0000,0.2400
T,2800.0000,0.2438
G,4000.0000,0.2500
T,2800.0000,0.2529
G,4000.0000,0.2600
T,2800.0000,0.2631
G,4000.0000,0.2700
T,2800.0000,0.2732
G,4000.0000,0.2800
T,2800.0000,0.2833
G,4000.0000,0.2900
T,2800.0000,0.2934
G,4000.0000,0.3000
T,2800.0000,0.3035
G,4000.0000,0.3100
T,2800.0000,0.3137
G,4000.0000,0.3200
T,2800.0000,0.3238
G,4000.0000,0.3300
T,2800.0000,0.3329
G,4000.0000,0.3400
T,2800.0000,0.3430
G,4000.0000,0.3500
T,2800.0000,0.3531
G,4000.0000,0.3600
T,2800.0000,0.3632
G,4000.0000,0.3700
T,2800.0000,0.3734
G,4000.0000,0.3800
T,2800.0000,0.3835
G,4000.0000,0.3900
T,2800.0000,0.3936
G,4000.0000,0.4000
T,2800.0000,0.4037
G,4000.0000,0.4100
T,2800.0000,0.4138
G,4000.0000,0.4200
T,2800.0000,0.4229
G,4000.0000,0.4300
T,2800.0000,0.4331
G,4000.0000,0.4400
T,2800.0000,0.4432
G,4000.0000,0.4500
T,2800.0000,0.4533
G,4000.0000,0.4600
T,2800.0000,0.4634
G,4000.0000,0.4700
T,2800.0000,0.4735
G,4000.0000,0.4800
T,2800.0000,0.4837
G,4000.0000,0.4900
T,2800.0000,0.4938
G,4000.0000,0.5000
T,2800.0000,0.5029
G,4000.0000,0.5100
T,2800.0000,0.5130
G,4000.0000,0.5200
T,2800.0000,0.5231
G,4000.0000,0.5300
T,2800.0000,0.5332
G,4000.0000,0.5400
T,2800.0000,0.5434
G,4000.0000,0.5500
T,2800.0000,0.5535
G,4000.0000,0.5600
T,2800.0000,0.5636
G,4000.0000,0.5700
T,2800.0000,0.5737
G,4000.0000,0.5800
T,2800.0000,0.5828
G,4000.0000,0.5900
T,2800.0000,0.5929
G,4000.0000,0.6000
T,2800.0000,0.6031
G,4000.0000,0.6100
T,2800.0000,0.6132
G,4000.0000,0.6200
T,2800.0000,0.6233
G,4000.0000,0.6300
T,2800.0000,0.6334
G,4000.0000,0.6400
T,2800.0000,0.6435
G,4000.0000,0.6500
T,2800.0000,0.6537
G,4000.0000,0.6600
T,2800.0000,0.6628
G,4000.0000,0.6700
T,2800.0000,0.6729
G,4000.0000,0.6800
T,2800.0000,0.6830
G,4000.0000,0.6900
T,2800.0000,0.6931
G,4000.0000,0.7000
T,2800.0000,0.7032
G,4000.0000,0.7100
T,2800.0000,0.7134
G,4000.0000,0.7200
T,2800.0000,0.7235
G,4000.0000,0.7300
T,2800.0000,0.7336
G,4000.0000,0.7400
T,2800.0000,0.7437
