type,value,time
T,7724.0000,0.0000
T,7697.0000,0.0010
T,7533.0000,0.0020
T,7719.0000,0.0030
T,7719.0000,0.0040
G,4000.0000,0.0100
T,7719.0000,0.0111
G,4000.0000,0.0200
T,7697.0000,0.0212
G,4000.0000,0.0300
T,7533.0000,0.0313
G,4000.0000,0.0400
T,7251.0000,0.0415
G,4000.0000,0.0500
T,6847.0000,0.0516
G,4000.0000,0.0600
T,6337.0000,0.0607
G,4000.0000,0.0700
T,5715.0000,0.0708
G,4000.0000,0.0800
T,4992.0000,0.0809
G,4000.0000,0.0900
T,4146.0000,0.0910
G,4000.0000,0.1000
T,3620.0000,0.1012
G,4000.0000,0.1100
T,3907.0000,0.1113
G,4000.0000,0.1200
T,4045.0000,0.1214
G,4000.0000,0.1300
T,4061.0000,0.1315
G,4000.0000,0.1400
T,4056.0000,0.1416
G,4000.0000,0.1500
T,4040.0000,0.1507
G,4000.0000,0.1600
T,4024.0000,0.1609
G,4000.0000,0.1700
T,4019.0000,0.1710
G,4000.0000,0.1800
T,4014.0000,0.1811
G,4000.0000,0.1900
T,4008.0000,0.1912
G,4000.0000,0.2000
T,4003.0000,0.2013
G,4000.0000,0.2100
T,4003.0000,0.2115
G,4000.0000,0.2200
T,3998.0000,0.2216
G,4000.0000,0.2300
T,3998.0000,0.2307
G,4000.0000,0.2400
T,3998.0000,0.2408
G,4000.0000,0.2500
T,3998.0000,0.2509
G,4000.0000,0.2600
T,3998.0000,0.2610
G,4000.0000,0.2700
T,3998.0000,0.2711
G,4000.0000,0.2800
T,3998.0000,0.2813
G,4000.0000,0.2900
T,3998.0000,0.2914
G,4000.0000,0.3000
T,3998.0000,0.3015
G,4000.0000,0.3100
T,3998.0000,0.3106
G,4000.0000,0.3200
T,3998.0000,0.3207
G,4000.0000,0.3300
T,3998.0000,0.3309
G,4000.0000,0.3400
T,3998.0000,0.3410
G,4000.0000,0.3500
T,3998.0000,0.3511
G,4000.0000,0.3600
T,3998.0000,0.3612
G,4000.0000,0.3700
T,3998.0000,0.3713
G,4000.0000,0.3800
T,3998.0000,0.3815
G,4000.0000,0.3900
T,3998.0000,0.3906
G,4000.0000,0.4000
T,3998.0000,0.4007
G,4000.0000,0.4100
T,3998.0000,0.4108
G,4000.0000,0.4200
T,3998.0000,0.4209
G,4000.0000,0.4300
T,3998.0000,0.4310
G,4000.0000,0.4400
T,3998.0000,0.4412
G,4000.0000,0.4500
T,3998.0000,0.4513
G,4000.0000,0.4600
T,3998.0000,0.4614
G,4000.0000,0.4700
T,3998.0000,0.4705
G,4000.0000,0.4800
T,3998.0000,0.4806
G,4000.0000,0.4900
T,3998.0000,0.4907
G,4000.0000,0.5000
T,3998.0000,0.5009
G,4000.0000,0.5100
T,3998.0000,0.5110
G,4000.0000,0.5200
T,3998.0000,0.5211
G,4000.0000,0.5300
T,3998.0000,0.5312
G,4000.0000,0.5400
T,3998.0000,0.5413
G,4000.0000,0.5500
T,3998.0000,0.5505
G,4000.0000,0.5600
T,3998.0000,0.5606
G,4000.0000,0.5700
T,3998.0000,0.5707
G,4000.0000,0.5800
T,3998.0000,0.5808
G,4000.0000,0.5900
T,3998.0000,0.5909
G,4000.0000,0.6000
T,3998.0000,0.6011
G,4000.0000,0.6100
T,3998.0000,0.6112
G,4000.0000,0.6200
T,3998.0000,0.6213
G,4000.0000,0.6300
T,3998.0000,0.6314
G,4000.0000,0.6400
T,3998.0000,0.6405
G,4000.0000,0.6500
T,3998.0000,0.6506
G,4000.0000,0.6600
T,3998.0000,0.6608
G,4000.0000,0.6700
T,3998.0000,0.6709
G,4000.0000,0.6800
T,3998.0000,0.6810
G,4000.0000,0.6900
T,3998.0000,0.6911
G,4000.0000,0.7000
T,3998.0000,0.7012
G,4000.0000,0.7100
T,3998.0000,0.7113
G,4000.0000,0.7200
