type,value,time
G,4000.0000,0.0100
G,4000.0000,0.0200
G,4000.0000,0.0300
G,4000.0000,0.0400
G,4000.0000,0.0500
G,4000.0000,0.0600
G,4000.0000,0.0700
G,4000.0000,0.0800
G,4000.0000,0.0900
G,4000.0000,0.1000
T,3726.0000,0.1000
T,7719.0000,0.1010
T,7719.0000,0.1020
T,7719.0000,0.1030
T,3774.0000,0.1060
G,4000.0000,0.1100
E,-0.1200,0.0000
T,3998.0000,0.1162
G,4000.0000,0.1200
E,-0.2000,0.0000
T,4061.0000,0.1263
G,4000.0000,0.1300
E,-0.2200,0.0000
T,4061.0000,0.1354
G,4000.0000,0.1400
E,-0.2200,0.0000
T,4045.0000,0.1455
G,4000.0000,0.1500
E,-0.2100,0.0000
T,4029.0000,0.1556
G,4000.0000,0.1600
E,-0.2100,0.0000
T,4019.0000,0.1668
G,4000.0000,0.1700
E,-0.2000,0.0000
T,4014.0000,0.1759
G,4000.0000,0.1800
E,-0.2000,0.0000
T,4008.0000,0.1860
G,4000.0000,0.1900
E,-0.2000,0.0000
T,4003.0000,0.1961
G,4000.0000,0.2000
E,-0.2000,0.0000
T,4003.0000,0.2062
G,4000.0000,0.2100
E,-0.2000,0.0000
T,4003.0000,0.2163
G,4000.0000,0.2200
E,-0.2000,0.0000
T,3998.0000,0.2255
G,4000.0000,0.2300
E,-0.2000,0.0000
T,3998.0000,0.2356
G,4000.0000,0.2400
E,-0.2000,0.0000
T,3998.0000,0.2457
G,4000.0000,0.2500
E,-0.2000,0.0000
T,3998.0000,0.2558
G,4000.0000,0.2600
E,-0.2000,0.0000
T,3998.0000,0.2659
G,4000.0000,0.2700
E,-0.2000,0.0000
T,3998.0000,0.2761
G,4000.0000,0.2800
E,-0.2000,0.0000
T,3998.0000,0.2862
G,4000.0000,0.2900
E,-0.2000,0.0000
T,3998.0000,0.2963
G,4000.0000,0.3000
E,-0.2000,0.0000
T,3998.0000,0.3054
G,4000.0000,0.3100
E,-0.2000,0.0000
T,3998.0000,0.3155
G,4000.0000,0.3200
E,-0.2000,0.0000
T,3998.0000,0.3256
G,4000.0000,0.3300
E,-0.2000,0.0000
T,3998.0000,0.3358
G,4000.0000,0.3400
E,-0.2000,0.0000
T,3998.0000,0.3459
G,4000.0000,0.3500
E,-0.2000,0.0000
T,3998.0000,0.3560
G,4000.0000,0.3600
E,-0.2000,0.0000
T,3998.0000,0.3661
G,4000.0000,0.3700
E,-0.2000,0.0000
T,3998.0000,0.3762
G,4000.0000,0.3800
E,-0.2000,0.0000
T,3998.0000,0.3853
G,4000.0000,0.3900
E,-0.2000,0.0000
T,3998.0000,0.3955
G,4000.0000,0.4000
E,-0.2000,0.0000
T,3998.0000,0.4056
G,4000.0000,0.4100
E,-0.2000,0.0000
T,3998.0000,0.4157
G,4000.0000,0.4200
E,-0.2000,0.0000
T,3998.0000,0.4258
G,4000.0000,0.4300
E,-0.2000,0.0000
T,3998.0000,0.4359
G,4000.0000,0.4400
E,-0.2000,0.0000
T,3998.0000,0.4461
G,4000.0000,0.4500
E,-0.2000,0.0000
T,3998.0000,0.4562
G,4000.0000,0.4600
E,-0.2000,0.0000
T,3998.0000,0.4653
G,4000.0000,0.4700
E,-0.2000,0.0000
T,3998.0000,0.4754
G,4000.0000,0.4800
E,-0.2000,0.0000
T,3998.0000,0.4865
G,4000.0000,0.4900
E,-0.2000,0.0000
