type,value,time
T,7719.0000,0.0000
T,7655.0000,0.0010
T,7442.0000,0.0020
T,7719.0000,0.0030
T,7719.0000,0.0050
E,0.0000,0.0000
G,4000.0000,0.0100
T,7719.0000,0.0141
E,3.0000,0.0000
G,4000.0000,0.0200
T,7650.0000,0.0243
E,4.0000,0.0000
G,4000.0000,0.0300
T,7437.0000,0.0344
E,159.0000,0.0000
G,4000.0000,0.0400
T,7102.0000,0.0445
E,393.0000,0.0000
G,4000.0000,0.0500
T,6656.0000,0.0546
E,693.0000,0.0000
G,4000.0000,0.0600
T,6103.0000,0.0647
E,1064.0000,0.0000
G,4000.0000,0.0700
T,5438.0000,0.0749
E,1495.0000,0.0000
G,4000.0000,0.0800
T,4667.0000,0.0850
E,1995.0000,0.0000
G,4000.0000,0.0900
T,3812.0000,0.0951
E,2317.0000,0.0000
G,4000.0000,0.1000
T,3737.0000,0.1042
E,2197.0000,0.0000
G,4000.0000,0.1100
T,3982.0000,0.1143
E,2118.0000,0.0000
G,4000.0000,0.1200
T,4056.0000,0.1244
E,2106.0000,0.0000
G,4000.0000,0.1300
T,4061.0000,0.1346
E,2105.0000,0.0000
G,4000.0000,0.1400
T,4045.0000,0.1447
E,2110.0000,0.0000
G,4000.0000,0.1500
T,4029.0000,0.1548
E,2115.0000,0.0000
G,4000.0000,0.1600
T,4024.0000,0.1649
E,2118.0000,0.0000
G,4000.0000,0.1700
T,4014.0000,0.1750
E,2120.0000,0.0000
G,4000.0000,0.1800
T,4008.0000,0.1841
E,2120.0000,0.0000
G,4000.0000,0.1900
T,4003.0000,0.1943
E,2121.0000,0.0000
G,4000.0000,0.2000
T,4003.0000,0.2044
E,2122.0000,0.0000
G,4000.0000,0.2100
T,4003.0000,0.2145
E,2123.0000,0.0000
G,4000.0000,0.2200
T,3998.0000,0.2246
E,2123.0000,0.0000
G,4000.0000,0.2300
T,3998.0000,0.2347
E,2123.0000,0.0000
G,4000.0000,0.2400
T,3998.0000,0.2449
E,2123.0000,0.0000
G,4000.0000,0.2500
T,3998.0000,0.2550
E,2123.0000,0.0000
G,4000.0000,0.2600
T,3998.0000,0.2641
E,2123.0000,0.0000
G,4000.0000,0.2700
T,3998.0000,0.2742
E,2123.0000,0.0000
G,4000.0000,0.2800
T,3998.0000,0.2843
E,2123.0000,0.0000
G,4000.0000,0.2900
T,3998.0000,0.2944
E,2123.0000,0.0000
G,4000.0000,0.3000
T,3998.0000,0.3046
E,2124.0000,0.0000
G,4000.0000,0.3100
T,3998.0000,0.3147
E,2124.0000,0.0000
G,4000.0000,0.3200
T,3998.0000,0.3248
E,2124.0000,0.0000
G,4000.0000,0.3300
T,3998.0000,0.3349
E,2124.0000,0.0000
G,4000.0000,0.3400
T,3998.0000,0.3440
E,2124.0000,0.0000
G,4000.0000,0.3500
T,3998.0000,0.3541
E,2124.0000,0.0000
G,4000.0000,0.3600
T,3998.0000,0.3643
E,2124.0000,0.0000
G,4000.0000,0.3700
T,3998.0000,0.3744
E,2124.0000,0.0000
G,4000.0000,0.3800
T,3998.0000,0.3845
E,2124.0000,0.0000
G,4000.0000,0.3900
T,3998.0000,0.3946
E,2124.0000,0.0000
G,4000.0000,0.4000
T,3998.0000,0.4047
E,2124.0000,0.0000
G,4000.0000,0.4100
T,3998.0000,0.4149
E,2124.0000,0.0000
G,4000.0000,0.4200
T,3998.0000,0.4250
E,2124.0000,0.0000
G,4000.0000,0.4300
T,3998.0000,0.4341
E,2124.0000,0.0000
G,4000.0000,0.4400
T,3998.0000,0.4442
E,2124.0000,0.0000
G,4000.0000,0.4500
T,3998.0000,0.4543
E,2124.0000,0.0000
G,4000.0000,0.4600
T,3998.0000,0.4644
E,2124.0000,0.0000
G,4000.0000,0.4700
T,3998.0000,0.4746
E,2124.0000,0.0000
G,4000.0000,0.4800
T,3998.0000,0.4847
E,2124.0000,0.0000
G,4000.0000,0.4900
T,3998.0000,0.4948
E,2124.0000,0.0000
G,4000.0000,0.5000
T,3998.0000,0.5049
E,2124.0000,0.0000
G,4000.0000,0.5100
T,3998.0000,0.5140
E,2124.0000,0.0000
G,4000.0000,0.5200
T,3998.0000,0.5241
E,2124.0000,0.0000
G,4000.0000,0.5300
T,3998.0000,0.5343
E,2124.0000,0.0000
G,4000.0000,0.5400
T,3998.0000,0.5444
E,2124.0000,0.0000
G,4000.0000,0.5500
T,3998.0000,0.5545
E,2124.0000,0.0000
G,4000.0000,0.5600
T,3998.0000,0.5646
E,2124.0000,0.0000
G,4000.0000,0.5700
T,3998.0000,0.5747
E,2124.0000,0.0000
G,4000.0000,0.5800
T,3998.0000,0.5849
E,2124.0000,0.0000
G,4000.0000,0.5900
T,3998.0000,0.5940
E,2124.0000,0.0000
G,4000.0000,0.6000
T,3998.0000,0.6041
E,2124.0000,0.0000
G,4000.0000,0.6100
T,3998.0000,0.6142
E,2124.0000,0.0000
G,4000.0000,0.6200
T,3998.0000,0.6243
E,2124.0000,0.0000
G,4000.0000,0.6300
T,3998.0000,0.6344
E,2124.0000,0.0000
G,4000.0000,0.6400
T,3998.0000,0.6446
E,2124.0000,0.0000
G,4000.0000,0.6500
T,3998.0000,0.6547
E,2124.0000,0.0000
G,4000.0000,0.6600
T,3998.0000,0.6648
E,2124.0000,0.0000
G,4000.0000,0.6700
T,3998.0000,0.6739
E,2124.0000,0.0000
G,4000.0000,0.6800
T,3998.0000,0.6840
E,2124.0000,0.0000
G,4000.0000,0.6900
T,3998.0000,0.6941
E,2124.0000,0.0000
G,4000.0000,0.7000
T,3998.0000,0.7043
E,2124.0000,0.0000
G,4000.0000,0.7100
T,3998.0000,0.7144
E,2124.0000,0.0000
G,4000.0000,0.7200
T,3998.0000,0.7245
E,2124.0000,0.0000
G,4000.0000,0.7300
T,3998.0000,0.7346
E,2124.0000,0.0000
G,4000.0000,0.7400
T,3998.0000,0.7447
E,2124.0000,0.0000
G,4000.0000,0.7500
T,3998.0000,0.7538
E,2124.0000,0.0000
G,4000.0000,0.7600
T,3998.0000,0.7640
E,2124.0000,0.0000
G,4000.0000,0.7700
T,3998.0000,0.7741
E,2124.0000,0.0000
G,4000.0000,0.7800
T,3998.0000,0.7842
E,2124.0000,0.0000
G,4000.0000,0.7900
T,3998.0000,0.7943
E,2124.0000,0.0000
G,4000.0000,0.8000
T,3998.0000,0.8044
E,2124.0000,0.0000
G,4000.0000,0.8100
T,3998.0000,0.8146
E,2124.0000,0.0000
G,4000.0000,0.8200
T,3998.0000,0.8247
E,2124.0000,0.0000
G,4000.0000,0.8300
T,3998.0000,0.8348
E,2124.0000,0.0000
G,4000.0000,0.8400
T,3998.0000,0.8439
E,2124.0000,0.0000
G,4000.0000,0.8500
T,3998.0000,0.8540
E,2124.0000,0.0000
G,4000.0000,0.8600
T,3998.0000,0.8641
E,2124.0000,0.0000
G,4000.0000,0.8700
T,3998.0000,0.8743
E,2124.0000,0.0000
G,4000.0000,0.8800
T,3998.0000,0.8844
E,2124.0000,0.0000
G,4000.0000,0.8900
T,3998.0000,0.8945
E,2124.0000,0.0000
G,4000.0000,0.9000
T,3998.0000,0.9046
E,2124.0000,0.0000
G,4000.0000,0.9100
T,3998.0000,0.9147
E,2124.0000,0.0000
G,4000.0000,0.9200
T,3998.0000,0.9238
E,2124.0000,0.0000
G,4000.0000,0.9300
T,3998.0000,0.9340
E,2124.0000,0.0000
G,4000.0000,0.9400
T,3998.0000,0.9441
E,2124.0000,0.0000
G,4000.0000,0.9500
T,3998.0000,0.9542
E,2124.0000,0.0000
G,4000.0000,0.9600
T,3998.0000,0.9643
E,2124.0000,0.0000
G,4000.0000,0.9700
T,3998.0000,0.9744
E,2124.0000,0.0000
G,4000.0000,0.9800
T,3998.0000,0.9846
E,2124.0000,0.0000
G,4000.0000,0.9900
T,3998.0000,0.9947
E,2124.0000,1.0000
G,4000.0000,1.0000
T,3998.0000,1.0038
E,2124.0000,1.0000
G,4000.0000,1.0100
T,3998.0000,1.0139
E,2124.0000,1.0000
G,4000.0000,1.0200
T,3998.0000,1.0240
E,2124.0000,1.0000
G,4000.0000,1.0300
T,3998.0000,1.0341
E,2124.0000,1.0000
G,4000.0000,1.0400
T,3998.0000,1.0443
E,2124.0000,1.0000
G,4000.0000,1.0500
T,3998.0000,1.0544
E,2124.0000,1.0000
G,4000.0000,1.0600
T,3998.0000,1.0645
E,2124.0000,1.0000
G,4000.0000,1.0700
T,3998.0000,1.0746
E,2124.0000,1.0000
G,4000.0000,1.0800
T,3998.0000,1.0837
E,2124.0000,1.0000
G,4000.0000,1.0900
T,3998.0000,1.0938
E,2124.0000,1.0000
G,4000.0000,1.1000
T,3998.0000,1.1040
E,2124.0000,1.0000
G,4000.0000,1.1100
T,3998.0000,1.1141
E,2124.0000,1.0000
G,4000.0000,1.1200
T,3998.0000,1.1242
E,2124.0000,1.0000
G,4000.0000,1.1300
T,3998.0000,1.1343
E,2124.0000,1.0000
G,4000.0000,1.1400
T,3998.0000,1.1444
E,2124.0000,1.0000
G,4000.0000,1.1500
T,3998.0000,1.1546
E,2124.0000,1.0000
G,4000.0000,1.1600
T,3998.0000,1.1647
