type,value,time
G,4000.0000,111.1210
G,4000.0000,111.1310
G,4000.0000,111.1410
G,4000.0000,111.1510
G,4000.0000,111.1610
G,4000.0000,111.1710
G,4000.0000,111.1810
G,4000.0000,111.1910
G,4000.0000,111.2010
G,4000.0000,111.2110
G,4000.0000,111.2210
G,4000.0000,111.2310
G,4000.0000,111.2410
G,4000.0000,111.2510
G,4000.0000,111.2610
G,4000.0000,111.2710
G,4000.0000,111.2810
G,4000.0000,111.2910
G,4000.0000,111.3010
G,4000.0000,111.3110
G,4000.0000,111.3210
G,4000.0000,111.3310
G,4000.0000,111.3410
G,4000.0000,111.3510
G,4000.0000,111.3610
G,4000.0000,111.3710
G,4000.0000,111.3810
G,4000.0000,111.3910
G,4000.0000,111.4010
G,4000.0000,111.4110
G,4000.0000,111.4210
G,4000.0000,111.4310
G,4000.0000,111.4410
G,4000.0000,111.4510
G,4000.0000,111.4610
G,4000.0000,111.4710
G,4000.0000,111.4810
G,4000.0000,111.4910
G,4000.0000,111.5010
G,4000.0000,111.5110
G,4000.0000,111.5210
G,4000.0000,111.5310
G,4000.0000,111.5410
G,4000.0000,111.5510
G,4000.0000,111.5610
G,4000.0000,111.5710
G,4000.0000,111.5810
G,4000.0000,111.5910
G,4000.0000,111.6010
G,4000.0000,111.6110
G,4000.0000,111.6210
G,4000.0000,111.6310
G,4000.0000,111.6410
G,4000.0000,111.6510
G,4000.0000,111.6610
G,4000.0000,111.6710
G,4000.0000,111.6810
G,4000.0000,111.6910
G,4000.0000,111.7010
G,4000.0000,111.7110
G,4000.0000,111.7210
G,4000.0000,111.7310
G,4000.0000,111.7410
G,4000.0000,111.7510
G,4000.0000,111.7610
G,4000.0000,111.7710
G,4000.0000,111.7810
G,4000.0000,111.7910
G,4000.0000,111.8010
G,4000.0000,111.8110
G,4000.0000,111.8210
G,4000.0000,111.8310
G,4000.0000,111.8410
G,4000.0000,111.8510
G,4000.0000,111.8610
G,4000.0000,111.8710
G,4000.0000,111.8810
G,4000.0000,111.8910
G,4000.0000,111.9010
G,4000.0000,111.9110
G,4000.0000,111.9210
G,4000.0000,111.9310
G,4000.0000,111.9410
G,4000.0000,111.9510
G,4000.0000,111.9610
G,4000.0000,111.9710
G,4000.0000,111.9810
G,4000.0000,111.9910
G,4000.0000,112.0010
G,4000.0000,112.0110
G,4000.0000,112.0210
G,4000.0000,112.0310
G,4000.0000,112.0410
G,4000.0000,112.0510
G,4000.0000,112.0610
G,4000.0000,112.0710
G,4000.0000,112.0810
G,4000.0000,112.0910
G,4000.0000,112.1010
G,4000.0000,112.1110
T,3998.0000,0.0000
T,7719.0000,0.0010
T,7719.0000,0.0020
T,7719.0000,0.0030
T,3998.0000,0.0040
G,4000.0000,0.0100
E,0.0000,0.0000
T,3998.0000,0.0121
G,4000.0000,0.0200
E,0.0000,0.0000
T,3998.0000,0.0222
G,4000.0000,0.0300
E,0.0000,0.0000
T,3998.0000,0.0323
G,4000.0000,0.0400
E,0.0000,0.0000
T,3998.0000,0.0425
G,4000.0000,0.0500
E,0.0000,0.0000
T,3998.0000,0.0526
G,4000.0000,0.0600
E,0.0000,0.0000
T,3998.0000,0.0627
G,4000.0000,0.0700
E,0.0000,0.0000
T,3998.0000,0.0728
G,4000.0000,0.0800
E,0.0000,0.0000
T,3998.0000,0.0819
G,4000.0000,0.0900
E,0.0000,0.0000
T,3998.0000,0.0921
G,4000.0000,0.1000
E,0.0000,0.0000
T,3998.0000,0.1022
G,4000.0000,0.1100
E,0.0000,0.0000
T,3998.0000,0.1123
G,4000.0000,0.1200
E,0.0000,0.0000
T,3998.0000,0.1224
G,4000.0000,0.1300
E,0.0000,0.0000
T,3998.0000,0.1325
G,4000.0000,0.1400
E,0.0000,0.0000
T,3998.0000,0.1426
G,4000.0000,0.1500
E,0.0000,0.0000
T,3998.0000,0.1528
G,4000.0000,0.1600
E,0.0000,0.0000
T,3998.0000,0.1619
G,4000.0000,0.1700
E,0.0000,0.0000
T,3998.0000,0.1720
G,4000.0000,0.1800
E,0.0000,0.0000
T,3998.0000,0.1821
G,4000.0000,0.1900
E,0.0000,0.0000
T,3998.0000,0.1922
G,4000.0000,0.2000
E,0.0000,0.0000
T,3998.0000,0.2023
G,4000.0000,0.2100
E,0.0000,0.0000
T,3998.0000,0.2125
G,4000.0000,0.2200
E,0.0000,0.0000
T,3998.0000,0.2226
G,4000.0000,0.2300
E,0.0000,0.0000
T,3998.0000,0.2327
G,4000.0000,0.2400
E,0.0000,0.0000
T,3998.0000,0.2428
G,4000.0000,0.2500
E,0.0000,0.0000
T,3998.0000,0.2519
G,4000.0000,0.2600
E,0.0000,0.0000
T,3998.0000,0.2620
G,4000.0000,0.2700
E,0.0000,0.0000
T,3998.0000,0.2722
G,4000.0000,0.2800
E,0.0000,0.0000
T,3998.0000,0.2823
G,4000.0000,0.2900
E,0.0000,0.0000
T,3998.0000,0.2924
G,4000.0000,0.3000
E,0.0000,0.0000
T,3998.0000,0.3025
G,4000.0000,0.3100
E,0.0000,0.0000
T,3998.0000,0.3126
G,4000.0000,0.3200
E,0.0000,0.0000
T,3998.0000,0.3228
G,4000.0000,0.3300
E,0.0000,0.0000
T,3998.0000,0.3319
G,4000.0000,0.3400
E,0.0000,0.0000
T,3998.0000,0.3420
G,4000.0000,0.3500
E,0.0000,0.0000
T,3998.0000,0.3521
G,4000.0000,0.3600
E,0.0000,0.0000
T,3998.0000,0.3622
G,4000.0000,0.3700
E,0.0000,0.0000
T,3998.0000,0.3723
G,4000.0000,0.3800
E,0.0000,0.0000
T,3998.0000,0.3825
G,4000.0000,0.3900
E,0.0000,0.0000
T,3998.0000,0.3926
G,4000.0000,0.4000
E,0.0000,0.0000
T,3998.0000,0.4027
G,4000.0000,0.4100
E,0.0000,0.0000
T,3998.0000,0.4118
G,4000.0000,0.4200
E,0.0000,0.0000
T,3998.0000,0.4219
G,4000.0000,0.4300
E,0.0000,0.0000
T,3998.0000,0.4320
G,4000.0000,0.4400
E,0.0000,0.0000
T,3998.0000,0.4422
G,4000.0000,0.4500
E,0.0000,0.0000
T,3998.0000,0.4523
G,4000.0000,0.4600
E,0.0000,0.0000
T,3998.0000,0.4624
G,4000.0000,0.4700
E,0.0000,0.0000
T,3998.0000,0.4725
G,4000.0000,0.4800
E,0.0000,0.0000
T,3998.0000,0.4827
G,4000.0000,0.4900
E,0.0000,0.0000
T,3998.0000,0.4918
G,4000.0000,0.5000
E,0.0000,0.0000
T,3998.0000,0.5019
G,4000.0000,0.5100
E,0.0000,0.0000
T,3998.0000,0.5120
G,4000.0000,0.5200
E,0.0000,0.0000
T,3998.0000,0.5221
G,4000.0000,0.5300
E,0.0000,0.0000
T,3998.0000,0.5322
G,4000.0000,0.5400
E,0.0000,0.0000
T,3998.0000,0.5423
G,4000.0000,0.5500
E,0.0000,0.0000
T,3998.0000,0.5525
G,4000.0000,0.5600
E,0.0000,0.0000
T,3998.0000,0.5626
G,4000.0000,0.5700
E,0.0000,0.0000
T,3998.0000,0.5717
G,4000.0000,0.5800
E,0.0000,0.0000
T,3998.0000,0.5818
G,4000.0000,0.5900
E,0.0000,0.0000
T,3998.0000,0.5919
G,4000.0000,0.6000
E,0.0000,0.0000
T,3998.0000,0.6021
G,4000.0000,0.6100
E,0.0000,0.0000
T,3998.0000,0.6122
G,4000.0000,0.6200
E,0.0000,0.0000
T,3998.0000,0.6223
G,4000.0000,0.6300
E,0.0000,0.0000
T,3998.0000,0.6324
G,4000.0000,0.6400
E,0.0000,0.0000
T,3998.0000,0.6425
G,4000.0000,0.6500
E,0.0000,0.0000
T,3998.0000,0.6526
G,4000.0000,0.6600
E,0.0000,0.0000
T,3998.0000,0.6618
G,4000.0000,0.6700
E,0.0000,0.0000
T,3998.0000,0.6719
G,4000.0000,0.6800
E,0.0000,0.0000
T,3998.0000,0.6820
G,4000.0000,0.6900
E,0.0000,0.0000
T,3998.0000,0.6921
G,4000.0000,0.7000
E,0.0000,0.0000
T,3998.0000,0.7022
G,4000.0000,0.7100
E,0.0000,0.0000
T,3998.0000,0.7123
G,4000.0000,0.7200
E,0.0000,0.0000
T,3998.0000,0.7225
G,4000.0000,0.7300
E,0.0000,0.0000
T,3998.0000,0.7326
G,4000.0000,0.7400
E,0.0000,0.0000
T,3998.0000,0.7417
G,4000.0000,0.7500
E,0.0000,0.0000
T,3998.0000,0.7518
G,4000.0000,0.7600
E,0.0000,0.0000
T,3998.0000,0.7619
G,4000.0000,0.7700
E,0.0000,0.0000
T,3998.0000,0.7721
G,4000.0000,0.7800
E,0.0000,0.0000
T,3998.0000,0.7822
G,4000.0000,0.7900
E,0.0000,0.0000
T,3998.0000,0.7923
G,4000.0000,0.8000
E,0.0000,0.0000
T,3998.0000,0.8024
G,4000.0000,0.8100
E,0.0000,0.0000
T,3998.0000,0.8125
G,4000.0000,0.8200
E,0.0000,0.0000
T,3998.0000,0.8216
G,4000.0000,0.8300
E,0.0000,0.0000
T,3998.0000,0.8318
G,4000.0000,0.8400
E,0.0000,0.0000
T,3998.0000,0.8419
G,4000.0000,0.8500
E,0.0000,0.0000
T,3998.0000,0.8520
G,4000.0000,0.8600
E,0.0000,0.0000
T,3998.0000,0.8621
G,4000.0000,0.8700
E,0.0000,0.0000
T,3998.0000,0.8722
G,4000.0000,0.8800
E,0.0000,0.0000
T,3998.0000,0.8823
G,4000.0000,0.8900
E,0.0000,0.0000
T,3998.0000,0.8925
G,4000.0000,0.9000
E,0.0000,0.0000
T,3998.0000,0.9016
G,4000.0000,0.9100
E,0.0000,0.0000
T,3998.0000,0.9117
G,4000.0000,0.9200
E,0.0000,0.0000
T,3998.0000,0.9218
G,4000.0000,0.9300
E,0.0000,0.0000
T,3998.0000,0.9319
G,4000.0000,0.9400
E,0.0000,0.0000
T,3998.0000,0.9420
G,4000.0000,0.9500
E,0.0000,0.0000
T,3998.0000,0.9522
G,4000.0000,0.9600
E,0.0000,0.0000
T,3998.0000,0.9623
G,4000.0000,0.9700
E,0.0000,0.0000
T,3998.0000,0.9724
G,4000.0000,0.9800
E,0.0000,0.0000
T,3998.0000,0.9825
G,4000.0000,0.9900
E,0.0000,0.0000
T,3998.0000,0.9916
G,4000.0000,1.0000
E,0.0000,1.0000
T,3998.0000,1.0018
G,4000.0000,1.0100
E,0.0000,1.0000
T,3998.0000,1.0119
G,4000.0000,1.0200
E,0.0000,1.0000
T,3998.0000,1.0220
G,4000.0000,1.0300
E,0.0000,1.0000
T,3998.0000,1.0321
G,4000.0000,1.0400
E,0.0000,1.0000
T,3998.0000,1.0422
G,4000.0000,1.0500
E,0.0000,1.0000
T,3998.0000,1.0523
