type,value,time
E,0.0000,0.0000
T,7719.0000,0.0010
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
T,7719.0000,0.0061
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
G,4000.0000,0.0100
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
E,0.0000,0.0000
T,7719.0000,0.0162
E,0.0000,0.0000
E,-0.0000,0.0000
E,-0.0000,0.0000
G,4000.0000,0.0200
E,-0.0000,0.0000
E,-0.0100,0.0000
E,-0.0100,0.0000
E,-0.0100,0.0000
E,-0.0200,0.0000
E,-0.0300,0.0000
E,-0.0300,0.0000
T,7628.0000,0.0263
E,-0.0400,0.0000
E,-0.0500,0.0000
E,-0.0600,0.0000
G,4000.0000,0.0300
E,-0.0800,0.0000
E,-0.0900,0.0000
E,-0.1100,0.0000
E,-0.1200,0.0000
E,-0.1400,0.0000
E,-0.1600,0.0000
E,-0.1700,0.0000
T,7394.0000,0.0364
E,-0.1900,0.0000
E,-0.2100,0.0000
E,-0.2300,0.0000
G,4000.0000,0.0400
E,-0.2500,0.0000
E,-0.2700,0.0000
E,-0.2900,0.0000
E,-0.3100,0.0000
E,-0.3300,0.0000
E,-0.3600,0.0000
E,-0.3800,0.0000
T,7038.0000,0.0466
E,-0.4000,0.0000
E,-0.4300,0.0000
E,-0.4600,0.0000
G,4000.0000,0.0500
E,-0.4800,0.0000
E,-0.5100,0.0000
E,-0.5300,0.0000
E,-0.5600,0.0000
E,-0.5900,0.0000
E,-0.6200,0.0000
E,-0.6500,0.0000
T,6576.0000,0.0567
E,-0.6800,0.0000
E,-0.7100,0.0000
E,-0.7400,0.0000
G,4000.0000,0.0600
E,-0.7700,0.0000
E,-0.8100,0.0000
E,-0.8400,0.0000
E,-0.8800,0.0000
E,-0.9100,0.0000
E,-0.9500,0.0000
E,-0.9900,0.0000
T,6007.0000,0.0668
E,-1.0300,0.0000
E,-1.0600,0.0000
E,-1.1000,0.0000
G,4000.0000,0.0700
E,-1.1400,0.0000
E,-1.1800,0.0000
E,-1.2200,0.0000
E,-1.2700,0.0000
E,-1.3100,0.0000
E,-1.3500,0.0000
E,-1.3900,0.0000
T,5337.0000,0.0769
E,-1.4400,0.0000
E,-1.4800,0.0000
E,-1.5300,0.0000
G,4000.0000,0.0800
E,-1.5700,0.0000
E,-1.6200,0.0000
E,-1.6700,0.0000
E,-1.7100,0.0000
E,-1.7600,0.0000
E,-1.8100,0.0000
E,-1.8600,0.0000
T,4550.0000,0.0860
E,-1.9100,0.0000
E,-1.9600,0.0000
E,-2.0200,0.0000
G,4000.0000,0.0900
E,-2.0700,0.0000
E,-2.1200,0.0000
E,-2.1800,0.0000
E,-2.2300,0.0000
E,-2.2800,0.0000
E,-2.3200,0.0000
E,-2.3500,0.0000
T,3716.0000,0.0961
E,-2.3800,0.0000
E,-2.4000,0.0000
E,-2.4100,0.0000
G,4000.0000,0.1000
E,-2.4100,0.0000
E,-2.4100,0.0000
E,-2.4100,0.0000
E,-2.4000,0.0000
E,-2.3900,0.0000
E,-2.3800,0.0000
E,-2.3700,0.0000
T,3780.0000,0.1063
E,-2.3500,0.0000
E,-2.3200,0.0000
E,-2.3100,0.0000
G,4000.0000,0.1100
E,-2.2900,0.0000
E,-2.2800,0.0000
E,-2.2700,0.0000
E,-2.2600,0.0000
E,-2.2500,0.0000
E,-2.2400,0.0000
E,-2.2300,0.0000
T,4003.0000,0.1164
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2100,0.0000
G,4000.0000,0.1200
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
T,4061.0000,0.1265
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
G,4000.0000,0.1300
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
T,4061.0000,0.1366
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
G,4000.0000,0.1400
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.1900,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
T,4045.0000,0.1467
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
G,4000.0000,0.1500
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2000,0.0000
T,4029.0000,0.1569
E,-2.2000,0.0000
E,-2.2000,0.0000
E,-2.2100,0.0000
G,4000.0000,0.1600
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,4019.0000,0.1660
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
G,4000.0000,0.1700
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,4014.0000,0.1761
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
G,4000.0000,0.1800
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,4008.0000,0.1862
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
G,4000.0000,0.1900
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,4003.0000,0.1963
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
G,4000.0000,0.2000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,4003.0000,0.2064
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
G,4000.0000,0.2100
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,4003.0000,0.2166
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
G,4000.0000,0.2200
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
E,-2.2100,0.0000
T,3998.0000,0.2267
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
G,4000.0000,0.2300
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
T,3998.0000,0.2368
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
G,4000.0000,0.2400
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
T,3998.0000,0.2459
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
G,4000.0000,0.2500
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
T,3998.0000,0.2560
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
G,4000.0000,0.2600
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
E,-2.2200,0.0000
