type,value,time
G,4000.0000,10.1710
G,4000.0000,10.1810
G,4000.0000,10.1910
G,4000.0000,10.2010
G,4000.0000,10.2110
G,4000.0000,10.2210
G,4000.0000,10.2310
G,4000.0000,10.2410
G,4000.0000,10.2510
G,4000.0000,10.2610
G,4000.0000,10.2710
G,4000.0000,10.2810
G,4000.0000,10.2910
G,4000.0000,10.3010
G,4000.0000,10.3110
G,4000.0000,10.3210
G,4000.0000,10.3310
G,4000.0000,10.3410
G,4000.0000,10.3510
G,4000.0000,10.3610
G,4000.0000,10.3710
G,4000.0000,10.3810
G,4000.0000,10.3910
G,4000.0000,10.4010
G,4000.0000,10.4110
G,4000.0000,10.4210
G,4000.0000,10.4310
G,4000.0000,10.4410
G,4000.0000,10.4510
G,4000.0000,10.4610
G,4000.0000,10.4710
G,4000.0000,10.4810
G,4000.0000,10.4910
G,4000.0000,10.5010
G,4000.0000,10.5110
G,4000.0000,10.5210
G,4000.0000,10.5310
G,4000.0000,10.5410
G,4000.0000,10.5510
G,4000.0000,10.5610
G,4000.0000,10.5710
G,4000.0000,10.5810
G,4000.0000,10.5910
G,4000.0000,10.6010
G,4000.0000,10.6110
G,4000.0000,10.6210
G,4000.0000,10.6310
G,4000.0000,10.6410
G,4000.0000,10.6510
G,4000.0000,10.6610
G,4000.0000,10.6710
G,4000.0000,10.6810
G,4000.0000,10.6910
G,4000.0000,10.7010
G,4000.0000,10.7110
G,4000.0000,10.7210
G,4000.0000,10.7310
G,4000.0000,10.7410
G,4000.0000,10.7510
G,4000.0000,10.7610
G,4000.0000,10.7710
G,4000.0000,10.7810
G,4000.0000,10.7910
G,4000.0000,10.8010
G,4000.0000,10.8110
G,4000.0000,10.8210
G,4000.0000,10.8310
G,4000.0000,10.8410
G,4000.0000,10.8510
G,4000.0000,10.8610
G,4000.0000,10.8710
G,4000.0000,10.8810
G,4000.0000,10.8910
G,4000.0000,10.9010
G,4000.0000,10.9110
G,4000.0000,10.9210
G,4000.0000,10.9310
G,4000.0000,10.9410
G,4000.0000,10.9510
G,4000.0000,10.9610
G,4000.0000,10.9710
G,4000.0000,10.9810
G,4000.0000,10.9910
G,4000.0000,11.0010
G,4000.0000,11.0110
G,4000.0000,11.0210
G,4000.0000,11.0310
G,4000.0000,11.0410
G,4000.0000,11.0510
G,4000.0000,11.0610
G,4000.0000,11.0710
G,4000.0000,11.0810
G,4000.0000,11.0910
G,4000.0000,11.1010
G,4000.0000,11.1110
G,4000.0000,11.1210
G,4000.0000,11.1310
G,4000.0000,11.1410
G,4000.0000,11.1510
G,4000.0000,11.1610
T,3998.0000,0.0000
T,7719.0000,0.0010
T,7719.0000,0.0020
T,7719.0000,0.0030
T,3998.0000,0.0040
G,4000.0000,0.0100
E,0.0000,0.0000
T,3998.0000,0.0131
G,4000.0000,0.0200
E,0.0000,0.0000
T,3998.0000,0.0232
G,4000.0000,0.0300
E,0.0000,0.0000
T,3998.0000,0.0334
G,4000.0000,0.0400
E,0.0000,0.0000
T,3998.0000,0.0435
G,4000.0000,0.0500
E,0.0000,0.0000
T,3998.0000,0.0526
G,4000.0000,0.0600
E,0.0000,0.0000
T,3998.0000,0.0627
G,4000.0000,0.0700
E,0.0000,0.0000
T,3998.0000,0.0728
G,4000.0000,0.0800
E,0.0000,0.0000
T,3992.0000,0.0829
G,4000.0000,0.0900
E,0.0000,0.0000
T,3992.0000,0.0931
G,4000.0000,0.1000
E,0.0010,0.0000
T,3992.0000,0.1032
G,4000.0000,0.1100
E,0.0010,0.0000
T,3992.0000,0.1133
G,4000.0000,0.1200
E,0.0010,0.0000
T,3998.0000,0.1234
G,4000.0000,0.1300
E,0.0010,0.0000
T,3998.0000,0.1325
G,4000.0000,0.1400
E,0.0010,0.0000
T,3998.0000,0.1426
G,4000.0000,0.1500
E,0.0000,0.0000
T,3998.0000,0.1528
G,4000.0000,0.1600
E,0.0000,0.0000
T,3998.0000,0.1629
G,4000.0000,0.1700
E,0.0000,0.0000
T,3998.0000,0.1730
G,4000.0000,0.1800
E,0.0000,0.0000
T,3998.0000,0.1831
G,4000.0000,0.1900
E,0.0000,0.0000
