type,value,time
T,3499.0000,0.0000
T,3473.0000,0.0010
T,3421.0000,0.0020
T,3500.0000,0.0030
G,4000.0000,0.0100
T,3500.0000,0.0101
T,3498.0000,0.0192
G,4000.0000,0.0200
T,3472.0000,0.0293
G,4000.0000,0.0300
T,3423.0000,0.0394
G,4000.0000,0.0400
T,3350.0000,0.0496
G,4000.0000,0.0500
T,3257.0000,0.0597
G,4000.0000,0.0600
T,3143.0000,0.0688
G,4000.0000,0.0700
T,3011.0000,0.0789
G,4000.0000,0.0800
T,2856.0000,0.0890
G,4000.0000,0.0900
T,2730.0000,0.0991
G,4000.0000,0.1000
T,2775.0000,0.1093
G,4000.0000,0.1100
T,2807.0000,0.1194
G,4000.0000,0.1200
T,2812.0000,0.1295
G,4000.0000,0.1300
T,2811.0000,0.1396
G,4000.0000,0.1400
T,2808.0000,0.1487
G,4000.0000,0.1500
T,2806.0000,0.1588
G,4000.0000,0.1600
T,2804.0000,0.1690
G,4000.0000,0.1700
T,2803.0000,0.1791
G,4000.0000,0.1800
T,2802.0000,0.1892
G,4000.0000,0.1900
T,2801.0000,0.1993
G,4000.0000,0.2000
T,2801.0000,0.2094
G,4000.0000,0.2100
T,2800.0000,0.2196
G,4000.0000,0.2200
T,2800.0000,0.2287
G,4000.0000,0.2300
T,2800.0000,0.2388
G,4000.0000,0.2400
T,2800.0000,0.2489
G,4000.0000,0.2500
T,2800.0000,0.2590
G,4000.0000,0.2600
T,2800.0000,0.2691
G,4000.0000,0.2700
T,2800.0000,0.2793
G,4000.0000,0.2800
T,2800.0000,0.2894
G,4000.0000,0.2900
T,2800.0000,0.2995
G,4000.0000,0.3000
T,2800.0000,0.3096
G,4000.0000,0.3100
T,2800.0000,0.3187
G,4000.0000,0.3200
T,2800.0000,0.3299
G,4000.0000,0.3300
T,2800.0000,0.3390
G,4000.0000,0.3400
T,2800.0000,0.3491
G,4000.0000,0.3500
T,2800.0000,0.3592
G,4000.0000,0.3600
T,2800.0000,0.3693
G,4000.0000,0.3700
T,2800.0000,0.3794
G,4000.0000,0.3800
T,2800.0000,0.3896
G,4000.0000,0.3900
T,2800.0000,0.3987
G,4000.0000,0.4000
T,2800.0000,0.4088
G,4000.0000,0.4100
T,2800.0000,0.4189
G,4000.0000,0.4200
T,2800.0000,0.4290
G,4000.0000,0.4300
T,2800.0000,0.4391
G,4000.0000,0.4400
T,2800.0000,0.4493
G,4000.0000,0.4500
T,2800.0000,0.4594
G,4000.0000,0.4600
T,2800.0000,0.4695
G,4000.0000,0.4700
T,2800.0000,0.4786
G,4000.0000,0.4800
T,2800.0000,0.4887
G,4000.0000,0.4900
T,2800.0000,0.4988
G,4000.0000,0.5000
T,2800.0000,0.5090
G,4000.0000,0.5100
T,2800.0000,0.5191
G,4000.0000,0.5200
T,2800.0000,0.5292
G,4000.0000,0.5300
T,2800.0000,0.5393
G,4000.0000,0.5400
T,2800.0000,0.5494
G,4000.0000,0.5500
T,2800.0000,0.5585
G,4000.0000,0.5600
T,2800.0000,0.5687
G,4000.0000,0.5700
T,2800.0000,0.5788
G,4000.0000,0.5800
T,2800.0000,0.5889
G,4000.0000,0.5900
T,2800.0000,0.5990
G,4000.0000,0.6000
T,2800.0000,0.6091
G,4000.0000,0.6100
T,2800.0000,0.6193
G,4000.0000,0.6200
T,2800.0000,0.6294
G,4000.0000,0.6300
T,2800.0000,0.6385
G,4000.0000,0.6400
T,2800.0000,0.6496
G,4000.0000,0.6500
T,2800.0000,0.6587
G,4000.0000,0.6600
T,2800.0000,0.6688
G,4000.0000,0.6700
T,2800.0000,0.6790
G,4000.0000,0.6800
T,2800.0000,0.6891
G,4000.0000,0.6900
T,2800.0000,0.6992
G,4000.0000,0.7000
T,2800.0000,0.7093
G,4000.0000,0.7100
T,2800.0000,0.7194
G,4000.0000,0.7200
T,2800.0000,0.7285
G,4000.0000,0.7300
T,2800.0000,0.7387
G,4000.0000,0.7400
T,2800.0000,0.7488
G,4000.0000,0.7500
T,2800.0000,0.7589
G,4000.0000,0.7600
T,2800.0000,0.7690
G,4000.0000,0.7700
T,2800.0000,0.7791
G,4000.0000,0.7800
T,2800.0000,0.7893
G,4000.0000,0.7900
T,2800.0000,0.7994
G,4000.0000,0.8000
T,2800.0000,0.8085
G,4000.0000,0.8100
T,2800.0000,0.8186
G,4000.0000,0.8200
T,2800.0000,0.8287
G,4000.0000,0.8300
T,2800.0000,0.8388
G,4000.0000,0.8400
T,2800.0000,0.8490
G,4000.0000,0.8500
T,2800.0000,0.8591
G,4000.0000,0.8600
T,2800.0000,0.8692
G,4000.0000,0.8700
T,2800.0000,0.8793
G,4000.0000,0.8800
T,2800.0000,0.8884
G,4000.0000,0.8900
T,2800.0000,0.8985
G,4000.0000,0.9000
T,2800.0000,0.9087
G,4000.0000,0.9100
T,2800.0000,0.9188
G,4000.0000,0.9200
T,2800.0000,0.9289
G,4000.0000,0.9300
T,2800.0000,0.9390
G,4000.0000,0.9400
T,2800.0000,0.9491
G,4000.0000,0.9500
T,2800.0000,0.9593
G,4000.0000,0.9600
T,2800.0000,0.9694
G,4000.0000,0.9700
T,2800.0000,0.9785
G,4000.0000,0.9800
T,2800.0000,0.9886
G,4000.0000,0.9900
T,2800.0000,0.9987
G,4000.0000,1.0000
T,2800.0000,1.0088
G,4000.0000,1.0100
T,2800.0000,1.0190
G,4000.0000,1.0200
T,2800.0000,1.0291
G,4000.0000,1.0300
T,2800.0000,1.0392
G,4000.0000,1.0400
T,2800.0000,1.0493
G,4000.0000,1.0500
T,2800.0000,1.0584
G,4000.0000,1.0600
T,2800.0000,1.0685
G,4000.0000,1.0700
T,2800.0000,1.0787
G,4000.0000,1.0800
T,2800.0000,1.0888
G,4000.0000,1.0900
T,2800.0000,1.0989
G,4000.0000,1.1000
T,2800.0000,1.1090
G,4000.0000,1.1100
T,2800.0000,1.1191
G,4000.0000,1.1200
T,2800.0000,1.1293
G,4000.0000,1.1300
T,2800.0000,1.1384
G,4000.0000,1.1400
T,2800.0000,1.1485
G,4000.0000,1.1500
T,2800.0000,1.1586
G,4000.0000,1.1600
T,2800.0000,1.1687
G,4000.0000,1.1700
T,2800.0000,1.1788
G,4000.0000,1.1800
T,2800.0000,1.1890
G,4000.0000,1.1900
T,2800.0000,1.1991
G,4000.0000,1.2000
T,2800.0000,1.2092
G,4000.0000,1.2100
T,2800.0000,1.2183
G,4000.0000,1.2200
T,2800.0000,1.2284
G,4000.0000,1.2300
T,2800.0000,1.2385
G,4000.0000,1.2400
T,2800.0000,1.2487
G,4000.0000,1.2500
T,2800.0000,1.2588
G,4000.0000,1.2600
T,2800.0000,1.2689
G,4000.0000,1.2700
T,2800.0000,1.2790
G,4000.0000,1.2800
T,2800.0000,1.2891
G,4000.0000,1.2900
T,2800.0000,1.2982
G,4000.0000,1.3000
T,2800.0000,1.3084
G,4000.0000,1.3100
T,2800.0000,1.3185
G,4000.0000,1.3200
T,2800.0000,1.3286
G,4000.0000,1.3300
T,2800.0000,1.3387
G,4000.0000,1.3400
T,2800.0000,1.3488
G,4000.0000,1.3500
T,2800.0000,1.3590
G,4000.0000,1.3600
T,2800.0000,1.3691
G,4000.0000,1.3700
T,2800.0000,1.3782
G,4000.0000,1.3800
T,2800.0000,1.3883
G,4000.0000,1.3900
T,2800.0000,1.3984
G,4000.0000,1.4000
T,2800.0000,1.4085
G,4000.0000,1.4100
T,2800.0000,1.4187
G,4000.0000,1.4200
T,2800.0000,1.4288
G,4000.0000,1.4300
T,2800.0000,1.4389
G,4000.0000,1.4400
T,2800.0000,1.4490
G,4000.0000,1.4500
T,2800.0000,1.4591
G,4000.0000,1.4600
T,2800.0000,1.4682
G,4000.0000,1.4700
T,2800.0000,1.4784
G,4000.0000,1.4800
T,2800.0000,1.4885
G,4000.0000,1.4900
T,2800.0000,1.4986
G,4000.0000,1.5000
T,2800.0000,1.5087
G,4000.0000,1.5100
T,2800.0000,1.5188
G,4000.0000,1.5200
T,2800.0000,1.5290
G,4000.0000,1.5300
T,2800.0000,1.5391
G,4000.0000,1.5400
T,2800.0000,1.5482
G,4000.0000,1.5500
T,2800.0000,1.5583
G,4000.0000,1.5600
T,2800.0000,1.5684
G,4000.0000,1.5700
T,2800.0000,1.5785
G,4000.0000,1.5800
T,2800.0000,1.5887
G,4000.0000,1.5900
T,2800.0000,1.5988
G,4000.0000,1.6000
T,2800.0000,1.6089
G,4000.0000,1.6100
T,2800.0000,1.6190
G,4000.0000,1.6200
T,2800.0000,1.6281
G,4000.0000,1.6300
T,2800.0000,1.6382
G,4000.0000,1.6400
T,2800.0000,1.6484
G,4000.0000,1.6500
T,2800.0000,1.6585
G,4000.0000,1.6600
T,2800.0000,1.6686
G,4000.0000,1.6700
