type,value,time
T,7719.0000,0.0010
G,4000.0000,0.0100
E,0.0000,0.0000
T,7719.0000,0.0101
G,4000.0000,0.0200
E,-0.0100,0.0000
T,7703.0000,0.0202
G,4000.0000,0.0300
E,-0.0700,0.0000
T,7559.0000,0.0304
G,4000.0000,0.0400
E,-0.2400,0.0000
T,7267.0000,0.0405
G,4000.0000,0.0500
E,-0.4800,0.0000
T,6874.0000,0.0506
G,4000.0000,0.0600
E,-0.7700,0.0000
T,6374.0000,0.0607
G,4000.0000,0.0700
E,-1.1300,0.0000
T,5762.0000,0.0708
T,5045.0000,0.0799
G,4000.0000,0.0800
E,-1.5700,0.0000
G,4000.0000,0.0900
E,-2.0600,0.0000
T,4216.0000,0.0901
G,4000.0000,0.1000
E,-2.4100,0.0000
T,3620.0000,0.1002
G,4000.0000,0.1100
E,-2.2900,0.0000
T,3891.0000,0.1103
G,4000.0000,0.1200
E,-2.2100,0.0000
T,4040.0000,0.1204
G,4000.0000,0.1300
E,-2.1900,0.0000
T,4067.0000,0.1305
G,4000.0000,0.1400
E,-2.1900,0.0000
T,4056.0000,0.1407
G,4000.0000,0.1500
E,-2.2000,0.0000
T,4040.0000,0.1508
T,4024.0000,0.1599
G,4000.0000,0.1600
E,-2.2000,0.0000
T,4019.0000,0.1700
G,4000.0000,0.1700
E,-2.2100,0.0000
G,4000.0000,0.1800
E,-2.2100,0.0000
T,4014.0000,0.1801
G,4000.0000,0.1900
E,-2.2100,0.0000
T,4008.0000,0.1902
G,4000.0000,0.2000
E,-2.2100,0.0000
T,4003.0000,0.2004
G,4000.0000,0.2100
E,-2.2100,0.0000
T,4003.0000,0.2105
G,4000.0000,0.2200
E,-2.2100,0.0000
T,3998.0000,0.2206
G,4000.0000,0.2300
E,-2.2100,0.0000
T,3998.0000,0.2307
T,3998.0000,0.2398
G,4000.0000,0.2400
E,-2.2100,0.0000
T,3998.0000,0.2500
G,4000.0000,0.2500
E,-2.2100,0.0000
G,4000.0000,0.2600
E,-2.2100,0.0000
T,3998.0000,0.2601
G,4000.0000,0.2700
E,-2.2100,0.0000
T,3998.0000,0.2702
G,4000.0000,0.2800
E,-2.2100,0.0000
T,3998.0000,0.2803
G,4000.0000,0.2900
E,-2.2100,0.0000
T,3998.0000,0.2904
G,4000.0000,0.3000
E,-2.2100,0.0000
T,3998.0000,0.3005
G,4000.0000,0.3100
E,-2.2100,0.0000
T,3998.0000,0.3107
G,4000.0000,0.3200
E,-2.2100,0.0000
T,3998.0000,0.3208
T,3998.0000,0.3299
G,4000.0000,0.3300
E,-2.2100,0.0000
T,3998.0000,0.3400
G,4000.0000,0.3400
E,-2.2100,0.0000
G,4000.0000,0.3500
E,-2.2100,0.0000
T,3998.0000,0.3501
G,4000.0000,0.3600
E,-2.2100,0.0000
T,3998.0000,0.3602
G,4000.0000,0.3700
E,-2.2100,0.0000
T,3998.0000,0.3704
G,4000.0000,0.3800
E,-2.2100,0.0000
T,3998.0000,0.3805
G,4000.0000,0.3900
E,-2.2100,0.0000
T,3998.0000,0.3906
G,4000.0000,0.4000
E,-2.2100,0.0000
T,3998.0000,0.4007
T,3998.0000,0.4098
G,4000.0000,0.4100
E,-2.2100,0.0000
T,3998.0000,0.4200
G,4000.0000,0.4200
E,-2.2100,0.0000
G,4000.0000,0.4300
E,-2.2100,0.0000
T,3998.0000,0.4301
G,4000.0000,0.4400
E,-2.2100,0.0000
T,3998.0000,0.4402
G,4000.0000,0.4500
E,-2.2100,0.0000
T,3998.0000,0.4503
G,4000.0000,0.4600
E,-2.2100,0.0000
T,3998.0000,0.4604
G,4000.0000,0.4700
E,-2.2100,0.0000
T,3998.0000,0.4705
G,4000.0000,0.4800
E,-2.2100,0.0000
T,3998.0000,0.4807
T,3998.0000,0.4898
G,4000.0000,0.4900
E,-2.2100,0.0000
T,3998.0000,0.4999
G,4000.0000,0.5000
E,-2.2100,0.0000
T,3998.0000,0.5100
G,4000.0000,0.5100
E,-2.2100,0.0000
G,4000.0000,0.5200
E,-2.2100,0.0000
T,3998.0000,0.5201
G,4000.0000,0.5300
E,-2.2100,0.0000
T,3998.0000,0.5302
G,4000.0000,0.5400
E,-2.2100,0.0000
T,3998.0000,0.5404
G,4000.0000,0.5500
E,-2.2100,0.0000
T,3998.0000,0.5505
G,4000.0000,0.5600
E,-2.2100,0.0000
T,3998.0000,0.5606
T,3998.0000,0.5697
G,4000.0000,0.5700
E,-2.2100,0.0000
T,3998.0000,0.5798
G,4000.0000,0.5800
E,-2.2100,0.0000
T,3998.0000,0.5900
G,4000.0000,0.5900
E,-2.2100,0.0000
G,4000.0000,0.6000
E,-2.2100,0.0000
T,3998.0000,0.6001
G,4000.0000,0.6100
E,-2.2100,0.0000
T,3998.0000,0.6102
G,4000.0000,0.6200
E,-2.2100,0.0000
T,3998.0000,0.6203
G,4000.0000,0.6300
E,-2.2100,0.0000
T,3998.0000,0.6304
G,4000.0000,0.6400
E,-2.2100,0.0000
T,3998.0000,0.6405
G,4000.0000,0.6500
E,-2.2100,0.0000
T,3998.0000,0.6507
T,3998.0000,0.6598
G,4000.0000,0.6600
E,-2.2100,0.0000
T,3998.0000,0.6699
G,4000.0000,0.6700
E,-2.2100,0.0000
T,3998.0000,0.6800
G,4000.0000,0.6800
E,-2.2100,0.0000
G,4000.0000,0.6900
E,-2.2100,0.0000
T,3998.0000,0.6901
G,4000.0000,0.7000
E,-2.2100,0.0000
T,3998.0000,0.7002
G,4000.0000,0.7100
E,-2.2100,0.0000
T,3998.0000,0.7104
G,4000.0000,0.7200
E,-2.2100,0.0000
T,3998.0000,0.7205
G,4000.0000,0.7300
E,-2.2100,0.0000
T,3998.0000,0.7306
T,3998.0000,0.7397
G,4000.0000,0.7400
E,-2.2100,0.0000
T,3998.0000,0.7498
G,4000.0000,0.7500
E,-2.2100,0.0000
T,3998.0000,0.7600
G,4000.0000,0.7600
E,-2.2100,0.0000
G,4000.0000,0.7700
E,-2.2100,0.0000
T,3998.0000,0.7701
G,4000.0000,0.7800
E,-2.2100,0.0000
T,3998.0000,0.7802
G,4000.0000,0.7900
E,-2.2100,0.0000
T,3998.0000,0.7903
G,4000.0000,0.8000
E,-2.2100,0.0000
T,3998.0000,0.8004
G,4000.0000,0.8100
E,-2.2100,0.0000
T,3998.0000,0.8105
T,3998.0000,0.8197
G,4000.0000,0.8200
E,-2.2100,0.0000
T,3998.0000,0.8298
G,4000.0000,0.8300
E,-2.2100,0.0000
T,3998.0000,0.8399
G,4000.0000,0.8400
E,-2.2100,0.0000
T,3998.0000,0.8500
G,4000.0000,0.8500
E,-2.2100,0.0000
G,4000.0000,0.8600
E,-2.2100,0.0000
T,3998.0000,0.8601
G,4000.0000,0.8700
E,-2.2100,0.0000
T,3998.0000,0.8702
G,4000.0000,0.8800
E,-2.2100,0.0000
T,3998.0000,0.8804
G,4000.0000,0.8900
E,-2.2100,0.0000
T,3998.0000,0.8905
T,3998.0000,0.8996
G,4000.0000,0.9000
E,-2.2100,0.0000
T,3998.0000,0.9097
G,4000.0000,0.9100
E,-2.2100,0.0000
T,3998.0000,0.9198
G,4000.0000,0.9200
E,-2.2100,0.0000
T,3998.0000,0.9300
G,4000.0000,0.9300
E,-2.2100,0.0000
G,4000.0000,0.9400
E,-2.2100,0.0000
T,3998.0000,0.9401
G,4000.0000,0.9500
E,-2.2100,0.0000
T,3998.0000,0.9502
G,4000.0000,0.9600
E,-2.2100,0.0000
T,3998.0000,0.9603
G,4000.0000,0.9700
E,-2.2200,0.0000
T,3998.0000,0.9704
T,3998.0000,0.9795
G,4000.0000,0.9800
E,-2.2200,0.0000
T,3998.0000,0.9897
G,4000.0000,0.9900
E,-2.2200,0.0000
T,3998.0000,0.9998
G,4000.0000,1.0000
E,-2.2200,1.0000
T,3998.0000,1.0099
G,4000.0000,1.0100
E,-2.2200,1.0000
G,4000.0000,1.0200
E,-2.2200,1.0000
T,3998.0000,1.0200
G,4000.0000,1.0300
E,-2.2200,1.0000
T,3998.0000,1.0301
G,4000.0000,1.0400
E,-2.2200,1.0000
T,3998.0000,1.0403
G,4000.0000,1.0500
E,-2.2200,1.0000
T,3998.0000,1.0504
G,4000.0000,1.0600
E,-2.2200,1.0000
T,3998.0000,1.0605
T,3998.0000,1.0696
G,4000.0000,1.0700
E,-2.2200,1.0000
T,3998.0000,1.0797
G,4000.0000,1.0800
E,-2.2200,1.0000
T,3998.0000,1.0898
G,4000.0000,1.0900
E,-2.2200,1.0000
T,3998.0000,1.1000
G,4000.0000,1.1000
E,-2.2200,1.0000
G,4000.0000,1.1100
E,-2.2200,1.0000
T,3998.0000,1.1101
G,4000.0000,1.1200
E,-2.2200,1.0000
T,3998.0000,1.1202
G,4000.0000,1.1300
E,-2.2200,1.0000
T,3998.0000,1.1303
G,4000.0000,1.1400
E,-2.2200,1.0000
T,3998.0000,1.1404
T,3998.0000,1.1495
G,4000.0000,1.1500
E,-2.2200,1.0000
T,3998.0000,1.1597
G,4000.0000,1.1600
E,-2.2200,1.0000
T,3998.0000,1.1698
G,4000.0000,1.1700
E,-2.2200,1.0000
T,3998.0000,1.1799
G,4000.0000,1.1800
E,-2.2200,1.0000
G,4000.0000,1.1900
E,-2.2200,1.0000
T,3998.0000,1.1900
G,4000.0000,1.2000
E,-2.2200,1.0000
T,3998.0000,1.2001
G,4000.0000,1.2100
E,-2.2200,1.0000
T,3998.0000,1.2103
G,4000.0000,1.2200
E,-2.2200,1.0000
T,3998.0000,1.2204
T,3998.0000,1.2295
G,4000.0000,1.2300
E,-2.2200,1.0000
T,3998.0000,1.2396
G,4000.0000,1.2400
E,-2.2200,1.0000
T,3998.0000,1.2497
G,4000.0000,1.2500
E,-2.2200,1.0000
T,3998.0000,1.2598
G,4000.0000,1.2600
E,-2.2200,1.0000
T,3998.0000,1.2700
G,4000.0000,1.2700
E,-2.2200,1.0000
G,4000.0000,1.2800
E,-2.2200,1.0000
T,3998.0000,1.2801
G,4000.0000,1.2900
E,-2.2200,1.0000
T,3998.0000,1.2902
G,4000.0000,1.3000
E,-2.2200,1.0000
T,3998.0000,1.3003
T,3998.0000,1.3094
G,4000.0000,1.3100
E,-2.2200,1.0000
T,3998.0000,1.3195
G,4000.0000,1.3200
E,-2.2200,1.0000
T,3998.0000,1.3297
G,4000.0000,1.3300
E,-2.2200,1.0000
T,3998.0000,1.3398
G,4000.0000,1.3400
E,-2.2200,1.0000
T,3998.0000,1.3499
G,4000.0000,1.3500
E,-2.2200,1.0000
G,4000.0000,1.3600
E,-2.2200,1.0000
T,3998.0000,1.3600
G,4000.0000,1.3700
E,-2.2200,1.0000
T,3998.0000,1.3701
G,4000.0000,1.3800
E,-2.2200,1.0000
T,3998.0000,1.3803
G,4000.0000,1.3900
E,-2.2200,1.0000
T,3998.0000,1.3904
T,3998.0000,1.3995
G,4000.0000,1.4000
E,-2.2200,1.0000
T,3998.0000,1.4096
G,4000.0000,1.4100
E,-2.2200,1.0000
T,3998.0000,1.4197
G,4000.0000,1.4200
E,-2.2200,1.0000
T,3998.0000,1.4298
G,4000.0000,1.4300
E,-2.2200,1.0000
T,3998.0000,1.4400
G,4000.0000,1.4400
E,-2.2200,1.0000
G,4000.0000,1.4500
E,-2.2200,1.0000
T,3998.0000,1.4501
G,4000.0000,1.4600
E,-2.2200,1.0000
T,3998.0000,1.4602
G,4000.0000,1.4700
E,-2.2200,1.0000
T,3998.0000,1.4703
T,3998.0000,1.4794
G,4000.0000,1.4800
E,-2.2200,1.0000
T,3998.0000,1.4895
G,4000.0000,1.4900
E,-2.2200,1.0000
T,3998.0000,1.4997
G,4000.0000,1.5000
E,-2.2200,1.0000
T,3998.0000,1.5098
G,4000.0000,1.5100
E,-2.2200,1.0000
T,3998.0000,1.5199
G,4000.0000,1.5200
E,-2.2200,1.0000
G,4000.0000,1.5300
E,-2.2200,1.0000
T,3998.0000,1.5300
G,4000.0000,1.5400
E,-2.2200,1.0000
T,3998.0000,1.5401
G,4000.0000,1.5500
E,-2.2200,1.0000
T,3998.0000,1.5503
T,3998.0000,1.5594
G,4000.0000,1.5600
E,-2.2200,1.0000
T,3998.0000,1.5695
G,4000.0000,1.5700
E,-2.2200,1.0000
T,3998.0000,1.5796
G,4000.0000,1.5800
E,-2.2200,1.0000
T,3998.0000,1.5897
G,4000.0000,1.5900
E,-2.2200,1.0000
T,3998.0000,1.5998
G,4000.0000,1.6000
E,-2.2200,1.0000
T,3998.0000,1.6100
G,4000.0000,1.6100
E,-2.2200,1.0000
G,4000.0000,1.6200
E,-2.2200,1.0000
T,3998.0000,1.6201
G,4000.0000,1.6300
E,-2.2200,1.0000
T,3998.0000,1.6302
T,3998.0000,1.6393
G,4000.0000,1.6400
E,-2.2200,1.0000
T,3998.0000,1.6494
G,4000.0000,1.6500
E,-2.2200,1.0000
T,3998.0000,1.6595
G,4000.0000,1.6600
E,-2.2200,1.0000
T,3998.0000,1.6697
G,4000.0000,1.6700
E,-2.2200,1.0000
T,3998.0000,1.6798
G,4000.0000,1.6800
E,-2.2200,1.0000
T,3998.0000,1.6899
G,4000.0000,1.6900
E,-2.2200,1.0000
G,4000.0000,1.7000
E,-2.2200,1.0000
T,3998.0000,1.7000
G,4000.0000,1.7100
E,-2.2200,1.0000
T,3998.0000,1.7101
T,3998.0000,1.7192
G,4000.0000,1.7200
E,-2.2200,1.0000
T,3998.0000,1.7294
G,4000.0000,1.7300
E,-2.2200,1.0000
T,3998.0000,1.7395
G,4000.0000,1.7400
E,-2.2200,1.0000
T,3998.0000,1.7496
G,4000.0000,1.7500
E,-2.2200,1.0000
T,3998.0000,1.7597
G,4000.0000,1.7600
E,-2.2200,1.0000
T,3998.0000,1.7698
G,4000.0000,1.7700
E,-2.2200,1.0000
T,3998.0000,1.7800
G,4000.0000,1.7800
E,-2.2200,1.0000
G,4000.0000,1.7900
E,-2.2200,1.0000
T,3992.0000,1.7901
G,4000.0000,1.8000
E,-2.2200,1.0000
T,3992.0000,1.8002
T,3992.0000,1.8093
G,4000.0000,1.8100
E,-2.2200,1.0000
T,3992.0000,1.8194
G,4000.0000,1.8200
E,-2.2200,1.0000
T,3998.0000,1.8295
G,4000.0000,1.8300
E,-2.2200,1.0000
T,3998.0000,1.8397
G,4000.0000,1.8400
E,-2.2200,1.0000
T,3998.0000,1.8498
G,4000.0000,1.8500
E,-2.2200,1.0000
T,3998.0000,1.8599
G,4000.0000,1.8600
E,-2.2200,1.0000
G,4000.0000,1.8700
E,-2.2200,1.0000
T,3998.0000,1.8700
G,4000.0000,1.8800
E,-2.2200,1.0000
T,3998.0000,1.8801
T,3998.0000,1.8892
G,4000.0000,1.8900
E,-2.2200,1.0000
T,3998.0000,1.8994
G,4000.0000,1.9000
E,-2.2200,1.0000
T,3998.0000,1.9095
G,4000.0000,1.9100
E,-2.2200,1.0000
T,3998.0000,1.9196
G,4000.0000,1.9200
E,-2.2200,1.0000
T,3998.0000,1.9297
G,4000.0000,1.9300
E,-2.2200,1.0000
T,3998.0000,1.9398
G,4000.0000,1.9400
E,-2.2200,1.0000
T,3998.0000,1.9500
G,4000.0000,1.9500
E,-2.2200,1.0000
G,4000.0000,1.9600
E,-2.2200,1.0000
T,3998.0000,1.9601
T,3998.0000,1.9692
G,4000.0000,1.9700
E,-2.2200,1.0000
T,3998.0000,1.9793
G,4000.0000,1.9800
E,-2.2200,1.0000
T,3998.0000,1.9894
G,4000.0000,1.9900
E,-2.2200,1.0000
T,3998.0000,1.9995
G,4000.0000,2.0000
E,-2.2200,2.0000
T,3998.0000,2.0097
G,10000.0000,2.0100
E,-2.2200,2.0000
T,4380.0000,2.0198
G,10000.0000,2.0200
E,-1.9700,2.0000
T,5762.0000,2.0299
G,10000.0000,2.0300
E,-1.1500,2.0000
G,10000.0000,2.0400
E,0.2200,2.0000
T,7979.0000,2.0400
T,10403.0000,2.0491
G,10000.0000,2.0500
E,1.5700,2.0000
T,11690.0000,2.0592
G,10000.0000,2.0600
E,2.2300,2.0000
T,11796.0000,2.0694
G,10000.0000,2.0700
E,2.3000,2.0000
T,10919.0000,2.0795
G,10000.0000,2.0800
E,1.7900,2.0000
T,9648.0000,2.0896
G,10000.0000,2.0900
E,1.0700,2.0000
T,9430.0000,2.0997
G,10000.0000,2.1000
E,0.9700,2.0000
T,9590.0000,2.1098
G,10000.0000,2.1100
E,1.0300,2.0000
T,9765.0000,2.1200
G,10000.0000,2.1200
E,1.1300,2.0000
T,9872.0000,2.1291
G,10000.0000,2.1300
E,1.1900,2.0000
T,9925.0000,2.1392
G,10000.0000,2.1400
E,1.2100,2.0000
T,9946.0000,2.1493
G,10000.0000,2.1500
E,1.2300,2.0000
T,9962.0000,2.1594
G,10000.0000,2.1600
E,1.2400,2.0000
T,9973.0000,2.1695
G,10000.0000,2.1700
E,1.2400,2.0000
T,9983.0000,2.1797
G,10000.0000,2.1800
E,1.2500,2.0000
T,9989.0000,2.1898
G,10000.0000,2.1900
E,1.2500,2.0000
T,9994.0000,2.1999
G,10000.0000,2.2000
E,1.2600,2.0000
G,10000.0000,2.2100
E,1.2600,2.0000
T,9994.0000,2.2100
T,9999.0000,2.2191
G,10000.0000,2.2200
E,1.2600,2.0000
T,9999.0000,2.2292
G,10000.0000,2.2300
E,1.2600,2.0000
T,9999.0000,2.2394
G,10000.0000,2.2400
E,1.2600,2.0000
T,9999.0000,2.2495
G,10000.0000,2.2500
E,1.2600,2.0000
T,9999.0000,2.2596
G,10000.0000,2.2600
E,1.2600,2.0000
T,9999.0000,2.2697
G,10000.0000,2.2700
E,1.2600,2.0000
T,9999.0000,2.2798
G,10000.0000,2.2800
E,1.2600,2.0000
T,9999.0000,2.2900
G,10000.0000,2.2900
E,1.2600,2.0000
T,9999.0000,2.2991
G,10000.0000,2.3000
E,1.2600,2.0000
T,9999.0000,2.3092
G,10000.0000,2.3100
E,1.2600,2.0000
T,9999.0000,2.3193
G,10000.0000,2.3200
E,1.2600,2.0000
T,9999.0000,2.3294
G,10000.0000,2.3300
E,1.2600,2.0000
T,9999.0000,2.3395
G,10000.0000,2.3400
E,1.2600,2.0000
T,9999.0000,2.3497
G,10000.0000,2.3500
E,1.2600,2.0000
T,9999.0000,2.3598
G,10000.0000,2.3600
E,1.2600,2.0000
T,9999.0000,2.3699
G,10000.0000,2.3700
E,1.2600,2.0000
T,9999.0000,2.3790
G,10000.0000,2.3800
E,1.2600,2.0000
T,9999.0000,2.3891
G,10000.0000,2.3900
E,1.2600,2.0000
T,9999.0000,2.3992
G,10000.0000,2.4000
E,1.2600,2.0000
T,9999.0000,2.4094
G,10000.0000,2.4100
E,1.2600,2.0000
T,9999.0000,2.4195
G,10000.0000,2.4200
E,1.2600,2.0000
T,9999.0000,2.4296
G,10000.0000,2.4300
E,1.2600,2.0000
T,9999.0000,2.4397
G,10000.0000,2.4400
E,1.2600,2.0000
T,9999.0000,2.4498
G,10000.0000,2.4500
E,1.2600,2.0000
T,9999.0000,2.4590
G,10000.0000,2.4600
E,1.2600,2.0000
T,9999.0000,2.4691
G,10000.0000,2.4700
E,1.2600,2.0000
T,9999.0000,2.4792
G,10000.0000,2.4800
E,1.2600,2.0000
T,9999.0000,2.4893
G,10000.0000,2.4900
E,1.2600,2.0000
T,9999.0000,2.4994
G,10000.0000,2.5000
E,1.2600,2.0000
T,9999.0000,2.5095
G,10000.0000,2.5100
E,1.2600,2.0000
T,9999.0000,2.5197
G,10000.0000,2.5200
E,1.2600,2.0000
T,9999.0000,2.5298
G,10000.0000,2.5300
E,1.2600,2.0000
T,9999.0000,2.5389
G,10000.0000,2.5400
E,1.2600,2.0000
T,9999.0000,2.5490
G,10000.0000,2.5500
E,1.2600,2.0000
T,9999.0000,2.5591
G,10000.0000,2.5600
E,1.2600,2.0000
T,9999.0000,2.5692
G,10000.0000,2.5700
E,1.2600,2.0000
T,9999.0000,2.5794
G,10000.0000,2.5800
E,1.2600,2.0000
T,9999.0000,2.5895
G,10000.0000,2.5900
E,1.2600,2.0000
T,9999.0000,2.5996
G,10000.0000,2.6000
E,1.2600,2.0000
T,9999.0000,2.6097
G,10000.0000,2.6100
E,1.2600,2.0000
T,9999.0000,2.6198
G,10000.0000,2.6200
E,1.2600,2.0000
T,9999.0000,2.6290
G,10000.0000,2.6300
E,1.2600,2.0000
T,9999.0000,2.6391
G,10000.0000,2.6400
E,1.2600,2.0000
T,9999.0000,2.6492
G,10000.0000,2.6500
E,1.2600,2.0000
T,9999.0000,2.6593
G,10000.0000,2.6600
E,1.2600,2.0000
T,9999.0000,2.6694
G,10000.0000,2.6700
E,1.2600,2.0000
T,9999.0000,2.6795
G,10000.0000,2.6800
E,1.2600,2.0000
T,9999.0000,2.6897
G,10000.0000,2.6900
E,1.2600,2.0000
T,9999.0000,2.6998
G,10000.0000,2.7000
E,1.2600,2.0000
T,9999.0000,2.7089
G,10000.0000,2.7100
E,1.2600,2.0000
T,9999.0000,2.7190
G,10000.0000,2.7200
E,1.2600,2.0000
T,9999.0000,2.7291
G,10000.0000,2.7300
E,1.2600,2.0000
T,9999.0000,2.7392
G,10000.0000,2.7400
E,1.2600,2.0000
T,9999.0000,2.7494
G,10000.0000,2.7500
E,1.2600,2.0000
T,9999.0000,2.7595
G,10000.0000,2.7600
E,1.2600,2.0000
