type,value,time
E,0.0000,0.0000
G,4000.0000,0.0100
E,0.0000,0.0000
G,4000.0000,0.0200
E,0.0000,0.0000
G,4000.0000,0.0300
E,0.0000,0.0000
G,4000.0000,0.0400
E,0.0000,0.0000
G,4000.0000,0.0500
E,0.0000,0.0000
G,4000.0000,0.0600
E,0.0000,0.0000
G,4000.0000,0.0700
E,0.0000,0.0000
G,4000.0000,0.0800
E,0.0000,0.0000
G,4000.0000,0.0900
E,0.0000,0.0000
G,4000.0000,0.1000
E,0.0000,0.0000
G,4000.0000,0.1100
E,0.0000,0.0000
G,4000.0000,0.1200
E,0.0000,0.0000
G,4000.0000,0.1300
E,0.0000,0.0000
G,4000.0000,0.1400
E,0.0000,0.0000
G,4000.0000,0.1500
E,0.0000,0.0000
G,4000.0000,0.1600
E,0.0000,0.0000
G,4000.0000,0.1700
E,0.0000,0.0000
G,4000.0000,0.1800
E,0.0000,0.0000
G,4000.0000,0.1900
E,0.0000,0.0000
G,4000.0000,0.2000
E,0.0000,0.0000
G,4000.0000,0.2100
E,0.0000,0.0000
G,4000.0000,0.2200
E,0.0000,0.0000
G,4000.0000,0.2300
E,0.0000,0.0000
G,4000.0000,0.2400
E,0.0000,0.0000
G,4000.0000,0.2500
E,0.0000,0.0000
G,4000.0000,0.2600
E,0.0000,0.0000
G,4000.0000,0.2700
E,0.0000,0.0000
G,4000.0000,0.2800
E,0.0000,0.0000
G,4000.0000,0.2900
E,0.0000,0.0000
G,4000.0000,0.3000
E,0.0000,0.0000
G,4000.0000,0.3100
E,0.0000,0.0000
G,4000.0000,0.3200
E,0.0000,0.0000
G,4000.0000,0.3300
E,0.0000,0.0000
G,4000.0000,0.3400
E,0.0000,0.0000
G,4000.0000,0.3500
E,0.0000,0.0000
G,4000.0000,0.3600
E,0.0000,0.0000
G,4000.0000,0.3700
E,0.0000,0.0000
G,4000.0000,0.3800
E,0.0000,0.0000
G,4000.0000,0.3900
E,0.0000,0.0000
G,4000.0000,0.4000
E,0.0000,0.0000
G,4000.0000,0.4100
E,0.0000,0.0000
G,4000.0000,0.4200
E,0.0000,0.0000
G,4000.0000,0.4300
E,0.0000,0.0000
G,4000.0000,0.4400
E,0.0000,0.0000
G,4000.0000,0.4500
E,0.0000,0.0000
G,4000.0000,0.4600
E,0.0000,0.0000
G,4000.0000,0.4700
E,0.0000,0.0000
G,4000.0000,0.4800
E,0.0000,0.0000
G,4000.0000,0.4900
E,0.0000,0.0000
G,4000.0000,0.5000
E,0.0000,0.0000
G,4000.0000,0.5100
E,0.0000,0.0000
G,4000.0000,0.5200
E,0.0000,0.0000
G,4000.0000,0.5300
E,0.0000,0.0000
G,4000.0000,0.5400
E,0.0000,0.0000
G,4000.0000,0.5500
E,0.0000,0.0000
G,4000.0000,0.5600
E,0.0000,0.0000
G,4000.0000,0.5700
E,0.0000,0.0000
G,4000.0000,0.5800
E,0.0000,0.0000
G,4000.0000,0.5900
E,0.0000,0.0000
G,4000.0000,0.6000
E,0.0000,0.0000
G,4000.0000,0.6100
E,0.0000,0.0000
G,4000.0000,0.6200
E,0.0000,0.0000
G,4000.0000,0.6300
E,0.0000,0.0000
G,4000.0000,0.6400
E,0.0000,0.0000
G,4000.0000,0.6500
E,0.0000,0.0000
G,4000.0000,0.6600
E,0.0000,0.0000
G,4000.0000,0.6700
E,0.0000,0.0000
G,4000.0000,0.6800
E,0.0000,0.0000
G,4000.0000,0.6900
E,0.0000,0.0000
G,4000.0000,0.7000
E,0.0000,0.0000
G,4000.0000,0.7100
E,0.0000,0.0000
G,4000.0000,0.7200
E,0.0000,0.0000
G,4000.0000,0.7300
E,0.0000,0.0000
G,4000.0000,0.7400
E,0.0000,0.0000
G,4000.0000,0.7500
E,0.0000,0.0000
G,4000.0000,0.7600
E,0.0000,0.0000
G,4000.0000,0.7700
E,0.0000,0.0000
G,4000.0000,0.7800
E,0.0000,0.0000
G,4000.0000,0.7900
E,0.0000,0.0000
G,4000.0000,0.8000
E,0.0000,0.0000
G,4000.0000,0.8100
E,0.0000,0.0000
G,4000.0000,0.8200
E,0.0000,0.0000
G,4000.0000,0.8300
E,0.0000,0.0000
G,4000.0000,0.8400
E,0.0000,0.0000
G,4000.0000,0.8500
E,0.0000,0.0000
G,4000.0000,0.8600
E,0.0000,0.0000
G,4000.0000,0.8700
E,0.0000,0.0000
G,4000.0000,0.8800
E,0.0000,0.0000
G,4000.0000,0.8900
E,0.0000,0.0000
G,4000.0000,0.9000
E,0.0000,0.0000
G,4000.0000,0.9100
E,0.0000,0.0000
G,4000.0000,0.9200
E,0.0000,0.0000
G,4000.0000,0.9300
E,0.0000,0.0000
G,4000.0000,0.9400
E,0.0000,0.0000
G,4000.0000,0.9500
E,0.0000,0.0000
G,4000.0000,0.9600
E,0.0000,0.0000
G,4000.0000,0.9700
E,0.0000,0.0000
G,4000.0000,0.9800
E,0.0000,0.0000
G,4000.0000,0.9900
E,0.0000,1.0000
G,4000.0000,1.0000
E,0.0000,1.0000
G,4000.0000,1.0100
E,0.0000,1.0000
G,4000.0000,1.0200
E,0.0000,1.0000
G,4000.0000,1.0300
E,0.0000,1.0000
G,4000.0000,1.0400
E,0.0000,1.0000
G,4000.0000,1.0500
E,0.0000,1.0000
G,4000.0000,1.0600
E,0.0000,1.0000
G,4000.0000,1.0700
E,0.0000,1.0000
G,4000.0000,1.0800
E,0.0000,1.0000
G,4000.0000,1.0900
E,0.0000,1.0000
G,4000.0000,1.1000
E,0.0000,1.0000
G,4000.0000,1.1100
E,0.0000,1.0000
G,4000.0000,1.1200
E,0.0000,1.0000
G,4000.0000,1.1300
E,0.0000,1.0000
G,4000.0000,1.1400
E,0.0000,1.0000
G,4000.0000,1.1500
E,0.0000,1.0000
G,4000.0000,1.1600
E,0.0000,1.0000
G,4000.0000,1.1700
E,0.0000,1.0000
G,4000.0000,1.1800
E,0.0000,1.0000
G,4000.0000,1.1900
E,0.0000,1.0000
G,4000.0000,1.2000
E,0.0000,1.0000
G,4000.0000,1.2100
E,0.0000,1.0000
G,4000.0000,1.2200
E,0.0000,1.0000
G,4000.0000,1.2300
E,0.0000,1.0000
G,4000.0000,1.2400
E,0.0000,1.0000
G,4000.0000,1.2500
E,0.0000,1.0000
G,4000.0000,1.2600
E,0.0000,1.0000
G,4000.0000,1.2700
E,0.0000,1.0000
G,4000.0000,1.2800
E,0.0000,1.0000
G,4000.0000,1.2900
E,0.0000,1.0000
G,4000.0000,1.3000
E,0.0000,1.0000
G,4000.0000,1.3100
E,0.0000,1.0000
G,4000.0000,1.3200
E,0.0000,1.0000
G,4000.0000,1.3300
E,0.0000,1.0000
G,4000.0000,1.3400
E,0.0000,1.0000
G,4000.0000,1.3500
E,0.0000,1.0000
G,4000.0000,1.3600
E,0.0000,1.0000
G,4000.0000,1.3700
E,0.0000,1.0000
G,4000.0000,1.3800
E,0.0000,1.0000
G,4000.0000,1.3900
E,0.0000,1.0000
G,4000.0000,1.4000
E,0.0000,1.0000
G,4000.0000,1.4100
E,0.0000,1.0000
G,4000.0000,1.4200
E,0.0000,1.0000
G,4000.0000,1.4300
E,0.0000,1.0000
G,4000.0000,1.4400
E,0.0000,1.0000
G,4000.0000,1.4500
E,0.0000,1.0000
G,4000.0000,1.4600
E,0.0000,1.0000
G,4000.0000,1.4700
E,0.0000,1.0000
G,4000.0000,1.4800
E,0.0000,1.0000
G,4000.0000,1.4900
E,0.0000,1.0000
G,4000.0000,1.5000
E,0.0000,1.0000
G,4000.0000,1.5100
E,0.0000,1.0000
G,4000.0000,1.5200
E,0.0000,1.0000
G,4000.0000,1.5300
E,0.0000,1.0000
G,4000.0000,1.5400
E,0.0000,1.0000
G,4000.0000,1.5500
E,0.0000,1.0000
G,4000.0000,1.5600
E,0.0000,1.0000
G,4000.0000,1.5700
E,0.0000,1.0000
