type,value,time
T,3499.0000,0.0000
T,3477.0000,0.0010
T,3430.0000,0.0020
T,3500.0000,0.0030
T,3500.0000,0.0081
G,4000.0000,0.0100
T,3498.0000,0.0182
G,4000.0000,0.0200
T,3476.0000,0.0283
G,4000.0000,0.0300
T,3430.0000,0.0374
G,4000.0000,0.0400
T,3362.0000,0.0475
G,4000.0000,0.0500
T,3272.0000,0.0577
G,4000.0000,0.0600
T,3160.0000,0.0678
G,4000.0000,0.0700
T,3030.0000,0.0779
G,4000.0000,0.0800
T,2876.0000,0.0880
G,4000.0000,0.0900
T,2735.0000,0.0981
G,4000.0000,0.1000
T,2762.0000,0.1082
G,4000.0000,0.1100
T,2795.0000,0.1173
G,4000.0000,0.1200
T,2811.0000,0.1275
G,4000.0000,0.1300
T,2815.0000,0.1376
G,4000.0000,0.1400
T,2814.0000,0.1477
G,4000.0000,0.1500
T,2811.0000,0.1578
G,4000.0000,0.1600
T,2808.0000,0.1679
G,4000.0000,0.1700
T,2804.0000,0.1781
G,4000.0000,0.1800
T,2803.0000,0.1882
G,4000.0000,0.1900
T,2801.0000,0.1973
G,4000.0000,0.2000
T,2801.0000,0.2074
G,4000.0000,0.2100
T,2800.0000,0.2175
G,4000.0000,0.2200
T,2800.0000,0.2277
G,4000.0000,0.2300
T,2800.0000,0.2378
G,4000.0000,0.2400
T,2800.0000,0.2479
G,4000.0000,0.2500
T,2800.0000,0.2580
G,4000.0000,0.2600
T,2800.0000,0.2681
G,4000.0000,0.2700
T,2800.0000,0.2772
G,4000.0000,0.2800
T,2800.0000,0.2873
G,4000.0000,0.2900
T,2800.0000,0.2975
G,4000.0000,0.3000
T,2800.0000,0.3076
G,4000.0000,0.3100
T,2800.0000,0.3177
G,4000.0000,0.3200
T,2800.0000,0.3278
G,4000.0000,0.3300
T,2800.0000,0.3379
G,4000.0000,0.3400
T,2800.0000,0.3481
G,4000.0000,0.3500
T,2799.0000,0.3582
G,4000.0000,0.3600
T,2799.0000,0.3673
G,4000.0000,0.3700
T,2799.0000,0.3774
G,4000.0000,0.3800
T,2799.0000,0.3875
G,4000.0000,0.3900
T,2799.0000,0.3977
G,4000.0000,0.4000
T,2800.0000,0.4078
G,4000.0000,0.4100
T,2800.0000,0.4179
G,4000.0000,0.4200
T,2800.0000,0.4280
G,4000.0000,0.4300
T,2800.0000,0.4381
G,4000.0000,0.4400
T,2800.0000,0.4472
G,4000.0000,0.4500
