type,value,time
T,3500.0000,0.0000
T,3490.0000,0.0010
T,3457.0000,0.0020
T,3500.0000,0.0030
T,3500.0000,0.0040
G,4000.0000,0.0100
T,3500.0000,0.0121
G,4000.0000,0.0200
T,3492.0000,0.0222
G,4000.0000,0.0300
T,3461.0000,0.0323
G,4000.0000,0.0400
T,3406.0000,0.0415
G,4000.0000,0.0500
T,3328.0000,0.0516
G,4000.0000,0.0600
T,3229.0000,0.0617
G,4000.0000,0.0700
T,3109.0000,0.0718
G,4000.0000,0.0800
T,2971.0000,0.0819
G,4000.0000,0.0900
T,2812.0000,0.0921
G,4000.0000,0.1000
T,2734.0000,0.1022
G,4000.0000,0.1100
T,2775.0000,0.1123
G,4000.0000,0.1200
T,2802.0000,0.1214
G,4000.0000,0.1300
T,2814.0000,0.1315
G,4000.0000,0.1400
T,2816.0000,0.1416
G,4000.0000,0.1500
T,2814.0000,0.1518
G,4000.0000,0.1600
T,2811.0000,0.1619
G,4000.0000,0.1700
T,2807.0000,0.1720
G,4000.0000,0.1800
T,2804.0000,0.1821
G,4000.0000,0.1900
T,2802.0000,0.1922
G,4000.0000,0.2000
T,2801.0000,0.2013
G,4000.0000,0.2100
T,2800.0000,0.2115
G,4000.0000,0.2200
T,2799.0000,0.2216
G,4000.0000,0.2300
T,2799.0000,0.2317
G,4000.0000,0.2400
T,2799.0000,0.2418
G,4000.0000,0.2500
T,2799.0000,0.2519
G,4000.0000,0.2600
T,2799.0000,0.2621
G,4000.0000,0.2700
T,2799.0000,0.2722
G,4000.0000,0.2800
T,2799.0000,0.2823
G,4000.0000,0.2900
T,2800.0000,0.2914
G,4000.0000,0.3000
T,2800.0000,0.3015
G,4000.0000,0.3100
T,2800.0000,0.3116
G,4000.0000,0.3200
T,2800.0000,0.3218
G,4000.0000,0.3300
T,2800.0000,0.3319
G,4000.0000,0.3400
T,2800.0000,0.3420
G,4000.0000,0.3500
T,2800.0000,0.3521
G,4000.0000,0.3600
T,2800.0000,0.3622
G,4000.0000,0.3700
T,2800.0000,0.3713
G,4000.0000,0.3800
T,2800.0000,0.3815
G,4000.0000,0.3900
T,2800.0000,0.3916
G,4000.0000,0.4000
T,2800.0000,0.4017
G,4000.0000,0.4100
T,2800.0000,0.4118
G,4000.0000,0.4200
T,2800.0000,0.4219
G,4000.0000,0.4300
T,2800.0000,0.4321
G,4000.0000,0.4400
T,2800.0000,0.4422
G,4000.0000,0.4500
T,2800.0000,0.4513
G,4000.0000,0.4600
T,2800.0000,0.4614
G,4000.0000,0.4700
T,2800.0000,0.4715
G,4000.0000,0.4800
T,2800.0000,0.4816
G,4000.0000,0.4900
T,2800.0000,0.4918
G,4000.0000,0.5000
T,2800.0000,0.5019
G,4000.0000,0.5100
T,2800.0000,0.5120
G,4000.0000,0.5200
T,2800.0000,0.5221
G,4000.0000,0.5300
T,2800.0000,0.5312
G,4000.0000,0.5400
T,2800.0000,0.5413
G,4000.0000,0.5500
T,2800.0000,0.5515
G,4000.0000,0.5600
T,2800.0000,0.5616
G,4000.0000,0.5700
T,2800.0000,0.5717
G,4000.0000,0.5800
T,2800.0000,0.5818
G,4000.0000,0.5900
T,2800.0000,0.5919
G,4000.0000,0.6000
T,2800.0000,0.6021
G,4000.0000,0.6100
T,2800.0000,0.6112
G,4000.0000,0.6200
T,2800.0000,0.6213
G,4000.0000,0.6300
T,2800.0000,0.6314
G,4000.0000,0.6400
T,2800.0000,0.6415
G,4000.0000,0.6500
T,2800.0000,0.6516
G,4000.0000,0.6600
T,2800.0000,0.6618
G,4000.0000,0.6700
T,2800.0000,0.6719
G,4000.0000,0.6800
T,2800.0000,0.6820
G,4000.0000,0.6900
T,2800.0000,0.6921
G,4000.0000,0.7000
T,2800.0000,0.7012
G,4000.0000,0.7100
T,2800.0000,0.7113
G,4000.0000,0.7200
T,2800.0000,0.7215
G,4000.0000,0.7300
T,2800.0000,0.7316
G,4000.0000,0.7400
T,2800.0000,0.7417
G,4000.0000,0.7500
T,2800.0000,0.7518
G,4000.0000,0.7600
T,2800.0000,0.7619
G,4000.0000,0.7700
T,2800.0000,0.7721
G,4000.0000,0.7800
T,2800.0000,0.7812
G,4000.0000,0.7900
T,2800.0000,0.7913
G,4000.0000,0.8000
T,2800.0000,0.8014
G,4000.0000,0.8100
T,2800.0000,0.8115
G,4000.0000,0.8200
T,2800.0000,0.8216
G,4000.0000,0.8300
T,2800.0000,0.8318
G,4000.0000,0.8400
T,2800.0000,0.8419
G,4000.0000,0.8500
T,2800.0000,0.8520
G,4000.0000,0.8600
T,2800.0000,0.8611
G,4000.0000,0.8700
T,2800.0000,0.8712
G,4000.0000,0.8800
T,2800.0000,0.8813
G,4000.0000,0.8900
T,2800.0000,0.8915
G,4000.0000,0.9000
T,2800.0000,0.9016
G,4000.0000,0.9100
T,2800.0000,0.9117
G,4000.0000,0.9200
T,2800.0000,0.9218
G,4000.0000,0.9300
T,2800.0000,0.9319
G,4000.0000,0.9400
T,2800.0000,0.9410
G,4000.0000,0.9500
T,2800.0000,0.9512
G,4000.0000,0.9600
T,2800.0000,0.9613
G,4000.0000,0.9700
T,2800.0000,0.9714
G,4000.0000,0.9800
T,2800.0000,0.9815
G,4000.0000,0.9900
T,2800.0000,0.9916
G,4000.0000,1.0000
T,2800.0000,1.0018
G,4000.0000,1.0100
T,2800.0000,1.0119
G,4000.0000,1.0200
T,2800.0000,1.0220
G,4000.0000,1.0300
T,2800.0000,1.0311
G,4000.0000,1.0400
T,2800.0000,1.0412
G,4000.0000,1.0500
T,2800.0000,1.0513
G,4000.0000,1.0600
T,2800.0000,1.0615
G,4000.0000,1.0700
T,2800.0000,1.0716
G,4000.0000,1.0800
T,2800.0000,1.0817
G,4000.0000,1.0900
T,2800.0000,1.0918
G,4000.0000,1.1000
T,2800.0000,1.1019
G,4000.0000,1.1100
T,2800.0000,1.1110
G,4000.0000,1.1200
T,2800.0000,1.1212
G,4000.0000,1.1300
T,2800.0000,1.1313
G,4000.0000,1.1400
T,2800.0000,1.1414
G,4000.0000,1.1500
T,2800.0000,1.1515
G,4000.0000,1.1600
T,2800.0000,1.1616
G,4000.0000,1.1700
T,2800.0000,1.1718
G,4000.0000,1.1800
T,2800.0000,1.1819
G,4000.0000,1.1900
T,2800.0000,1.1910
G,4000.0000,1.2000
T,2800.0000,1.2011
G,4000.0000,1.2100
T,2800.0000,1.2112
G,4000.0000,1.2200
T,2800.0000,1.2213
G,4000.0000,1.2300
T,2800.0000,1.2315
G,4000.0000,1.2400
T,2800.0000,1.2416
G,4000.0000,1.2500
T,2800.0000,1.2517
G,4000.0000,1.2600
T,2800.0000,1.2618
G,4000.0000,1.2700
T,2800.0000,1.2709
G,4000.0000,1.2800
T,2800.0000,1.2810
G,4000.0000,1.2900
T,2800.0000,1.2912
G,4000.0000,1.3000
T,2800.0000,1.3013
G,4000.0000,1.3100
T,2800.0000,1.3114
G,4000.0000,1.3200
T,2800.0000,1.3215
G,4000.0000,1.3300
T,2800.0000,1.3316
G,4000.0000,1.3400
T,2800.0000,1.3418
G,4000.0000,1.3500
T,2800.0000,1.3509
G,4000.0000,1.3600
T,2800.0000,1.3610
G,4000.0000,1.3700
T,2800.0000,1.3711
G,4000.0000,1.3800
T,2800.0000,1.3812
G,4000.0000,1.3900
T,2800.0000,1.3913
G,4000.0000,1.4000
T,2800.0000,1.4015
G,4000.0000,1.4100
T,2800.0000,1.4116
G,4000.0000,1.4200
T,2800.0000,1.4217
G,4000.0000,1.4300
T,2800.0000,1.4308
G,4000.0000,1.4400
T,2800.0000,1.4409
G,4000.0000,1.4500
T,2800.0000,1.4511
G,4000.0000,1.4600
T,2800.0000,1.4612
G,4000.0000,1.4700
T,2800.0000,1.4713
G,4000.0000,1.4800
T,2800.0000,1.4814
G,4000.0000,1.4900
T,2800.0000,1.4915
G,4000.0000,1.5000
T,2800.0000,1.5017
G,4000.0000,1.5100
T,2800.0000,1.5118
G,4000.0000,1.5200
T,2800.0000,1.5209
G,4000.0000,1.5300
T,2800.0000,1.5310
G,4000.0000,1.5400
T,2800.0000,1.5411
G,4000.0000,1.5500
T,2800.0000,1.5512
G,4000.0000,1.5600
T,2800.0000,1.5613
G,4000.0000,1.5700
T,2800.0000,1.5715
G,4000.0000,1.5800
T,2800.0000,1.5816
G,4000.0000,1.5900
T,2800.0000,1.5917
G,4000.0000,1.6000
T,2800.0000,1.6008
G,4000.0000,1.6100
T,2800.0000,1.6109
G,4000.0000,1.6200
T,2800.0000,1.6211
G,4000.0000,1.6300
T,2800.0000,1.6312
G,4000.0000,1.6400
T,2800.0000,1.6413
G,4000.0000,1.6500
T,2800.0000,1.6514
G,4000.0000,1.6600
T,2800.0000,1.6615
G,4000.0000,1.6700
T,2800.0000,1.6717
G,4000.0000,1.6800
T,2800.0000,1.6808
G,4000.0000,1.6900
T,2800.0000,1.6909
G,4000.0000,1.7000
T,2800.0000,1.7010
G,4000.0000,1.7100
T,2800.0000,1.7111
G,4000.0000,1.7200
T,2800.0000,1.7212
G,4000.0000,1.7300
T,2800.0000,1.7313
G,4000.0000,1.7400
T,2800.0000,1.7415
G,4000.0000,1.7500
T,2800.0000,1.7516
G,4000.0000,1.7600
T,2800.0000,1.7607
G,4000.0000,1.7700
T,2800.0000,1.7708
G,4000.0000,1.7800
T,2800.0000,1.7809
G,4000.0000,1.7900
T,2800.0000,1.7911
G,4000.0000,1.8000
T,2800.0000,1.8012
G,4000.0000,1.8100
T,2800.0000,1.8113
G,4000.0000,1.8200
T,2800.0000,1.8214
G,4000.0000,1.8300
T,2800.0000,1.8315
G,4000.0000,1.8400
T,2800.0000,1.8406
G,4000.0000,1.8500
T,2800.0000,1.8508
G,4000.0000,1.8600
T,2800.0000,1.8619
G,4000.0000,1.8700
T,2800.0000,1.8710
G,4000.0000,1.8800
T,2800.0000,1.8811
G,4000.0000,1.8900
T,2800.0000,1.8912
G,4000.0000,1.9000
T,2800.0000,1.9013
G,4000.0000,1.9100
T,2800.0000,1.9115
G,4000.0000,1.9200
T,2800.0000,1.9216
G,4000.0000,1.9300
T,2800.0000,1.9307
G,4000.0000,1.9400
T,2800.0000,1.9408
G,4000.0000,1.9500
T,2800.0000,1.9509
G,4000.0000,1.9600
T,2800.0000,1.9611
G,4000.0000,1.9700
T,2800.0000,1.9712
G,4000.0000,1.9800
T,2800.0000,1.9813
G,4000.0000,1.9900
T,2800.0000,1.9914
G,4000.0000,2.0000
T,2800.0000,2.0015
G,10000.0000,2.0100
T,2800.0000,2.0106
G,10000.0000,2.0200
T,2906.0000,2.0208
G,10000.0000,2.0300
T,3195.0000,2.0309
G,10000.0000,2.0400
T,3627.0000,2.0410
G,10000.0000,2.0500
T,4010.0000,2.0511
G,10000.0000,2.0600
T,4226.0000,2.0612
G,10000.0000,2.0700
T,4220.0000,2.0713
G,10000.0000,2.0800
T,4043.0000,2.0815
G,10000.0000,2.0900
T,3904.0000,2.0906
G,10000.0000,2.1000
T,3854.0000,2.1007
G,10000.0000,2.1100
T,3851.0000,2.1108
G,10000.0000,2.1200
T,3869.0000,2.1209
G,10000.0000,2.1300
T,3891.0000,2.1311
G,10000.0000,2.1400
T,3909.0000,2.1412
G,10000.0000,2.1500
T,3921.0000,2.1513
G,10000.0000,2.1600
T,3928.0000,2.1614
G,10000.0000,2.1700
T,3931.0000,2.1715
G,10000.0000,2.1800
T,3932.0000,2.1817
G,10000.0000,2.1900
T,3932.0000,2.1908
G,10000.0000,2.2000
T,3931.0000,2.2009
G,10000.0000,2.2100
T,3931.0000,2.2110
G,10000.0000,2.2200
T,3930.0000,2.2211
G,10000.0000,2.2300
T,3930.0000,2.2312
G,10000.0000,2.2400
T,3930.0000,2.2413
G,10000.0000,2.2500
T,3929.0000,2.2515
G,10000.0000,2.2600
T,3929.0000,2.2606
G,10000.0000,2.2700
T,3929.0000,2.2707
G,10000.0000,2.2800
T,3929.0000,2.2808
G,10000.0000,2.2900
T,3929.0000,2.2909
G,10000.0000,2.3000
T,3929.0000,2.3011
G,10000.0000,2.3100
T,3929.0000,2.3112
G,10000.0000,2.3200
T,3929.0000,2.3213
G,10000.0000,2.3300
T,3929.0000,2.3314
G,10000.0000,2.3400
T,3929.0000,2.3405
G,10000.0000,2.3500
T,3929.0000,2.3506
G,10000.0000,2.3600
T,3929.0000,2.3608
G,10000.0000,2.3700
T,3929.0000,2.3709
G,10000.0000,2.3800
T,3929.0000,2.3810
G,10000.0000,2.3900
T,3929.0000,2.3911
G,10000.0000,2.4000
T,3929.0000,2.4012
G,10000.0000,2.4100
T,3929.0000,2.4113
G,10000.0000,2.4200
T,3929.0000,2.4205
G,10000.0000,2.4300
T,3929.0000,2.4306
G,10000.0000,2.4400
T,3929.0000,2.4407
G,10000.0000,2.4500
T,3929.0000,2.4508
G,10000.0000,2.4600
T,3929.0000,2.4609
G,10000.0000,2.4700
T,3929.0000,2.4711
G,10000.0000,2.4800
T,3929.0000,2.4812
G,10000.0000,2.4900
T,3929.0000,2.4913
G,10000.0000,2.5000
T,3929.0000,2.5014
G,10000.0000,2.5100
T,3929.0000,2.5105
G,10000.0000,2.5200
T,3929.0000,2.5206
G,10000.0000,2.5300
T,3929.0000,2.5308
G,10000.0000,2.5400
T,3929.0000,2.5409
G,10000.0000,2.5500
T,3929.0000,2.5510
G,10000.0000,2.5600
T,3929.0000,2.5611
G,10000.0000,2.5700
T,3929.0000,2.5712
G,10000.0000,2.5800
T,3929.0000,2.5813
G,10000.0000,2.5900
T,3929.0000,2.5905
G,10000.0000,2.6000
T,3929.0000,2.6006
G,10000.0000,2.6100
T,3929.0000,2.6107
G,10000.0000,2.6200
T,3929.0000,2.6208
G,10000.0000,2.6300
T,3929.0000,2.6309
G,10000.0000,2.6400
T,3929.0000,2.6411
G,10000.0000,2.6500
T,3929.0000,2.6512
G,10000.0000,2.6600
T,3929.0000,2.6613
G,10000.0000,2.6700
T,3929.0000,2.6704
G,10000.0000,2.6800
T,3929.0000,2.6805
G,10000.0000,2.6900
T,3929.0000,2.6906
G,10000.0000,2.7000
T,3929.0000,2.7008
G,10000.0000,2.7100
T,3929.0000,2.7109
G,10000.0000,2.7200
T,3929.0000,2.7210
G,10000.0000,2.7300
T,3929.0000,2.7311
G,10000.0000,2.7400
T,3929.0000,2.7412
G,10000.0000,2.7500
T,3929.0000,2.7503
G,10000.0000,2.7600
T,3929.0000,2.7605
G,10000.0000,2.7700
T,3929.0000,2.7706
G,10000.0000,2.7800
T,3929.0000,2.7807
G,10000.0000,2.7900
T,3929.0000,2.7908
G,10000.0000,2.8000
T,3929.0000,2.8009
G,10000.0000,2.8100
T,3929.0000,2.8111
G,10000.0000,2.8200
T,3929.0000,2.8212
G,10000.0000,2.8300
T,3929.0000,2.8303
G,10000.0000,2.8400
T,3929.0000,2.8404
G,10000.0000,2.8500
T,3929.0000,2.8505
G,10000.0000,2.8600
T,3929.0000,2.8606
G,10000.0000,2.8700
T,3929.0000,2.8708
G,10000.0000,2.8800
T,3929.0000,2.8809
G,10000.0000,2.8900
T,3929.0000,2.8910
G,10000.0000,2.9000
T,3929.0000,2.9011
G,10000.0000,2.9100
T,3929.0000,2.9102
G,10000.0000,2.9200
T,3929.0000,2.9203
G,10000.0000,2.9300
T,3929.0000,2.9305
G,10000.0000,2.9400
T,3929.0000,2.9406
G,10000.0000,2.9500
T,3929.0000,2.9507
G,10000.0000,2.9600
T,3929.0000,2.9608
G,10000.0000,2.9700
T,3929.0000,2.9709
G,10000.0000,2.9800
T,3929.0000,2.9811
G,10000.0000,2.9900
T,3929.0000,2.9902
G,10000.0000,3.0000
T,3929.0000,3.0003
G,10000.0000,3.0100
T,3929.0000,3.0104
G,10000.0000,3.0200
T,3929.0000,3.0205
G,10000.0000,3.0300
T,3929.0000,3.0306
G,10000.0000,3.0400
T,3929.0000,3.0408
G,10000.0000,3.0500
T,3929.0000,3.0509
G,10000.0000,3.0600
T,3929.0000,3.0610
G,10000.0000,3.0700
T,3929.0000,3.0711
G,10000.0000,3.0800
T,3929.0000,3.0802
G,10000.0000,3.0900
T,3929.0000,3.0903
G,10000.0000,3.1000
T,3929.0000,3.1005
G,10000.0000,3.1100
T,3929.0000,3.1106
G,10000.0000,3.1200
T,3929.0000,3.1207
G,10000.0000,3.1300
T,3929.0000,3.1308
G,10000.0000,3.1400
T,3929.0000,3.1409
G,10000.0000,3.1500
T,3929.0000,3.1511
G,10000.0000,3.1600
T,3929.0000,3.1602
G,10000.0000,3.1700
T,3929.0000,3.1703
G,10000.0000,3.1800
T,3929.0000,3.1804
G,10000.0000,3.1900
T,3929.0000,3.1905
G,10000.0000,3.2000
T,3929.0000,3.2007
G,10000.0000,3.2100
T,3929.0000,3.2108
G,10000.0000,3.2200
T,3929.0000,3.2209
G,10000.0000,3.2300
T,3929.0000,3.2310
G,10000.0000,3.2400
T,3929.0000,3.2401
G,10000.0000,3.2500
T,3929.0000,3.2502
G,10000.0000,3.2600
T,3929.0000,3.2603
G,10000.0000,3.2700
T,3929.0000,3.2705
G,10000.0000,3.2800
T,3929.0000,3.2806
G,10000.0000,3.2900
T,3929.0000,3.2907
G,10000.0000,3.3000
T,3929.0000,3.3008
G,10000.0000,3.3100
T,3929.0000,3.3109
G,10000.0000,3.3200
T,3929.0000,3.3201
G,10000.0000,3.3300
T,3929.0000,3.3302
G,10000.0000,3.3400
T,3929.0000,3.3403
G,10000.0000,3.3500
T,3929.0000,3.3504
G,10000.0000,3.3600
T,3929.0000,3.3605
G,10000.0000,3.3700
T,3929.0000,3.3707
G,10000.0000,3.3800
T,3929.0000,3.3808
G,10000.0000,3.3900
T,3929.0000,3.3909
T,3929.0000,3.4000
G,10000.0000,3.4000
G,10000.0000,3.4100
T,3929.0000,3.4101
G,10000.0000,3.4200
T,3929.0000,3.4202
G,10000.0000,3.4300
T,3929.0000,3.4303
G,10000.0000,3.4400
T,3929.0000,3.4405
G,10000.0000,3.4500
T,3929.0000,3.4506
G,10000.0000,3.4600
T,3929.0000,3.4607
G,10000.0000,3.4700
T,3929.0000,3.4708
G,10000.0000,3.4800
T,3929.0000,3.4809
G,10000.0000,3.4900
T,3929.0000,3.4901
G,10000.0000,3.5000
T,3929.0000,3.5002
G,10000.0000,3.5100
T,3929.0000,3.5103
G,10000.0000,3.5200
T,3929.0000,3.5204
G,10000.0000,3.5300
T,3929.0000,3.5305
G,10000.0000,3.5400
T,3929.0000,3.5407
G,10000.0000,3.5500
T,3929.0000,3.5508
G,10000.0000,3.5600
T,3929.0000,3.5609
T,3929.0000,3.5700
G,10000.0000,3.5700
G,10000.0000,3.5800
T,3929.0000,3.5801
G,10000.0000,3.5900
T,3929.0000,3.5902
G,10000.0000,3.6000
T,3929.0000,3.6003
G,10000.0000,3.6100
T,3929.0000,3.6105
G,10000.0000,3.6200
T,3929.0000,3.6206
G,10000.0000,3.6300
T,3929.0000,3.6307
G,10000.0000,3.6400
T,3929.0000,3.6408
T,3929.0000,3.6499
G,10000.0000,3.6500
G,10000.0000,3.6600
T,3929.0000,3.6601
G,10000.0000,3.6700
T,3929.0000,3.6702
G,10000.0000,3.6800
T,3929.0000,3.6803
G,10000.0000,3.6900
T,3929.0000,3.6904
G,10000.0000,3.7000
T,3929.0000,3.7005
G,10000.0000,3.7100
T,3929.0000,3.7107
G,10000.0000,3.7200
T,3929.0000,3.7208
T,3929.0000,3.7299
G,10000.0000,3.7300
T,3929.0000,3.7400
G,10000.0000,3.7400
G,10000.0000,3.7500
T,3929.0000,3.7501
G,10000.0000,3.7600
T,3929.0000,3.7602
G,10000.0000,3.7700
T,3929.0000,3.7703
G,10000.0000,3.7800
T,3929.0000,3.7805
G,10000.0000,3.7900
T,3929.0000,3.7906
G,10000.0000,3.8000
T,3929.0000,3.8007
G,10000.0000,3.8100
T,3929.0000,3.8108
T,3929.0000,3.8199
G,10000.0000,3.8200
G,10000.0000,3.8300
T,3929.0000,3.8300
G,10000.0000,3.8400
T,3929.0000,3.8402
G,10000.0000,3.8500
T,3929.0000,3.8503
G,10000.0000,3.8600
T,3929.0000,3.8604
G,10000.0000,3.8700
T,3929.0000,3.8705
G,10000.0000,3.8800
T,3929.0000,3.8806
G,10000.0000,3.8900
T,3929.0000,3.8908
T,3929.0000,3.8999
G,10000.0000,3.9000
T,3929.0000,3.9100
G,10000.0000,3.9100
G,10000.0000,3.9200
T,3929.0000,3.9201
G,10000.0000,3.9300
T,3929.0000,3.9302
G,10000.0000,3.9400
T,3929.0000,3.9403
G,10000.0000,3.9500
T,3929.0000,3.9505
G,10000.0000,3.9600
T,3929.0000,3.9606
G,10000.0000,3.9700
T,3929.0000,3.9707
T,3929.0000,3.9798
G,10000.0000,3.9800
T,3929.0000,3.9899
G,10000.0000,3.9900
G,10000.0000,4.0000
T,3929.0000,4.0000
G,4000.0000,4.0100
T,3929.0000,4.0102
G,4000.0000,4.0200
T,3848.0000,4.0203
G,4000.0000,4.0300
T,3583.0000,4.0304
G,4000.0000,4.0400
T,3164.0000,4.0405
G,4000.0000,4.0500
T,2770.0000,4.0506
T,2525.0000,4.0597
G,4000.0000,4.0600
T,2510.0000,4.0699
G,4000.0000,4.0700
T,2671.0000,4.0800
G,4000.0000,4.0800
G,4000.0000,4.0900
T,2819.0000,4.0901
G,4000.0000,4.1000
T,2875.0000,4.1002
G,4000.0000,4.1100
T,2879.0000,4.1103
G,4000.0000,4.1200
T,2862.0000,4.1205
G,4000.0000,4.1300
T,2840.0000,4.1306
G,4000.0000,4.1400
T,2821.0000,4.1407
T,2808.0000,4.1498
G,4000.0000,4.1500
T,2801.0000,4.1599
G,4000.0000,4.1600
G,4000.0000,4.1700
T,2798.0000,4.1700
G,4000.0000,4.1800
T,2797.0000,4.1802
G,4000.0000,4.1900
T,2797.0000,4.1903
G,4000.0000,4.2000
T,2797.0000,4.2004
G,4000.0000,4.2100
T,2798.0000,4.2105
G,4000.0000,4.2200
T,2798.0000,4.2206
T,2799.0000,4.2297
G,4000.0000,4.2300
T,2799.0000,4.2399
G,4000.0000,4.2400
T,2800.0000,4.2500
G,4000.0000,4.2500
G,4000.0000,4.2600
T,2800.0000,4.2601
G,4000.0000,4.2700
T,2800.0000,4.2702
