Time (s),Position (ticks)
13.54,3724
13.54,3723
13.55,3692
13.55,3658
13.56,3629
13.56,3606
13.57,3588
13.57,3575
13.58,3566
13.58,3561
13.59,3559
13.59,3558
13.6,3560
13.6,3564
13.61,3569
13.61,3576
13.62,3586
13.62,3597
13.63,3608
13.63,3620
13.64,3632
13.64,3643
13.65,3653
13.65,3662
13.66,3669
13.66,3674
13.67,3679
13.67,3681
13.68,3682
13.68,3682
13.69,3679
13.69,3674
13.7,3667
13.7,3657
13.71,3647
13.71,3635
13.72,3622
13.72,3608
13.73,3594
13.73,3580
13.74,3567
13.74,3554
13.75,3544
13.75,3533
13.76,3524
13.76,3516
13.77,3511
13.77,3508
13.78,3507
13.78,3507
13.79,3509
13.79,3514
13.8,3521
13.8,3530
13.81,3541
13.81,3553
13.82,3566
13.82,3579
13.83,3592
13.83,3605
13.84,3619
13.84,3631
13.85,3643
13.85,3653
13.86,3662
13.86,3668
13.87,3673
13.87,3676
13.88,3677
13.88,3677
13.89,3675
13.89,3671
13.9,3664
13.9,3655
13.91,3645
13.91,3633
13.92,3620
13.92,3606
13.93,3593
13.93,3579
13.94,3566
13.94,3554
13.95,3543
13.95,3533
13.96,3523
13.96,3516
13.97,3511
13.97,3508
13.98,3507
13.98,3507
13.99,3508
13.99,3514
14.0,3521
14.0,3530
14.01,3540
14.01,3553
14.02,3565
14.02,3579
14.03,3592
14.03,3605
14.04,3619
14.04,3631
14.05,3643
14.05,3652
14.06,3661
14.06,3668
14.07,3673
14.07,3675
14.08,3677
14.08,3677
14.09,3675
14.09,3670
14.1,3664
14.1,3655
14.11,3645
14.11,3634
14.12,3621
14.12,3608
14.13,3593
14.13,3579
14.14,3567
14.14,3555
14.15,3543
14.15,3532
14.16,3523
14.16,3516
14.17,3511
14.17,3508
14.18,3506
14.18,3507
14.19,3508
14.19,3513
14.2,3520
14.2,3530
14.21,3540
14.21,3553
14.22,3565
14.22,3579
14.23,3591
14.23,3605
14.24,3618
14.24,3632
14.25,3643
14.25,3653
14.26,3661
14.26,3668
14.27,3673
14.27,3676
14.28,3677
14.28,3677
14.29,3675
14.29,3670
14.3,3664
14.3,3655
14.31,3645
14.31,3634
14.32,3621
14.32,3607
14.33,3593
14.33,3579
14.34,3567
14.34,3554
14.35,3543
14.35,3533
14.36,3523
14.36,3516
14.37,3511
14.37,3508
14.38,3506
14.38,3507
14.39,3508
14.39,3513
14.4,3520
14.4,3529
14.41,3540
14.41,3553
14.42,3565
14.42,3578
14.43,3592
14.43,3605
14.44,3618
14.44,3631
14.45,3642
14.45,3652
14.46,3661
14.46,3668
14.47,3673
14.47,3675
14.48,3677
14.48,3677
14.49,3675
14.49,3671
14.5,3664
14.5,3655
14.51,3646
14.51,3634
14.52,3621
14.52,3608
14.53,3593
14.53,3579
14.54,3567
14.54,3555
14.55,3543
14.55,3533
14.56,3524
14.56,3516
14.57,3511
14.57,3508
14.58,3507
14.58,3507
14.59,3508
14.59,3513
14.6,3521
14.6,3529
14.61,3540
14.61,3552
14.62,3565
14.62,3578
14.63,3591
14.63,3604
14.64,3618
14.64,3631
14.65,3642
14.65,3652
14.66,3661
14.66,3668
14.67,3672
14.67,3675
14.68,3677
14.68,3677
14.69,3675
14.69,3670
14.7,3665
14.7,3655
14.71,3646
14.71,3634
14.72,3621
14.72,3608
14.73,3594
14.73,3579
14.74,3567
14.74,3554
14.75,3543
14.75,3533
14.76,3524
14.76,3517
14.77,3512
14.77,3508
14.78,3506
14.78,3507
14.79,3508
14.79,3513
14.8,3520
14.8,3530
14.81,3540
14.81,3552
14.82,3564
14.82,3578
14.83,3591
14.83,3604
14.84,3618
14.84,3631
14.85,3642
14.85,3652
14.86,3661
14.86,3668
14.87,3673
14.87,3676
14.88,3677
14.88,3677
14.89,3675
14.89,3671
14.9,3665
14.9,3655
14.91,3646
14.91,3634
14.92,3621
14.92,3608
14.93,3594
14.93,3580
14.94,3567
14.94,3555
14.95,3543
14.95,3533
14.96,3524
14.96,3517
14.97,3511
14.97,3508
14.98,3506
14.98,3507
14.99,3508
14.99,3513
15.0,3520
15.0,3529
15.01,3540
15.01,3552
15.02,3564
15.02,3578
15.03,3590
15.03,3604
15.04,3618
15.04,3630
15.05,3642
15.05,3652
15.06,3661
15.06,3667
15.07,3673
15.07,3675
15.08,3677
15.08,3677
15.09,3675
15.09,3671
15.1,3664
15.1,3656
15.11,3646
15.11,3634
15.12,3621
15.12,3608
15.13,3594
15.13,3580
15.14,3567
15.14,3555
15.15,3543
15.15,3533
15.16,3524
15.16,3517
15.17,3512
15.17,3508
15.18,3507
15.18,3507
15.19,3508
15.19,3513
15.2,3520
15.2,3530
15.21,3540
15.21,3552
15.22,3564
15.22,3578
15.23,3590
15.23,3603
15.24,3617
15.24,3630
15.25,3642
15.25,3652
15.26,3661
15.26,3668
15.27,3672
15.27,3675
15.28,3677
15.28,3677
15.29,3675
15.29,3671
15.3,3664
15.3,3656
15.31,3646
15.31,3635
15.32,3621
15.32,3609
15.33,3594
15.33,3580
15.34,3567
15.34,3555
15.35,3543
15.35,3533
15.36,3524
15.36,3517
15.37,3512
15.37,3508
15.38,3507
15.38,3507
15.39,3508
15.39,3513
15.4,3520
15.4,3529
15.41,3539
15.41,3551
15.42,3564
15.42,3578
15.43,3590
15.43,3604
15.44,3617
15.44,3630
15.45,3641
15.45,3652
15.46,3661
15.46,3667
15.47,3673
15.47,3675
15.48,3677
15.48,3677
15.49,3675
15.49,3671
15.5,3665
15.5,3656
15.51,3647
15.51,3635
15.52,3622
15.52,3608
15.53,3594
15.53,3580
15.54,3567
15.54,3555
15.55,3544
15.55,3533
15.56,3524
15.56,3517
15.57,3512
15.57,3508
15.58,3506
15.58,3507
15.59,3508
15.59,3512
15.6,3520
15.6,3529
15.61,3540
15.61,3552
15.62,3564
15.62,3578
15.63,3590
15.63,3603
15.64,3618
15.64,3630
15.65,3642
15.65,3652
15.66,3660
15.66,3668
15.67,3672
15.67,3675
15.68,3677
15.68,3677
15.69,3675
15.69,3671
15.7,3665
15.7,3656
15.71,3647
15.71,3635
15.72,3622
15.72,3608
15.73,3595
15.73,3580
15.74,3568
15.74,3556
15.75,3544
15.75,3533
15.76,3525
15.76,3517
15.77,3512
15.77,3508
15.78,3506
15.78,3507
15.79,3508
15.79,3512
15.8,3520
15.8,3529
15.81,3540
15.81,3552
15.82,3564
15.82,3577
15.83,3590
15.83,3603
15.84,3617
15.84,3631
15.85,3641
15.85,3651
15.86,3660
15.86,3667
15.87,3672
15.87,3675
15.88,3677
15.88,3677
15.89,3675
15.89,3671
15.9,3665
15.9,3656
15.91,3647
15.91,3635
15.92,3622
15.92,3609
15.93,3595
15.93,3581
15.94,3568
15.94,3556
15.95,3544
15.95,3533
15.96,3525
15.96,3517
15.97,3512
15.97,3508
15.98,3507
15.98,3507
15.99,3508
15.99,3513
16.0,3520
16.0,3528
16.01,3539
16.01,3551
16.02,3564
16.02,3577
16.03,3590
16.03,3603
16.04,3617
16.04,3629
16.05,3641
16.05,3652
16.06,3660
16.06,3667
16.07,3672
16.07,3675
16.08,3677
16.08,3677
16.09,3675
16.09,3671
16.1,3665
16.1,3656
16.11,3647
16.11,3635
16.12,3622
16.12,3609
16.13,3595
16.13,3580
16.14,3568
16.14,3555
16.15,3544
16.15,3534
16.16,3525
16.16,3517
16.17,3511
16.17,3508
16.18,3507
16.18,3507
16.19,3508
16.19,3512
16.2,3520
16.2,3529
16.21,3539
16.21,3551
16.22,3563
16.22,3577
16.23,3590
16.23,3603
16.24,3617
16.24,3630
16.25,3641
16.25,3651
16.26,3660
16.26,3667
16.27,3672
16.27,3675
16.28,3677
16.28,3677
16.29,3675
16.29,3671
16.3,3665
16.3,3656
16.31,3647
16.31,3635
16.32,3622
16.32,3609
16.33,3595
16.33,3581
16.34,3568
16.34,3556
16.35,3544
16.35,3534
16.36,3525
16.36,3518
16.37,3512
16.37,3508
16.38,3507
16.38,3507
16.39,3508
16.39,3512
16.4,3519
16.4,3528
16.41,3539
16.41,3551
16.42,3563
16.42,3577
16.43,3589
16.43,3603
16.44,3617
16.44,3630
16.45,3641
16.45,3651
16.46,3660
16.46,3667
16.47,3673
16.47,3675
16.48,3676
16.48,3677
16.49,3675
16.49,3671
16.5,3666
16.5,3656
16.51,3647
16.51,3636
16.52,3622
16.52,3610
16.53,3595
16.53,3581
16.54,3568
16.54,3556
16.55,3544
16.55,3534
16.56,3525
16.56,3517
16.57,3512
16.57,3508
16.58,3507
16.58,3507
16.59,3508
16.59,3513
16.6,3519
16.6,3528
16.61,3539
16.61,3551
16.62,3563
16.62,3576
16.63,3590
16.63,3602
16.64,3617
16.64,3629
16.65,3641
16.65,3651
16.66,3660
16.66,3667
16.67,3672
16.67,3675
16.68,3677
16.68,3677
16.69,3675
16.69,3671
16.7,3665
16.7,3656
16.71,3647
16.71,3636
16.72,3623
16.72,3609
16.73,3595
16.73,3581
16.74,3568
16.74,3556
16.75,3544
16.75,3534
16.76,3525
16.76,3518
16.77,3512
16.77,3508
16.78,3507
16.78,3507
16.79,3508
16.79,3512
16.8,3519
16.8,3529
16.81,3539
16.81,3551
16.82,3563
16.82,3576
16.83,3589
16.83,3602
16.84,3616
16.84,3629
16.85,3641
16.85,3651
16.86,3660
16.86,3667
16.87,3672
16.87,3675
16.88,3677
16.88,3677
16.89,3675
16.89,3672
16.9,3665
16.9,3657
16.91,3647
16.91,3636
16.92,3623
16.92,3610
16.93,3595
16.93,3581
16.94,3569
16.94,3556
16.95,3545
16.95,3534
16.96,3525
16.96,3517
16.97,3512
16.97,3508
16.98,3507
16.98,3507
16.99,3508
16.99,3512
17.0,3519
17.0,3528
17.01,3538
17.01,3551
17.02,3563
17.02,3576
17.03,3589
17.03,3602
17.04,3616
17.04,3629
17.05,3640
17.05,3651
17.06,3660
17.06,3667
17.07,3672
17.07,3675
17.08,3676
17.08,3677
17.09,3675
17.09,3671
17.1,3665
17.1,3657
17.11,3647
17.11,3636
17.12,3623
17.12,3609
17.13,3596
17.13,3581
17.14,3568
17.14,3556
17.15,3545
17.15,3534
17.16,3525
17.16,3517
17.17,3512
17.17,3508
17.18,3506
17.18,3506
17.19,3508
17.19,3512
17.2,3519
17.2,3528
17.21,3538
17.21,3550
17.22,3563
17.22,3576
17.23,3589
17.23,3602
17.24,3616
17.24,3629
17.25,3640
17.25,3651
17.26,3660
17.26,3667
17.27,3672
17.27,3675
17.28,3677
17.28,3677
17.29,3675
17.29,3672
17.3,3666
17.3,3657
17.31,3647
17.31,3636
17.32,3623
17.32,3610
17.33,3596
17.33,3581
17.34,3569
17.34,3556
17.35,3545
17.35,3534
17.36,3525
17.36,3518
17.37,3512
17.37,3508
17.38,3507
17.38,3506
17.39,3508
17.39,3512
17.4,3519
17.4,3528
17.41,3538
17.41,3550
17.42,3563
17.42,3576
17.43,3589
17.43,3601
17.44,3616
17.44,3630
17.45,3640
17.45,3651
17.46,3660
17.46,3666
17.47,3672
